season,week,season_type,game_label,game_date,ne_home_away,opponent,quarter,category,player,completions,attempts,pass_yards,interceptions,pass_td,carries,rush_yards,rush_td,targets,receptions,rec_yards,rec_td
1978,1,REG,"1978 Week 1","September 3",Home,"Washington Redskins",Q1,Passing,"Steve Grogan",1,6,11,0,0,,,,,,,
1978,1,REG,"1978 Week 1","September 3",Home,"Washington Redskins",Q1,Rushing,"Horace Ivory",,,,,,2,10,0,,,,
1978,1,REG,"1978 Week 1","September 3",Home,"Washington Redskins",Q1,Rushing,"Andy Johnson",,,,,,3,7,0,,,,
1978,1,REG,"1978 Week 1","September 3",Home,"Washington Redskins",Q1,Rushing,"Sam Cunningham",,,,,,4,4,0,,,,
1978,1,REG,"1978 Week 1","September 3",Home,"Washington Redskins",Q1,Receiving,"Sam Cunningham",,,,,,,,,1,1,11,0
1978,1,REG,"1978 Week 1","September 3",Home,"Washington Redskins",Q1,Receiving,"Stanley Morgan",,,,,,,,,3,0,0,0
1978,1,REG,"1978 Week 1","September 3",Home,"Washington Redskins",Q1,Receiving,"Russ Francis",,,,,,,,,1,0,0,0
1978,1,REG,"1978 Week 1","September 3",Home,"Washington Redskins",Q1,Receiving,"Harold Jackson",,,,,,,,,1,0,0,0
1978,1,REG,"1978 Week 1","September 3",Home,"Washington Redskins",Q2,Passing,"Steve Grogan",4,13,48,1,0,,,,,,,
1978,1,REG,"1978 Week 1","September 3",Home,"Washington Redskins",Q2,Rushing,"Horace Ivory",,,,,,6,31,0,,,,
1978,1,REG,"1978 Week 1","September 3",Home,"Washington Redskins",Q2,Rushing,"Steve Grogan",,,,,,3,21,0,,,,
1978,1,REG,"1978 Week 1","September 3",Home,"Washington Redskins",Q2,Rushing,"Don Calhoun",,,,,,4,12,0,,,,
1978,1,REG,"1978 Week 1","September 3",Home,"Washington Redskins",Q2,Rushing,"Sam Cunningham",,,,,,1,0,0,,,,
1978,1,REG,"1978 Week 1","September 3",Home,"Washington Redskins",Q2,Receiving,"Harold Jackson",,,,,,,,,5,3,46,0
1978,1,REG,"1978 Week 1","September 3",Home,"Washington Redskins",Q2,Receiving,"Don Calhoun",,,,,,,,,3,1,2,0
1978,1,REG,"1978 Week 1","September 3",Home,"Washington Redskins",Q2,Receiving,"Stanley Morgan",,,,,,,,,3,0,0,0
1978,1,REG,"1978 Week 1","September 3",Home,"Washington Redskins",Q2,Receiving,"Horace Ivory",,,,,,,,,1,0,0,0
1978,1,REG,"1978 Week 1","September 3",Home,"Washington Redskins",Q2,Receiving,"Don Westbrook",,,,,,,,,1,0,0,0
1978,1,REG,"1978 Week 1","September 3",Home,"Washington Redskins",Q3,Passing,"Steve Grogan",4,5,81,1,1,,,,,,,
1978,1,REG,"1978 Week 1","September 3",Home,"Washington Redskins",Q3,Rushing,"Horace Ivory",,,,,,3,27,0,,,,
1978,1,REG,"1978 Week 1","September 3",Home,"Washington Redskins",Q3,Rushing,"Steve Grogan",,,,,,1,11,0,,,,
1978,1,REG,"1978 Week 1","September 3",Home,"Washington Redskins",Q3,Rushing,"Don Calhoun",,,,,,3,9,0,,,,
1978,1,REG,"1978 Week 1","September 3",Home,"Washington Redskins",Q3,Rushing,"Sam Cunningham",,,,,,1,1,0,,,,
1978,1,REG,"1978 Week 1","September 3",Home,"Washington Redskins",Q3,Receiving,"Stanley Morgan",,,,,,,,,2,1,33,1
1978,1,REG,"1978 Week 1","September 3",Home,"Washington Redskins",Q3,Receiving,"Harold Jackson",,,,,,,,,1,1,19,0
1978,1,REG,"1978 Week 1","September 3",Home,"Washington Redskins",Q3,Receiving,"Don Hasselbeck",,,,,,,,,1,1,17,0
1978,1,REG,"1978 Week 1","September 3",Home,"Washington Redskins",Q3,Receiving,"Sam Cunningham",,,,,,,,,1,1,12,0
1978,1,REG,"1978 Week 1","September 3",Home,"Washington Redskins",Q4,Passing,"Steve Grogan",3,7,58,0,1,,,,,,,
1978,1,REG,"1978 Week 1","September 3",Home,"Washington Redskins",Q4,Rushing,"Horace Ivory",,,,,,5,22,0,,,,
1978,1,REG,"1978 Week 1","September 3",Home,"Washington Redskins",Q4,Rushing,"Sam Cunningham",,,,,,1,9,0,,,,
1978,1,REG,"1978 Week 1","September 3",Home,"Washington Redskins",Q4,Rushing,"Steve Grogan",,,,,,1,3,0,,,,
1978,1,REG,"1978 Week 1","September 3",Home,"Washington Redskins",Q4,Rushing,"Don Calhoun",,,,,,2,-4,0,,,,
1978,1,REG,"1978 Week 1","September 3",Home,"Washington Redskins",Q4,Receiving,"Harold Jackson",,,,,,,,,3,3,58,1
1978,1,REG,"1978 Week 1","September 3",Home,"Washington Redskins",Q4,Receiving,"Stanley Morgan",,,,,,,,,2,0,0,0
1978,1,REG,"1978 Week 1","September 3",Home,"Washington Redskins",Q4,Receiving,"Andy Johnson",,,,,,,,,1,0,0,0
1978,1,REG,"1978 Week 1","September 3",Home,"Washington Redskins",Q4,Receiving,"Don Westbrook",,,,,,,,,1,0,0,0
1978,2,REG,"1978 Week 2","September 10",Away,"St. Louis Cardinals",Q1,Passing,"Steve Grogan",4,5,41,0,0,,,,,,,
1978,2,REG,"1978 Week 2","September 10",Away,"St. Louis Cardinals",Q1,Rushing,"Don Calhoun",,,,,,8,45,0,,,,
1978,2,REG,"1978 Week 2","September 10",Away,"St. Louis Cardinals",Q1,Rushing,"Horace Ivory",,,,,,5,7,0,,,,
1978,2,REG,"1978 Week 2","September 10",Away,"St. Louis Cardinals",Q1,Rushing,"Andy Johnson",,,,,,1,5,0,,,,
1978,2,REG,"1978 Week 2","September 10",Away,"St. Louis Cardinals",Q1,Rushing,"Steve Grogan",,,,,,2,3,0,,,,
1978,2,REG,"1978 Week 2","September 10",Away,"St. Louis Cardinals",Q1,Rushing,"Sam Cunningham",,,,,,1,2,0,,,,
1978,2,REG,"1978 Week 2","September 10",Away,"St. Louis Cardinals",Q1,Receiving,"Russ Francis",,,,,,,,,3,2,26,0
1978,2,REG,"1978 Week 2","September 10",Away,"St. Louis Cardinals",Q1,Receiving,"Don Westbrook",,,,,,,,,1,1,8,0
1978,2,REG,"1978 Week 2","September 10",Away,"St. Louis Cardinals",Q1,Receiving,"Stanley Morgan",,,,,,,,,1,1,7,0
1978,2,REG,"1978 Week 2","September 10",Away,"St. Louis Cardinals",Q2,Passing,"Steve Grogan",3,5,70,1,1,,,,,,,
1978,2,REG,"1978 Week 2","September 10",Away,"St. Louis Cardinals",Q2,Rushing,"Don Calhoun",,,,,,4,82,0,,,,
1978,2,REG,"1978 Week 2","September 10",Away,"St. Louis Cardinals",Q2,Rushing,"Andy Johnson",,,,,,3,15,0,,,,
1978,2,REG,"1978 Week 2","September 10",Away,"St. Louis Cardinals",Q2,Rushing,"Stanley Morgan",,,,,,1,6,0,,,,
1978,2,REG,"1978 Week 2","September 10",Away,"St. Louis Cardinals",Q2,Rushing,"Steve Grogan",,,,,,1,5,1,,,,
1978,2,REG,"1978 Week 2","September 10",Away,"St. Louis Cardinals",Q2,Rushing,"Horace Ivory",,,,,,1,4,0,,,,
1978,2,REG,"1978 Week 2","September 10",Away,"St. Louis Cardinals",Q2,Receiving,"Russ Francis",,,,,,,,,3,2,35,1
1978,2,REG,"1978 Week 2","September 10",Away,"St. Louis Cardinals",Q2,Receiving,"Harold Jackson",,,,,,,,,1,1,35,0
1978,2,REG,"1978 Week 2","September 10",Away,"St. Louis Cardinals",Q2,Receiving,"Stanley Morgan",,,,,,,,,1,0,0,0
1978,2,REG,"1978 Week 2","September 10",Away,"St. Louis Cardinals",Q3,Passing,"Steve Grogan",3,6,24,0,0,,,,,,,
1978,2,REG,"1978 Week 2","September 10",Away,"St. Louis Cardinals",Q3,Rushing,"Don Calhoun",,,,,,3,14,0,,,,
1978,2,REG,"1978 Week 2","September 10",Away,"St. Louis Cardinals",Q3,Rushing,"Sam Cunningham",,,,,,3,12,0,,,,
1978,2,REG,"1978 Week 2","September 10",Away,"St. Louis Cardinals",Q3,Rushing,"Steve Grogan",,,,,,1,11,0,,,,
1978,2,REG,"1978 Week 2","September 10",Away,"St. Louis Cardinals",Q3,Rushing,"James McAlister",,,,,,1,6,0,,,,
1978,2,REG,"1978 Week 2","September 10",Away,"St. Louis Cardinals",Q3,Rushing,"Andy Johnson",,,,,,2,4,0,,,,
