season,week,game_date,game_site,opponent,boxscore_url,quarter,time,down,yds_to_go,location,patriots_score,opponent_score,detail,epb,epa,play_type,two_point_attempt,passer,rusher,receiver,interceptor,sacker,punter,kicker,returner,blocker,tackler_1,tackler_2,forced_fumble_player,fumble_recovery_player,penalized_player
1981,1,September 6,home,Baltimore Colts,https://www.pro-football-reference.com/boxscores/198109060nwe.htm,,,,,,,,"Colts won the coin toss, Patriots to receive the opening kickoff.",,,other,,,,,,,,,,,,,,,
1981,1,September 6,home,Baltimore Colts,https://www.pro-football-reference.com/boxscores/198109060nwe.htm,1,,,,BAL 35,0,0,"Mike Wood kicks off 65 yards, touchback.",0.000,-0.280,kickoff,,,,,,,,Mike Wood,,,,,,,
1981,1,September 6,home,Baltimore Colts,https://www.pro-football-reference.com/boxscores/198109060nwe.htm,1,,1,10,NWE 20,0,0,Steve Grogan pass incomplete intended for Tony Collins,0.280,-0.270,pass,,Steve Grogan,,Tony Collins,,,,,,,,,,,
1981,1,September 6,home,Baltimore Colts,https://www.pro-football-reference.com/boxscores/198109060nwe.htm,1,,2,10,NWE 20,0,0,Tony Collins right guard for 1 yard (tackle by Herb Orvis),-0.270,-0.820,run,,,Tony Collins,,,,,,,,Herb Orvis,,,,
1981,1,September 6,home,Baltimore Colts,https://www.pro-football-reference.com/boxscores/198109060nwe.htm,1,,3,9,NWE 21,0,0,Steve Grogan pass incomplete,-0.820,-1.960,pass,,Steve Grogan,,,,,,,,,,,,,
1981,1,September 6,home,Baltimore Colts,https://www.pro-football-reference.com/boxscores/198109060nwe.htm,1,,4,9,NWE 21,0,0,Mike Hubach punts 26 yards,-1.960,-2.460,punt,,,,,,,Mike Hubach,,,,,,,,
1981,1,September 6,home,Baltimore Colts,https://www.pro-football-reference.com/boxscores/198109060nwe.htm,1,,1,10,NWE 47,0,0,Bert Jones pass complete to Curtis Dickey for 9 yards (tackle by Rick Sanford),2.460,3.130,pass,,Bert Jones,,Curtis Dickey,,,,,,,Rick Sanford,,,,
1981,1,September 6,home,Baltimore Colts,https://www.pro-football-reference.com/boxscores/198109060nwe.htm,1,,2,1,NWE 38,0,0,Randy McMillan right end for 8 yards (tackle by Tim Fox),3.130,3.580,run,,,Randy McMillan,,,,,,,,Tim Fox,,,,
1981,1,September 6,home,Baltimore Colts,https://www.pro-football-reference.com/boxscores/198109060nwe.htm,1,,1,10,NWE 30,0,0,Curtis Dickey left for 3 yards (tackle by Rod Shoate),3.580,3.440,run,,,Curtis Dickey,,,,,,,,Rod Shoate,,,,
1981,1,September 6,home,Baltimore Colts,https://www.pro-football-reference.com/boxscores/198109060nwe.htm,1,,2,7,NWE 27,0,0,Curtis Dickey right end for 1 yard (tackle by Tony McGee),3.440,2.870,run,,,Curtis Dickey,,,,,,,,Tony McGee,,,,
1981,1,September 6,home,Baltimore Colts,https://www.pro-football-reference.com/boxscores/198109060nwe.htm,1,,3,6,NWE 26,0,0,"Bert Jones pass complete to Curtis Dickey for 16 yards. Penalty on Tim Sherwin: Illegal Motion, 5 yards (accepted) (no play)",2.870,2.210,no_play,,,,,,,,,,,,,,,
1981,1,September 6,home,Baltimore Colts,https://www.pro-football-reference.com/boxscores/198109060nwe.htm,1,,3,11,NWE 31,0,0,Bert Jones pass incomplete,2.210,1.320,pass,,Bert Jones,,,,,,,,,,,,,
1981,1,September 6,home,Baltimore Colts,https://www.pro-football-reference.com/boxscores/198109060nwe.htm,1,,4,11,NWE 31,0,3,Mike Wood 48 yard field goal good,1.320,3.000,field_goal,,,,,,,,Mike Wood,,,,,,,
1981,1,September 6,home,Baltimore Colts,https://www.pro-football-reference.com/boxscores/198109060nwe.htm,1,,,,BAL 35,0,3,"Mike Wood kicks off 73 yards, touchback.",0.000,-0.280,kickoff,,,,,,,,Mike Wood,,,,,,,
1981,1,September 6,home,Baltimore Colts,https://www.pro-football-reference.com/boxscores/198109060nwe.htm,1,,1,10,NWE 20,0,3,"Penalty on Dwight Wheeler: Illegal Procedure, 5 yards (accepted)",0.280,-0.310,penalty,,,,,,,,,,,,,,,Dwight Wheeler
1981,1,September 6,home,Baltimore Colts,https://www.pro-football-reference.com/boxscores/198109060nwe.htm,1,,1,15,NWE 15,0,3,Don Calhoun middle for 4 yards (tackle by Ed Smith),-0.310,-0.460,run,,,Don Calhoun,,,,,,,,Ed Smith,,,,
1981,1,September 6,home,Baltimore Colts,https://www.pro-football-reference.com/boxscores/198109060nwe.htm,1,,2,11,NWE 19,0,3,Steve Grogan pass incomplete intended for Tony Collins,-0.460,-1.140,pass,,Steve Grogan,,Tony Collins,,,,,,,,,,,
