Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Score,Score,Offense,Offense,Offense,Offense,Offense,Defense,Defense,Defense,Defense,Defense,Expected Points,Expected Points,Expected Points
Week,Day,Date,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,OT,Rec,Unnamed: 8_level_1,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,September 9,1:15PM ET,boxscore,L,OT,0-1,@,San Francisco 49ers,13.0,16.0,13.0,241.0,107.0,134.0,,20.0,429.0,324.0,105.0,1.0,-1.26,-4.14,3.49
2,Sun,September 23,1:12PM ET,boxscore,W,,1-1,,Carolina Panthers,24.0,16.0,16.0,377.0,256.0,121.0,2.0,18.0,359.0,270.0,89.0,1.0,16.85,-7.62,-0.45
3,Sun,September 30,4:05PM ET,boxscore,W,,2-1,@,Arizona Cardinals,34.0,14.0,21.0,379.0,268.0,111.0,,21.0,335.0,245.0,90.0,4.0,14.99,1.33,6.44
4,Sun,October 7,1:05PM ET,boxscore,L,,2-2,,Chicago Bears,3.0,31.0,19.0,335.0,232.0,103.0,5.0,15.0,300.0,221.0,79.0,2.0,-23.4,-2.18,-1.61
5,Sun,October 14,1:04PM ET,boxscore,L,OT,2-3,,San Francisco 49ers,31.0,37.0,21.0,342.0,254.0,88.0,1.0,27.0,517.0,330.0,187.0,2.0,10.64,-19.62,1.99
6,Sun,October 21,12:03PM ET,boxscore,W,,3-3,@,New Orleans Saints,20.0,13.0,12.0,297.0,173.0,124.0,2.0,16.0,276.0,213.0,63.0,1.0,-5.63,11.64,-0.65
7,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
8,Sun,November 4,1:01PM ET,boxscore,L,,3-4,,New England Patriots,10.0,24.0,11.0,244.0,104.0,140.0,1.0,21.0,371.0,236.0,135.0,2.0,-15.26,-0.13,0.34
9,Sun,November 11,1:05PM ET,boxscore,W,,4-4,,Dallas Cowboys,20.0,13.0,12.0,201.0,46.0,155.0,1.0,15.0,303.0,96.0,207.0,2.0,-4.8,2.8,8.83
10,Sun,November 18,1:02PM ET,boxscore,W,,5-4,@,Green Bay Packers,23.0,20.0,25.0,417.0,335.0,82.0,2.0,14.0,313.0,243.0,70.0,4.0,1.72,3.38,-2.04
11,Sun,November 25,1:02PM ET,boxscore,W,,6-4,@,Carolina Panthers,10.0,7.0,13.0,239.0,94.0,145.0,,14.0,247.0,151.0,96.0,2.0,-6.84,16.47,-4.84
12,Sun,December 2,4:15PM ET,boxscore,L,,6-5,,St. Louis Rams,6.0,35.0,20.0,320.0,192.0,128.0,2.0,19.0,422.0,333.0,89.0,,-10.31,-23.45,8.87
13,Sun,December 9,1:05PM ET,boxscore,L,,6-6,,New Orleans Saints,10.0,28.0,20.0,230.0,180.0,50.0,2.0,19.0,379.0,265.0,114.0,2.0,-7.37,-13.73,-1.63
14,Sun,December 16,1:00PM ET,boxscore,L,,6-7,@,Indianapolis Colts,27.0,41.0,21.0,316.0,250.0,66.0,1.0,29.0,512.0,325.0,187.0,1.0,1.76,-20.38,5.3
15,Sun,December 23,1:05PM ET,boxscore,W,,7-7,,Buffalo Bills,33.0,30.0,22.0,489.0,422.0,67.0,2.0,15.0,398.0,208.0,190.0,,15.35,-12.16,0.67
16,Sun,December 30,1:02PM ET,boxscore,L,,7-8,@,Miami Dolphins,14.0,21.0,21.0,388.0,236.0,152.0,4.0,12.0,226.0,176.0,50.0,3.0,-12.74,10.99,-2.17
17,Sun,January 6,4:05PM ET,boxscore,L,,7-9,@,St. Louis Rams,13.0,31.0,13.0,255.0,159.0,96.0,3.0,23.0,458.0,266.0,192.0,3.0,-20.85,-12.92,12.13
