Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 16_level_0,Tackles,Tackles,Tackles,Tackles,Unnamed: 21_level_0,Unnamed: 22_level_0
Rk,Player,Age,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,Sfty,Awards
1.0,Ashley Ambrose,32.0,RCB,16,16,3,25,0,24,13,1,0,0,0,0,0.0,44.0,42.0,2.0,1.0,0,
2.0,Keith Brooking,27.0,LILB,16,16,2,24,0,22,2,1,0,2,0,0,0.0,140.0,111.0,29.0,2.0,0,"PB,AP-2"
3.0,Keion Carpenter,25.0,FS,16,16,4,82,1,41,10,1,0,1,0,0,0.0,49.0,43.0,6.0,2.0,0,
4.0,Travis Claridge,24.0,LG,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0,
5.0,Brian Finneran,26.0,WR,16,16,0,0,0,0,0,0,2,0,0,0,0.0,3.0,3.0,0.0,0.0,0,
6.0,Ed Jasper,29.0,NT,16,16,0,0,0,0,1,1,0,1,7,0,2.0,35.0,29.0,6.0,3.0,0,
7.0,Patrick Kerney,26.0,LDE,16,16,0,0,0,0,1,0,0,2,4,1,10.5,58.0,45.0,13.0,13.0,0,
8.0,Todd McClure,25.0,C,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0,
9.0,Michael Vick,22.0,QB,15,15,0,0,0,0,0,0,9,1,-3,0,0.0,0.0,0.0,0.0,0.0,0,"PB,AP MVP-4"
10.0,Warrick Dunn,27.0,RB,15,14,0,0,0,0,0,0,4,1,0,0,0.0,0.0,0.0,0.0,0.0,0,
11.0,Gerald McBurrows,29.0,SS,15,14,2,36,0,19,5,4,0,0,0,0,0.5,59.0,48.0,11.0,1.0,0,
12.0,Brady Smith,29.0,RDE,14,14,0,0,0,0,1,1,0,0,0,0,6.5,39.0,26.0,13.0,11.0,0,
13.0,Sam Rogers,32.0,LOLB,15,13,0,0,0,0,2,3,0,2,27,0,6.5,41.0,31.0,10.0,7.0,0,
14.0,Matt Stewart,23.0,ROLB,16,13,0,0,0,0,0,1,0,1,17,0,3.0,61.0,56.0,5.0,8.0,0,
15.0,Ray Buchanan,31.0,LCB,12,11,2,9,0,9,12,1,0,0,0,0,0.0,47.0,42.0,5.0,0.0,0,
16.0,John Holecek,30.0,RILB,12,11,0,0,0,0,0,0,0,0,0,0,1.0,53.0,43.0,10.0,2.0,0,
17.0,Bob Christian,34.0,FB,15,10,0,0,0,0,0,0,1,0,0,0,0.0,3.0,2.0,1.0,0.0,0,
18.0,Alge Crumpler,25.0,TE,16,9,0,0,0,0,0,0,0,0,0,0,0.0,1.0,1.0,0.0,0.0,0,
19.0,Shawn Jefferson,33.0,WR,13,7,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,1.0,0.0,0,
20.0,Juran Bolden,28.0,LCB,14,6,4,25,0,22,16,0,0,0,0,0,0.0,36.0,29.0,7.0,3.0,0,
21.0,Chris Draft,26.0,RILB,15,5,2,12,0,9,4,2,0,2,0,0,3.5,69.0,53.0,16.0,8.0,0,
22.0,John Thierry,31.0,DE,14,4,0,0,0,0,0,1,0,1,0,0,4.0,19.0,16.0,3.0,5.0,0,
23.0,T.J. Duckett,21.0,RB,12,3,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0,
24.0,Ellis Johnson,29.0,NT,16,2,0,0,0,0,3,1,0,0,0,0,7.0,29.0,25.0,4.0,8.0,0,
25.0,Brian Kozlowski,32.0,TE,16,2,0,0,0,0,0,0,0,1,0,0,0.0,1.0,0.0,1.0,0.0,0,
26.0,Johndale Carty,25.0,DB,16,1,1,37,0,37,2,0,0,0,0,0,1.0,28.0,25.0,3.0,5.0,0,
27.0,Travis Hall,30.0,DE,11,1,0,0,0,0,1,0,0,0,0,0,1.0,27.0,14.0,13.0,1.0,0,
28.0,Willie Jackson,31.0,WR,7,1,0,0,0,0,0,0,1,0,0,0,0.0,,,,,0,
29.0,Doug Johnson,25.0,QB,6,1,0,0,0,0,0,0,3,1,-1,0,0.0,,,,,0,
30.0,Kevin McCadam,23.0,DB,11,1,0,0,0,0,0,0,0,0,0,0,0.0,12.0,11.0,1.0,0.0,0,
31.0,Darrin Chiaverini,25.0,WR,7,0,0,0,0,0,0,0,0,0,0,0,0.0,2.0,1.0,1.0,0.0,0,
32.0,Jay Feely,26.0,K,16,0,0,0,0,0,0,0,0,0,0,0,0.0,3.0,3.0,0.0,0.0,0,
33.0,Ronald Flemons,23.0,DE,4,0,0,0,0,0,0,0,0,0,0,0,0.5,1.0,0.0,1.0,0.0,0,
34.0,Kahlil Hill,23.0,WR,1,0,0,0,0,0,0,0,1,0,0,0,0.0,,,,,0,
35.0,Travis Jervey,30.0,RB,6,0,0,0,0,0,0,0,1,0,0,0,0.0,2.0,2.0,0.0,0.0,0,
36.0,Henry Jones,35.0,DB,9,0,0,0,0,0,0,1,0,0,0,0,0.0,22.0,18.0,4.0,0.0,0,
37.0,George Layne,24.0,RB,2,0,0,0,0,0,0,0,1,0,0,0,0.0,3.0,3.0,0.0,0.0,0,
38.0,Kevin Mathis,28.0,DB,11,0,3,21,0,13,4,0,0,1,0,0,0.0,20.0,19.0,1.0,0.0,0,
39.0,Quentin McCord,24.0,WR,9,0,0,0,0,0,0,0,0,0,0,0,0.0,4.0,4.0,0.0,0.0,0,
40.0,Will Overstreet,23.0,LB,2,0,0,0,0,0,0,0,0,0,0,0,0.0,3.0,3.0,0.0,1.0,0,
41.0,Derek Rackley,25.0,TE,16,0,0,0,0,0,0,0,0,0,0,0,0.0,3.0,3.0,0.0,0.0,0,
42.0,Allen Rossum,27.0,DB,14,0,0,0,0,0,0,0,1,0,0,0,0.0,16.0,11.0,5.0,1.0,0,
43.0,Mark Simoneau,25.0,LB,15,0,0,0,0,0,1,1,0,1,0,0,0.0,21.0,18.0,3.0,1.0,0,
44.0,Artie Ulmer,29.0,LB,15,0,0,0,0,0,0,0,0,0,0,0,0.0,23.0,22.0,1.0,1.0,0,
45.0,Fred Weary,28.0,DB,16,0,1,14,0,14,2,0,0,0,0,0,0.0,34.0,27.0,7.0,0.0,0,
,Team Totals,,,16,16,24,285,1,41,80,20,24,21,51,1,47.0,1012.0,829.0,183.0,84.0,0,
