Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 16_level_0,Tackles,Tackles,Tackles,Tackles,Unnamed: 21_level_0,Unnamed: 22_level_0
Rk,Player,Age,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,Sfty,Awards
1.0,Keith Brooking,29.0,LLB,2,2,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1.0,4,4.0,0.0,1.0,0.0,
2.0,Roderick Coleman,28.0,LDT,2,2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1.0,2,2.0,0.0,1.0,0.0,
3.0,Brady Smith,31.0,RDE,2,2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2.0,3,3.0,0.0,1.0,1.0,
4.0,Michael Vick,24.0,QB,2,2,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0.0,0,0.0,0.0,0.0,0.0,
5.0,Chris Draft,28.0,MLB,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,2,2.0,0.0,1.0,0.0,
6.0,DeAngelo Hall,21.0,LCB,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,4,3.0,1.0,0.0,0.0,
7.0,Ed Jasper,31.0,RDT,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,1,1.0,0.0,0.0,0.0,
8.0,Patrick Kerney,28.0,LDE,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1.0,3,3.0,0.0,2.0,0.0,
9.0,Bryan Scott,23.0,SS,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,3,3.0,0.0,0.0,0.0,
10.0,Matt Stewart,25.0,RLB,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,3,2.0,1.0,0.0,0.0,
11.0,Jason Webster,27.0,RCB,2,1,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0.0,1,1.0,0.0,0.0,0.0,
12.0,Dez White,25.0,WR,1,1,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0.0,0,,,0.0,0.0,
13.0,Carey Davis,23.0,RB,1,0,,,,,0,0,0,0,0,0,0.0,2,2.0,0.0,0.0,,
14.0,Jay Feely,28.0,K,1,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,1,1.0,0.0,0.0,0.0,
15.0,Brian Finneran,28.0,WR,1,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,1,1.0,0.0,0.0,0.0,
16.0,Travis Hall,32.0,DE,1,0,0.0,0.0,0.0,0.0,0,0,0,1,3,0,1.0,0,,,,0.0,
17.0,Kevin McCadam,25.0,DB,1,0,,,,,0,0,0,0,0,0,0.0,1,1.0,0.0,0.0,,
18.0,Allen Rossum,29.0,DB,1,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,2,2.0,0.0,0.0,0.0,
19.0,Siddeeq Shabazz,23.0,DB,1,0,,,,,0,0,0,0,0,0,0.0,1,1.0,0.0,0.0,,
20.0,Artie Ulmer,31.0,LB,1,0,,,,,0,0,0,0,0,0,0.0,2,2.0,0.0,0.0,,
21.0,Demorrio Williams,24.0,LB,1,0,,,,,0,0,0,0,0,0,0.0,4,4.0,0.0,0.0,,
,Team Totals,,,2,2,1.0,0.0,0.0,0.0,1,1,2,2,3,0,6.0,40,38.0,2.0,6.0,1.0,
