Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 16_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Unnamed: 22_level_0,Unnamed: 23_level_0
Rk,Player,Age,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards
1.0,Jonathan Babineaux,31.0,RDT,16,16,1,-2,0,-2,4,1,0,1,15,1,3.5,31,25,6,11,6,0,
2.0,Justin Blalock,29.0,LG,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,
3.0,Thomas DeCoud,27.0,FS,16,16,6,42,0,24,9,0,0,1,0,0,1.0,76,62,14,4,1,0,PB
4.0,Dunta Robinson,30.0,LCB,16,16,1,4,0,4,8,1,0,0,0,0,1.5,80,67,13,7,2,0,
5.0,Matt Ryan,27.0,QB,16,16,0,0,0,0,0,0,3,0,-2,0,0.0,0,0,0,0,0,0,PB
6.0,Michael Turner,30.0,RB,16,16,0,0,0,0,0,0,3,1,0,0,0.0,0,0,0,0,0,0,
7.0,John Abraham,34.0,RDE,16,15,0,0,0,0,8,6,0,0,0,0,10.0,35,32,3,12,19,0,
8.0,Stephen Nicholas,29.0,RLB,16,15,1,3,0,3,4,1,0,1,0,0,2.0,97,72,25,5,5,0,
9.0,Asante Samuel,31.0,RCB,15,15,5,110,1,79,17,0,0,0,0,0,0.0,36,34,2,0,0,0,
10.0,Roddy White,31.0,WR,16,15,0,0,0,0,0,0,1,1,0,0,0.0,0,0,0,0,0,0,
11.0,Akeem Dent,25.0,MLB,16,13,0,0,0,0,2,0,0,0,0,0,0.0,65,42,23,5,2,0,
12.0,Sean Weatherspoon,25.0,LLB,13,13,1,6,0,6,4,1,0,1,0,0,3.0,96,71,25,6,7,0,
13.0,William Moore,27.0,SS,12,12,4,51,0,33,9,2,0,1,0,0,1.0,75,59,16,5,3,0,PB
14.0,Peria Jerry,28.0,LDT,14,9,0,0,0,0,0,0,0,1,0,0,0.0,14,11,3,1,4,0,
15.0,Vance Walker,25.0,LDT/RDT,16,9,0,0,0,0,0,1,0,0,0,0,3.0,32,21,11,4,3,0,
16.0,Corey Peters,24.0,LDT,10,8,0,0,0,0,1,1,0,0,0,0,0.0,15,11,4,0,0,0,
17.0,Ray Edwards,27.0,DE,9,4,0,0,0,0,0,0,0,2,26,0,0.0,9,6,3,2,2,0,
18.0,Chris Hope,32.0,DB,16,4,0,0,0,0,0,0,0,1,0,0,0.0,26,18,8,1,0,0,
19.0,Kroy Biermann,27.0,LDE,16,3,0,0,0,0,0,0,0,0,0,0,4.0,52,37,15,5,13,0,
20.0,Robert McClain,24.0,DB,15,3,1,32,0,32,10,0,0,2,28,0,0.0,61,53,8,1,1,0,
21.0,Mike Peterson,36.0,LB,16,3,0,0,0,0,0,0,0,0,0,0,0.0,14,10,4,2,4,0,
22.0,Jason Snelling,29.0,RB,16,2,0,0,0,0,0,0,1,0,0,0,0.0,6,6,0,0,0,0,
23.0,Harry Douglas,28.0,WR,15,1,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,
24.0,Brent Grimes,29.0,DB,1,1,0,0,0,0,0,0,0,0,0,0,0.0,6,6,0,0,0,0,
25.0,Chris Owens,26.0,DB,13,1,0,0,0,0,4,1,0,0,0,0,0.0,22,19,3,1,0,0,
26.0,Matthew Bosher,25.0,P,16,0,0,0,0,0,0,0,0,0,0,0,0.0,4,2,2,0,0,0,
27.0,Kevin Cone,24.0,WR,12,0,0,0,0,0,0,0,0,0,0,0,0.0,3,3,0,0,0,0,
28.0,Dominique Franks,25.0,DB,16,0,0,0,0,0,2,0,0,0,0,0,0.0,14,11,3,0,1,0,
29.0,Tommy Gallarda,24.0,TE,9,0,0,0,0,0,0,0,0,0,0,0,0.0,2,1,1,0,0,0,
30.0,Josh Harris,23.0,DB,16,0,0,0,0,0,0,0,0,0,0,0,0.0,3,3,0,0,0,0,
31.0,Robert James,29.0,LB,16,0,0,0,0,0,0,0,0,0,0,0,0.0,11,9,2,0,0,0,
32.0,Jonathan Massaquoi,24.0,DE,8,0,0,0,0,0,0,0,0,0,0,0,0.0,2,2,0,0,0,0,
33.0,Cliff Matthews,23.0,DE,10,0,0,0,0,0,0,0,0,0,0,0,0.0,6,6,0,0,0,0,
34.0,Charles Mitchell,23.0,DB,10,0,0,0,0,0,0,0,0,0,0,0,0.0,2,1,1,0,0,0,
35.0,Travian Robertson,24.0,DT,7,0,0,0,0,0,0,0,0,0,0,0,0.0,2,2,0,0,1,0,
36.0,Lawrence Sidbury,26.0,DE,10,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,
37.0,Antone Smith,27.0,RB,13,0,0,0,0,0,0,0,0,0,0,0,0.0,4,4,0,0,0,0,
,Team Totals,,,16,16,20,246,1,79,82,15,9,14,67,1,29.0,902,706,196,72,74,0,
