Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scrimmage,Scrimmage,Scrimmage,Scrimmage,Unnamed: 31_level_0,Unnamed: 32_level_0
Rk,Player,Age,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
1.0,Julio Jones,27.0,WR,3,3,0,0,0,0,,,,0.0,0.0,24,19,334,17.6,3,17,75.0,73.0,6.3,111.3,79.2,13.9,19,17.6,334,3,0,
2.0,Devonta Freeman,24.0,RB,3,3,39,162,2,8,43.6,37.0,4.2,54.0,13.0,12,10,168,16.8,1,5,58.3,53.0,3.3,56.0,83.3,14.0,49,6.7,330,3,0,
3.0,Tevin Coleman,23.0,RB,3,0,29,115,1,7,58.6,15.0,4.0,38.3,9.7,8,7,63,9.0,2,5,62.5,17.0,2.3,21.0,87.5,7.9,36,4.9,178,3,0,
4.0,Taylor Gabriel,25.0,WR,3,0,1,0,0,0,0.0,,0.0,0.0,0.3,14,9,171,19.0,0,7,57.1,37.0,3.0,57.0,64.3,12.2,10,17.1,171,0,1,
5.0,Mohamed Sanu,27.0,WR,3,3,1,7,0,0,100.0,7.0,7.0,2.3,0.3,14,11,121,11.0,2,11,78.6,22.0,3.7,40.3,78.6,8.6,12,10.7,128,2,0,
6.0,Austin Hooper,22.0,TE,3,1,0,0,0,0,,,,0.0,0.0,9,6,65,10.8,1,4,66.7,19.0,2.0,21.7,66.7,7.2,6,10.8,65,1,0,
7.0,Patrick DiMarco,27.0,RB,3,2,0,0,0,0,,,,0.0,0.0,4,3,43,14.3,0,2,50.0,31.0,1.0,14.3,75.0,10.8,3,14.3,43,0,0,
8.0,Levine Toilolo,25.0,TE,2,2,0,0,0,0,,,,0.0,0.0,6,3,31,10.3,0,1,33.3,18.0,1.5,15.5,50.0,5.2,3,10.3,31,0,0,
9.0,Matt Ryan,31.0,QB,2,2,6,20,1,1,33.3,14.0,3.3,10.0,3.0,0,0,0,,0,0,,,0.0,0.0,,,6,3.3,20,1,2,
10.0,Justin Hardy,25.0,WR,1,0,1,0,0,0,0.0,,0.0,0.0,1.0,2,2,18,9.0,0,2,100.0,11.0,2.0,18.0,100.0,9.0,3,6.0,18,0,0,
11.0,Aldrick Robinson,28.0,WR,2,0,0,0,0,0,,,,0.0,0.0,4,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,0,0,0,
,Team Totals,,,3,3,77,304,4,16,48.1,37.0,3.9,101.3,25.7,97,70,1014,14.5,9,54,62.9,73.0,23.3,338.0,72.2,10.5,147,9.0,1318,13,3,
