Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 16_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Unnamed: 22_level_0,Unnamed: 23_level_0
Rk,Player,Age,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards
1.0,Robert Alford,29.0,LCB,2,2,0,0,0,0,3,0,0,0,0,0,0.0,11,10,1,0.0,0.0,0,
2.0,Ricardo Allen,26.0,SS,2,2,0,0,0,0,0,1,0,0,0,0,0.0,5,5,0,0.0,0.0,0,
3.0,Vic Beasley,25.0,LLB,2,2,0,0,0,0,1,0,0,0,0,0,1.0,6,5,1,1.0,1.0,0,
4.0,De'Vondre Campbell,24.0,RLB,2,2,0,0,0,0,0,0,0,0,0,0,1.0,8,8,0,2.0,2.0,0,
5.0,Adrian Clayborn,29.0,DE,2,2,0,0,0,0,0,0,0,0,0,0,0.0,2,2,0,2.0,2.0,0,
6.0,Deion Jones,23.0,MLB,2,2,0,0,0,0,1,0,0,0,0,0,0.0,13,9,4,1.0,0.0,0,
7.0,Keanu Neal,22.0,FS,2,2,0,0,0,0,1,0,0,1,0,0,0.0,14,11,3,1.0,0.0,0,
8.0,Dontari Poe,27.0,LDT,2,2,0,0,0,0,0,0,0,0,0,0,0.0,5,4,1,1.0,0.0,0,
9.0,Brian Poole,25.0,DB,2,2,0,0,0,0,0,0,0,0,0,0,0.0,7,6,1,0.0,0.0,0,
10.0,Desmond Trufant,27.0,RCB,2,2,0,0,0,0,2,0,0,0,0,0,0.0,9,8,1,0.0,0.0,0,
11.0,Grady Jarrett,24.0,RDT,1,1,0,0,0,0,0,0,0,0,0,0,0.0,2,2,0,0.0,1.0,0,
12.0,Levine Toilolo,26.0,TE,1,1,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0.0,0.0,0,
13.0,Kemal Ishmael,26.0,DB,2,0,0,0,0,0,0,0,0,1,0,0,0.0,7,6,1,1.0,0.0,0,
14.0,Damontae Kazee,24.0,DB,1,0,0,0,0,0,0,1,0,0,0,0,0.0,3,3,0,0.0,0.0,0,
15.0,Takkarist McKinley,22.0,DE,2,0,0,0,0,0,1,0,0,0,0,0,2.0,5,4,1,2.0,2.0,0,
16.0,Brooks Reed,30.0,LDE,1,0,0,0,0,0,0,0,0,0,0,0,0.0,3,3,0,0.0,1.0,0,
17.0,LaRoy Reynolds,27.0,LB,2,0,0,0,0,0,0,0,0,2,0,0,0.0,0,0,0,,,0,
18.0,Duke Riley,23.0,LB,2,0,0,0,0,0,0,0,0,0,0,0,0.0,3,3,0,0.0,0.0,0,
19.0,Ahtyba Rubin,31.0,DT,1,0,0,0,0,0,0,0,0,0,0,0,0.0,2,2,0,0.0,0.0,0,
20.0,Derrick Shelby,28.0,RDE,1,0,0,0,0,0,1,0,0,0,0,0,0.0,1,1,0,0.0,0.0,0,
21.0,Courtney Upshaw,28.0,LB,1,0,0,0,0,0,1,0,0,0,0,0,0.0,2,0,2,0.0,0.0,0,
22.0,Terron Ward,25.0,RB,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0.0,0.0,0,
23.0,Blidi Wreh-Wilson,28.0,DB,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0.0,0.0,0,
,Team Totals,,,2,2,0,0,0,0,11,2,0,4,0,0,4.0,111,95,16,11.0,9.0,0,
