Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scrimmage,Scrimmage,Scrimmage,Scrimmage,Unnamed: 31_level_0,Unnamed: 32_level_0
Rk,Player,Age,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
1.0,Cordarrelle Patterson,30.0,RB,16,13,153,618,6,29,43.1,39.0,4.0,38.6,9.6,69,52,548,10.5,5,26,52.2,64.0,3.3,34.3,75.4,7.9,205,5.7,1166,11,2,
2.0,Kyle Pitts,21.0,TE,17,15,0,0,0,0,,,,0.0,0.0,110,68,1026,15.1,1,43,50.9,61.0,4.0,60.4,61.8,9.3,68,15.1,1026,1,0,PB
3.0,Russell Gage,25.0,WR,14,9,0,0,0,0,,,,0.0,0.0,94,66,770,11.7,4,37,55.3,49.0,4.7,55.0,70.2,8.2,66,11.7,770,4,2,
4.0,Mike Davis,28.0,RB,17,8,138,503,3,21,42.0,18.0,3.6,29.6,8.1,58,44,259,5.9,1,12,39.7,20.0,2.6,15.2,75.9,4.5,182,4.2,762,4,4,
5.0,Olamide Zaccheaus,24.0,WR,17,8,1,2,0,1,100.0,2.0,2.0,0.1,0.1,53,31,406,13.1,3,22,49.1,49.0,1.8,23.9,58.5,7.7,32,12.8,408,3,0,
6.0,Calvin Ridley,27.0,WR,5,5,0,0,0,0,,,,0.0,0.0,52,31,281,9.1,2,16,46.2,22.0,6.2,56.2,59.6,5.4,31,9.1,281,2,0,
7.0,Tajae Sharpe,27.0,WR,15,7,0,0,0,0,,,,0.0,0.0,37,25,230,9.2,0,14,48.6,17.0,1.7,15.3,67.6,6.2,25,9.2,230,0,0,
8.0,Hayden Hurst,28.0,TE,13,5,0,0,0,0,,,,0.0,0.0,31,26,221,8.5,3,11,58.1,33.0,2.0,17.0,83.9,7.1,26,8.5,221,3,3,
9.0,Wayne Gallman,27.0,RB,6,0,28,104,0,5,35.7,17.0,3.7,17.3,4.7,3,1,21,21.0,0,1,33.3,21.0,0.2,3.5,33.3,7.0,29,4.3,125,0,0,
10.0,Qadree Ollison,25.0,RB,8,0,21,105,1,7,52.4,19.0,5.0,13.1,2.6,6,4,12,3.0,0,1,33.3,8.0,0.5,1.5,66.7,2.0,25,4.7,117,1,1,
11.0,Keith Smith,29.0,FB,17,8,9,31,0,3,55.6,8.0,3.4,1.8,0.5,10,9,56,6.2,0,3,60.0,11.0,0.5,3.3,90.0,5.6,18,4.8,87,0,0,
12.0,Matt Ryan,36.0,QB,17,17,40,82,1,9,30.0,17.0,2.1,4.8,2.4,0,0,0,,0,0,,,0.0,0.0,,,40,2.1,82,1,11,
13.0,Lee Smith,34.0,TE,16,6,0,0,0,0,,,,0.0,0.0,11,9,65,7.2,1,3,54.5,22.0,0.6,4.1,81.8,5.9,9,7.2,65,1,0,
14.0,Parker Hesse,26.0,DE,8,1,0,0,0,0,,,,0.0,0.0,6,5,43,8.6,0,3,83.3,17.0,0.6,5.4,83.3,7.2,5,8.6,43,0,0,
15.0,Christian Blake,25.0,WR,16,0,0,0,0,0,,,,0.0,0.0,9,4,25,6.3,0,2,33.3,8.0,0.3,1.6,44.4,2.8,4,6.3,25,0,0,
16.0,Frank Darby,24.0,WR,10,0,0,0,0,0,,,,0.0,0.0,4,1,14,14.0,0,1,25.0,14.0,0.1,1.4,25.0,3.5,1,14.0,14,0,0,
17.0,Marvin Hall,28.0,WR,2,0,0,0,0,0,,,,0.0,0.0,1,1,10,10.0,0,1,100.0,10.0,0.5,5.0,100.0,10.0,1,10.0,10,0,0,
18.0,Feleipe Franks,24.0,QB,9,0,3,6,0,0,0.0,4.0,2.0,0.7,0.3,0,0,0,,0,0,,,0.0,0.0,,,3,2.0,6,0,0,
,Team Totals,,,17,17,393,1451,11,75,41.5,39.0,3.7,85.4,23.1,554,377,3987,10.6,20,196,50.2,64.0,22.2,234.5,68.1,7.2,770,7.1,5438,31,23,
