Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 16_level_0,Tackles,Tackles,Tackles,Tackles,Unnamed: 21_level_0,Unnamed: 22_level_0
Rk,Player,Age,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,Sfty,Awards
1.0,Bill Conaty,28.0,C,16,16,0,0,0,0,0.0,0,0,1,0,0,0.0,1.0,1.0,0.0,0.0,0,
2.0,Jay Foreman,25.0,RLB,16,16,0,0,0,0,0.0,1,0,2,0,0,2.5,102.0,73.0,29.0,8.0,0,
3.0,Eric Moulds,28.0,WR,16,16,0,0,0,0,0.0,0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0,
4.0,Keith Newman,24.0,LLB,16,16,0,0,0,0,6.0,2,0,0,0,0,3.5,85.0,64.0,21.0,8.0,0,
5.0,Peerless Price,25.0,WR,16,16,0,0,0,0,0.0,0,2,1,0,0,0.0,0.0,0.0,0.0,0.0,0,
6.0,Antoine Winfield,24.0,LCB,16,16,2,0,0,0,11.0,1,0,1,5,0,0.0,81.0,69.0,12.0,3.0,0,
7.0,Brandon Spoon,23.0,MLB,14,14,2,51,2,44,2.0,0,0,0,0,0,0.0,65.0,45.0,20.0,7.0,0,
8.0,Larry Centers,33.0,FB,16,13,0,0,0,0,0.0,0,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0,PB
9.0,Raion Hill,25.0,SS,15,13,0,0,0,0,3.0,2,0,1,0,0,0.0,54.0,33.0,21.0,2.0,0,
10.0,Pat Williams,29.0,RDT,13,13,0,0,0,0,0.0,0,0,0,0,0,1.5,59.0,41.0,18.0,10.0,0,
11.0,Phil Hansen,33.0,LDE,12,12,1,17,0,17,3.0,0,0,0,0,0,3.0,31.0,22.0,9.0,2.0,0,
12.0,Travis Henry,23.0,RB,13,12,0,0,0,0,0.0,0,5,2,0,0,0.0,0.0,0.0,0.0,0.0,0,
13.0,Corey Hulsey,24.0,RG,16,12,0,0,0,0,0.0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0,
14.0,Nate Clements,22.0,RCB,16,11,3,48,1,48,14.0,3,1,0,0,0,1.0,67.0,57.0,10.0,2.0,0,AP DRoY-3
15.0,Shawn Price,31.0,LDT,11,11,0,0,0,0,1.0,0,0,0,0,0,2.0,34.0,18.0,16.0,5.0,0,
16.0,Aaron Schobel,24.0,RDE,16,11,0,0,0,0,2.0,0,0,0,0,0,6.5,42.0,31.0,11.0,7.0,0,
17.0,Keion Carpenter,24.0,FS,15,10,0,0,0,0,2.0,1,0,0,0,0,0.0,34.0,24.0,10.0,2.0,0,
18.0,Rob Johnson,28.0,QB,8,8,0,0,0,0,0.0,0,6,1,-4,0,0.0,0.0,0.0,0.0,0.0,0,
19.0,Alex Van Pelt,31.0,QB,12,8,0,0,0,0,0.0,0,5,1,0,0,0.0,0.0,0.0,0.0,0.0,0,
20.0,Jerry Ostroski,31.0,RG,7,7,0,0,0,0,0.0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0,
21.0,Erik Flowers,23.0,RDE,15,6,0,0,0,0,0.0,0,0,0,0,0,2.0,21.0,14.0,7.0,4.0,0,
22.0,Travares Tillman,24.0,FS,13,6,1,0,0,0,4.0,1,0,1,17,0,0.0,33.0,22.0,11.0,0.0,0,
23.0,Leif Larsen,26.0,LDT,9,5,0,0,0,0,0.0,0,0,0,0,0,1.0,17.0,11.0,6.0,1.0,0,
24.0,Ken Irvin,29.0,DB,14,4,1,0,0,0,3.0,0,0,0,0,0,0.0,36.0,33.0,3.0,0.0,0,
25.0,Shawn Bryson,25.0,RB,15,3,0,0,0,0,0.0,0,0,0,0,0,0.0,4.0,4.0,0.0,0.0,0,
26.0,Ron Edwards,22.0,DT,7,3,0,0,0,0,0.0,0,0,0,0,0,0.0,10.0,7.0,3.0,1.0,0,
27.0,Phillip Crosby,25.0,FB,16,2,0,0,0,0,0.0,1,0,1,0,0,0.0,9.0,7.0,2.0,0.0,0,
28.0,Bryce Fisher,24.0,DE,13,2,0,0,0,0,1.0,1,0,0,0,0,3.0,33.0,20.0,13.0,6.0,0,
29.0,Pierson Prioleau,24.0,DB,6,2,0,0,0,0,1.0,1,0,0,0,0,1.0,35.0,27.0,8.0,1.0,0,
30.0,Lance Brown,29.0,DB,14,1,0,0,0,0,1.0,0,0,0,0,0,0.0,16.0,10.0,6.0,2.0,0,
31.0,Sam Cowart,26.0,LB,1,1,0,0,0,0,0.0,0,0,0,0,0,0.0,2.0,0.0,2.0,0.0,0,
32.0,Reggie Germany,23.0,WR,16,1,0,0,0,0,1.0,0,0,1,0,0,0.0,5.0,4.0,1.0,0.0,0,
33.0,Sheldon Jackson,25.0,TE,16,1,0,0,0,0,0.0,0,0,0,0,0,0.0,1.0,1.0,0.0,0.0,0,
34.0,Sammy Morris,24.0,RB,16,1,0,0,0,0,0.0,0,1,1,0,0,0.0,8.0,7.0,1.0,0.0,0,
35.0,Kendrick Office,23.0,DE,8,1,0,0,0,0,0.0,2,0,0,0,0,3.0,16.0,11.0,5.0,3.0,0,
36.0,DaShon Polk,24.0,LB,16,1,0,0,0,0,0.0,0,0,0,0,0,0.0,32.0,25.0,7.0,1.0,0,
37.0,Kenyatta Wright,23.0,LB,11,1,0,0,0,0,1.0,1,0,1,0,0,1.5,36.0,28.0,8.0,1.0,0,
38.0,Avion Black,24.0,WR,14,0,0,0,0,0,0.0,0,0,1,0,0,0.0,5.0,5.0,0.0,0.0,0,
39.0,Travis Brown,24.0,QB,1,0,0,0,0,0,0.0,0,1,0,0,0,0.0,,,,,0,
40.0,Tony Driver,24.0,DB,5,0,0,0,0,0,0.0,0,0,0,0,0,0.0,3.0,3.0,0.0,0.0,0,
41.0,Shayne Graham,24.0,K,6,0,0,0,0,0,0.0,0,0,0,0,0,0.0,3.0,2.0,1.0,0.0,0,
