Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scrimmage,Scrimmage,Scrimmage,Scrimmage,Unnamed: 31_level_0,Unnamed: 32_level_0
Rk,Player,Age,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
1.0,Fred Jackson,32.0,RB,16,6,206,890,9,54,51.0,59.0,4.3,55.6,12.9,65,47,387,8.2,1,17,43.1,37.0,2.9,24.2,72.3,6.0,253,5.0,1277,10,3,
2.0,C.J. Spiller,26.0,RB,15,10,202,933,2,27,34.7,77.0,4.6,62.2,13.5,41,33,185,5.6,0,7,36.6,27.0,2.2,12.3,80.5,4.5,235,4.8,1118,2,4,
3.0,Scott Chandler,28.0,TE,16,7,0,0,0,0,,,,0.0,0.0,81,53,655,12.4,2,26,53.1,33.0,3.3,40.9,65.4,8.1,53,12.4,655,2,1,
4.0,Stevie Johnson,27.0,WR,12,12,1,10,0,0,0.0,10.0,10.0,0.8,0.1,101,52,597,11.5,3,33,41.6,45.0,4.3,49.8,51.5,5.9,53,11.5,607,3,1,
5.0,Robert Woods,21.0,WR,14,14,2,16,0,1,50.0,13.0,8.0,1.1,0.1,85,40,587,14.7,3,26,42.4,57.0,2.9,41.9,47.1,6.9,42,14.4,603,3,0,
6.0,T.J. Graham,24.0,WR,16,6,4,14,0,2,50.0,14.0,3.5,0.9,0.3,58,23,361,15.7,2,14,31.0,47.0,1.4,22.6,39.7,6.2,27,13.9,375,2,1,
7.0,Marquise Goodwin,23.0,WR,12,1,3,13,0,1,33.3,17.0,4.3,1.1,0.3,32,17,283,16.6,3,13,43.8,59.0,1.4,23.6,53.1,8.8,20,14.8,296,3,1,
8.0,EJ Manuel,23.0,QB,10,10,53,186,2,18,41.5,19.0,3.5,18.6,5.3,0,0,0,,0,0,,,0.0,0.0,,,53,3.5,186,2,6,
9.0,Tashard Choice,29.0,RB,12,0,35,126,0,7,54.3,20.0,3.6,10.5,2.9,8,4,10,2.5,0,0,12.5,5.0,0.3,0.8,50.0,1.3,39,3.5,136,0,0,
10.0,Frank Summers,28.0,RB,15,9,12,46,1,3,50.0,16.0,3.8,3.1,0.8,8,7,79,11.3,1,5,87.5,34.0,0.5,5.3,87.5,9.9,19,6.6,125,2,0,
11.0,Chris Hogan,26.0,WR,16,0,0,0,0,0,,,,0.0,0.0,17,10,83,8.3,0,4,52.9,16.0,0.6,5.2,58.8,4.9,10,8.3,83,0,0,
12.0,Lee Smith,26.0,TE,16,14,0,0,0,0,,,,0.0,0.0,9,5,78,15.6,0,4,44.4,28.0,0.3,4.9,55.6,8.7,5,15.6,78,0,0,
13.0,Chris Gragg,23.0,TE,9,1,0,0,0,0,,,,0.0,0.0,7,5,53,10.6,1,4,71.4,28.0,0.6,5.9,71.4,7.6,5,10.6,53,1,0,
14.0,Thaddeus Lewis,28.0,QB,6,5,24,52,1,6,37.5,8.0,2.2,8.7,4.0,0,0,0,,0,0,,,0.0,0.0,,,24,2.2,52,1,7,
15.0,Jeff Tuel,22.0,QB,2,1,3,17,0,1,33.3,14.0,5.7,8.5,1.5,0,0,0,,0,0,,,0.0,0.0,,,3,5.7,17,0,0,
16.0,Marcus Easley,26.0,WR,16,0,0,0,0,0,,,,0.0,0.0,5,2,13,6.5,0,0,0.0,9.0,0.1,0.8,40.0,2.6,2,6.5,13,0,0,
17.0,Ronnie Wingo,22.0,RB,2,0,1,4,0,0,0.0,4.0,4.0,2.0,0.5,1,1,2,2.0,0,0,0.0,2.0,0.5,1.0,100.0,2.0,2,3.0,6,0,0,
18.0,Evan Rodriguez,25.0,TE,7,0,0,0,0,0,,,,0.0,0.0,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,0,0,0,
,Team Totals,,,16,16,546,2307,15,120,43.2,77.0,4.2,144.2,34.1,519,299,3373,11.3,16,153,42.8,59.0,18.7,210.8,57.6,6.5,845,6.7,5680,31,24,
