Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Score,Score,Offense,Offense,Offense,Offense,Offense,Defense,Defense,Defense,Defense,Defense,Expected Points,Expected Points,Expected Points
Week,Day,Date,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,OT,Rec,Unnamed: 8_level_1,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,September 13,1:03PM ET,boxscore,W,,1-0,,Indianapolis Colts,27.0,14.0,15.0,342.0,195.0,147.0,,23.0,304.0,240.0,64.0,3.0,5.84,-1.79,9.54
2,Sun,September 20,1:02PM ET,boxscore,L,,1-1,,New England Patriots,32.0,40.0,23.0,349.0,189.0,160.0,3.0,28.0,507.0,451.0,56.0,2.0,5.24,-6.15,-7.57
3,Sun,September 27,4:25PM ET,boxscore,W,,2-1,@,Miami Dolphins,41.0,14.0,21.0,428.0,277.0,151.0,,21.0,391.0,289.0,102.0,3.0,19.56,8.29,-2.1
4,Sun,October 4,1:02PM ET,boxscore,L,,2-2,,New York Giants,10.0,24.0,14.0,313.0,258.0,55.0,2.0,19.0,303.0,211.0,92.0,1.0,-16.54,7.99,-0.49
5,Sun,October 11,1:03PM ET,boxscore,W,,3-2,@,Tennessee Titans,14.0,13.0,13.0,209.0,82.0,127.0,1.0,17.0,276.0,179.0,97.0,1.0,-1.53,2.28,0.63
6,Sun,October 18,1:02PM ET,boxscore,L,,3-3,,Cincinnati Bengals,21.0,34.0,22.0,368.0,256.0,112.0,1.0,21.0,355.0,243.0,112.0,,7.47,-16.07,-6.83
7,Sun,October 25,8:35AM ET,boxscore,L,,3-4,@,Jacksonville Jaguars,31.0,34.0,26.0,375.0,260.0,115.0,4.0,17.0,295.0,175.0,120.0,1.0,-12.44,5.82,2.68
8,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
9,Sun,November 8,1:02PM ET,boxscore,W,,4-4,,Miami Dolphins,33.0,17.0,18.0,420.0,154.0,266.0,,29.0,397.0,289.0,108.0,1.0,21.16,-17.01,8.7
10,Thu,November 12,8:26PM ET,boxscore,W,,5-4,@,New York Jets,22.0,17.0,13.0,280.0,132.0,148.0,,15.0,318.0,190.0,128.0,4.0,-11.29,11.12,8.48
11,Mon,November 23,8:30PM ET,boxscore,L,,5-5,@,New England Patriots,13.0,20.0,16.0,319.0,225.0,94.0,1.0,18.0,356.0,271.0,85.0,1.0,-1.49,-1.75,-3.36
12,Sun,November 29,1:03PM ET,boxscore,L,,5-6,@,Kansas City Chiefs,22.0,30.0,25.0,415.0,286.0,129.0,2.0,21.0,413.0,255.0,158.0,,7.54,-16.67,-0.74
13,Sun,December 6,1:02PM ET,boxscore,W,,6-6,,Houston Texans,30.0,21.0,15.0,390.0,203.0,187.0,,21.0,401.0,275.0,126.0,1.0,11.35,-3.17,1.56
14,Sun,December 13,1:01PM ET,boxscore,L,,6-7,@,Philadelphia Eagles,20.0,23.0,18.0,412.0,260.0,152.0,2.0,20.0,348.0,232.0,116.0,1.0,1.5,-0.91,-3.3
15,Sun,December 20,1:03PM ET,boxscore,L,,6-8,@,Washington Redskins,25.0,35.0,21.0,452.0,212.0,240.0,,23.0,431.0,308.0,123.0,1.0,13.71,-27.35,0.21
16,Sun,December 27,1:02PM ET,boxscore,W,,7-8,,Dallas Cowboys,16.0,6.0,19.0,408.0,172.0,236.0,2.0,14.0,307.0,186.0,121.0,2.0,-0.35,4.89,6.43
17,Sun,January 3,1:02PM ET,boxscore,W,,8-8,,New York Jets,22.0,17.0,18.0,295.0,182.0,113.0,1.0,15.0,300.0,178.0,122.0,3.0,-0.17,1.41,5.25
