Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scrimmage,Scrimmage,Scrimmage,Scrimmage,Unnamed: 31_level_0,Unnamed: 32_level_0
Rk,Player,Age,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
1.0,Gabriel Davis,22.0,WR,2,0,0,0,0,0,,,,0.0,0.0,13,10,242,24.2,5,10,76.9,75.0,5.0,121.0,76.9,18.6,10,24.2,242,5,0,
2.0,Devin Singletary,24.0,RB,2,2,26,107,3,11,65.4,16.0,4.1,53.5,13.0,9,7,38,5.4,0,3,55.6,15.0,3.5,19.0,77.8,4.2,33,4.4,145,3,0,
3.0,Josh Allen,25.0,QB,2,2,17,134,0,10,76.5,26.0,7.9,67.0,8.5,0,0,0,,0,0,,,0.0,0.0,,,17,7.9,134,0,1,
4.0,Dawson Knox,25.0,TE,2,2,0,0,0,0,,,,0.0,0.0,9,7,98,14.0,2,4,66.7,38.0,3.5,49.0,77.8,10.9,7,14.0,98,2,0,
5.0,Isaiah McKenzie,26.0,WR,2,1,6,44,0,2,66.7,15.0,7.3,22.0,3.0,4,4,48,12.0,0,2,75.0,19.0,2.0,24.0,100.0,12.0,10,9.2,92,0,0,
6.0,Cole Beasley,32.0,WR,2,0,0,0,0,0,,,,0.0,0.0,9,7,79,11.3,0,3,66.7,24.0,3.5,39.5,77.8,8.8,7,11.3,79,0,0,
7.0,Stefon Diggs,28.0,WR,2,2,0,0,0,0,,,,0.0,0.0,10,6,67,11.2,0,2,40.0,45.0,3.0,33.5,60.0,6.7,6,11.2,67,0,0,
8.0,Emmanuel Sanders,34.0,WR,2,2,0,0,0,0,,,,0.0,0.0,4,3,52,17.3,1,2,50.0,34.0,1.5,26.0,75.0,13.0,3,17.3,52,1,0,
9.0,Reggie Gilliam,24.0,FB,2,1,0,0,0,0,,,,0.0,0.0,3,3,12,4.0,0,0,33.3,7.0,1.5,6.0,100.0,4.0,3,4.0,12,0,0,
10.0,Tommy Doyle,23.0,T,1,0,0,0,0,0,,,,0.0,0.0,1,1,1,1.0,1,1,100.0,1.0,1.0,1.0,100.0,1.0,1,1.0,1,1,0,
11.0,Zack Moss,24.0,RB,1,0,1,0,0,0,0.0,,0.0,0.0,1.0,0,0,0,,0,0,,,0.0,0.0,,,1,0.0,0,0,0,
12.0,Mitchell Trubisky,27.0,QB,1,0,3,-2,0,0,0.0,,-0.7,-2.0,3.0,0,0,0,,0,0,,,0.0,0.0,,,3,-0.7,-2,0,0,
,Team Totals,,,2,2,53,283,3,23,64.2,26.0,5.3,141.5,26.5,62,48,637,13.3,9,27,61.3,75.0,24.0,318.5,77.4,10.3,101,9.1,920,12,1,
