Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 16_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Unnamed: 22_level_0,Unnamed: 23_level_0
Rk,Player,Age,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards
1.0,Josh Allen,27.0,QB,17,17,0,0,0,0,0,0,7,1,-4,0,0.0,0,0,0,0,0,0,"AP MVP-5,AP OPoY-6"
2.0,Terrel Bernard,24.0,LB,17,17,3,2,0,2,5,0,0,3,-1,0,6.5,143,84,59,10,9,0,
3.0,Gabriel Davis,24.0,WR,17,17,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,
4.0,Stefon Diggs,30.0,WR,17,17,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,0,0,0,PB
5.0,Taron Johnson,27.0,CB,17,17,0,0,0,0,8,3,0,1,0,0,1.0,98,72,26,3,2,0,AP-2
6.0,Connor McGovern,26.0,G,17,17,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,
7.0,O'Cyrus Torrence,23.0,G,17,17,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,
8.0,Leonard Floyd,31.0,RDE,17,16,0,0,0,0,1,1,0,0,0,0,10.5,32,21,11,9,19,0,
9.0,Ed Oliver,26.0,DT,16,16,1,0,0,0,3,1,0,0,0,0,9.5,51,34,17,14,16,0,
10.0,Jordan Poyer,32.0,SS,16,16,0,0,0,0,4,1,0,0,0,0,1.0,100,66,34,2,2,0,
11.0,Gregory Rousseau,23.0,DE,16,16,0,0,0,0,4,1,0,1,0,0,5.0,42,30,12,12,18,0,
12.0,Christian Benford,23.0,CB,15,14,2,8,0,8,10,2,0,1,0,0,0.0,54,43,11,3,0,0,
13.0,Micah Hyde,32.0,S,14,14,2,24,0,23,7,0,0,0,0,0,0.0,54,37,17,1,1,0,
14.0,James Cook,24.0,RB,17,13,0,0,0,0,0,0,4,1,0,0,0.0,0,0,0,0,0,0,PB
15.0,Dalton Kincaid,24.0,TE,16,11,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,
16.0,Tyrel Dodson,25.0,LB,17,10,0,0,0,0,2,1,0,1,0,0,2.5,74,57,17,8,6,0,
17.0,Khalil Shakir,23.0,WR,17,10,0,0,0,0,0,0,1,1,0,0,0.0,0,0,0,0,0,0,
18.0,Jordan Phillips,31.0,DT,14,9,0,0,0,0,5,0,0,0,0,0,2.5,15,10,5,2,5,0,
19.0,Rasul Douglas,28.0,CB,9,8,4,58,1,40,8,0,0,2,2,0,1.0,29,21,8,1,1,0,
20.0,DaQuan Jones,32.0,DT,7,7,0,0,0,0,0,0,0,0,0,0,2.5,16,8,8,4,5,0,
