Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 16_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Unnamed: 22_level_0,Unnamed: 23_level_0
Rk,Player,Age,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards
1.0,Micah Hyde,32.0,S,2,2,0,0,0,0,0,0,0,0,0,0,0.0,7,7,0,0,0,0,
2.0,Dane Jackson,27.0,CB,2,2,0,0,0,0,4,0,0,0,0,0,0.0,2,1,1,0,0,0,
3.0,Taron Johnson,27.0,CB,2,2,0,0,0,0,0,1,0,0,0,0,0.0,8,5,3,0,0,0,
4.0,DaQuan Jones,32.0,DT,2,2,0,0,0,0,0,0,0,0,0,0,0.0,3,0,3,0,0,0,
5.0,Ed Oliver,26.0,DT,2,2,0,0,0,0,1,0,0,0,0,0,0.0,2,1,1,1,3,0,
6.0,Jordan Poyer,32.0,SS,2,2,0,0,0,0,0,1,0,0,0,0,0.0,14,9,5,0,0,0,
7.0,Gregory Rousseau,23.0,DE,2,2,0,0,0,0,0,0,0,0,0,0,1.0,5,2,3,1,2,0,
8.0,Josh Allen,27.0,QB,1,1,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,
9.0,Christian Benford,23.0,CB,1,1,0,0,0,0,0,1,0,0,0,0,0.0,1,1,0,0,0,0,
10.0,Terrel Bernard,24.0,LB,1,1,0,0,0,0,2,0,0,1,0,0,0.0,4,3,1,0,0,0,
11.0,Spencer Brown,25.0,T,1,1,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,
12.0,Stefon Diggs,30.0,WR,1,1,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,
13.0,Tyrel Dodson,25.0,LB,1,1,0,0,0,0,0,0,0,0,0,0,0.0,8,7,1,1,0,0,
14.0,Rasul Douglas,28.0,CB,1,1,0,0,0,0,0,1,0,0,0,0,0.0,2,1,1,0,0,0,
15.0,Leonard Floyd,31.0,RDE,1,1,0,0,0,0,0,0,0,0,0,0,0.0,4,1,3,0,1,0,
16.0,A.J. Klein,32.0,LB,2,1,0,0,0,0,0,0,0,0,0,0,0.0,16,8,8,0,0,0,
17.0,Baylon Spector,25.0,LB,1,1,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,
18.0,Kaiir Elam,22.0,CB,1,0,1,0,0,0,1,0,0,0,0,0,0.0,5,1,4,0,0,0,
19.0,A.J. Epenesa,25.0,DE,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,1,0,0,
20.0,Damar Hamlin,25.0,S,1,0,0,0,0,0,0,0,0,0,0,0,0.0,2,2,0,0,0,0,
21.0,Linval Joseph,35.0,DT,2,0,0,0,0,0,0,0,0,0,0,0,0.0,3,0,3,0,0,0,
22.0,Shaq Lawson,29.0,DE,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,
23.0,Cameron Lewis,26.0,CB,2,0,0,0,0,0,0,0,0,0,0,0,0.0,4,2,2,0,0,0,
24.0,Tyler Matakevich,31.0,LB,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,
25.0,Von Miller,34.0,LB,1,0,0,0,0,0,0,0,0,0,0,0,0.0,2,1,1,0,0,0,
26.0,Quintin Morris,24.0,TE,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,
27.0,Tim Settle,26.0,DT,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,
28.0,Dorian Williams,22.0,LB,2,0,0,0,0,0,0,0,0,0,0,0,0.0,10,6,4,1,0,0,
,Team Totals,,,2,2,1,0,0,0,8,4,2,2,0,0,1.0,108,62,46,5,6,0,
