Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 16_level_0,Tackles,Tackles,Tackles,Tackles,Unnamed: 21_level_0,Unnamed: 22_level_0
Rk,Player,Age,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,Sfty,Awards
1.0,Brentson Buckner,34.0,LDT,16,16,0,0,0,0,5.0,0,0,1,0,0,1.0,36.0,28.0,8.0,6.0,0,
2.0,Keary Colbert,23.0,WR,16,16,0,0,0,0,0.0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0,
3.0,Jake Delhomme,30.0,QB,16,16,0,0,0,0,0.0,0,12,3,-4,0,0.0,0.0,0.0,0.0,0.0,0,PB
4.0,Jordan Gross,25.0,RT,16,16,0,0,0,0,,0,0,3,0,0,0.0,,,,,0,
5.0,Mike Minter,31.0,FS,16,16,1,47,0,47,9.0,1,0,0,0,0,1.5,63.0,41.0,22.0,1.0,0,
6.0,Jeff Mitchell,31.0,C,16,16,0,0,0,0,0.0,0,0,0,0,0,0.0,1.0,0.0,1.0,0.0,0,
7.0,Julius Peppers,25.0,LDE,16,16,0,0,0,0,7.0,2,0,1,10,0,10.5,50.0,38.0,12.0,13.0,0,PB
8.0,Steve Smith Sr.,26.0,WR,16,16,0,0,0,0,0.0,0,2,2,5,0,0.0,0.0,0.0,0.0,0.0,0,"PB,AP-1,AP CPoY-1"
9.0,Mike Wahle,28.0,LG,16,16,0,0,0,0,0.0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0,PB
10.0,Jordan Carstens,24.0,RDT,16,15,0,0,0,0,1.0,2,0,0,0,0,4.0,36.0,24.0,12.0,3.0,0,
11.0,Chris Gamble,22.0,RCB,15,15,7,157,1,61,12.0,1,0,1,0,0,0.0,76.0,66.0,10.0,2.0,0,
12.0,Brad Hoover,29.0,FB,15,15,0,0,0,0,0.0,0,0,1,0,0,0.0,1.0,1.0,0.0,0.0,0,
13.0,Ken Lucas,26.0,LCB,15,15,6,70,0,32,15.0,0,0,1,24,0,0.0,69.0,62.0,7.0,3.0,0,
14.0,Marlon McCree,28.0,SS,16,15,3,73,0,46,10.0,0,0,1,4,0,0.0,88.0,74.0,14.0,2.0,0,
15.0,Brandon Short,28.0,LLB,16,15,0,0,0,0,1.0,0,0,0,0,0,0.5,61.0,43.0,18.0,3.0,0,
16.0,Will Witherspoon,25.0,RLB,15,15,2,35,1,35,14.0,0,0,0,0,0,2.5,81.0,66.0,15.0,5.0,0,
17.0,Mike Rucker,30.0,RDE,15,14,0,0,0,0,3.0,4,0,2,11,0,7.5,44.0,35.0,9.0,7.0,0,
18.0,Dan Morgan,27.0,MLB,13,13,0,0,0,0,2.0,1,0,1,0,0,3.0,77.0,59.0,18.0,4.0,0,
19.0,Stephen Davis,31.0,RB,13,11,0,0,0,0,0.0,0,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0,
20.0,DeShaun Foster,25.0,RB,15,5,0,0,0,0,0.0,0,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0,
21.0,Chris Draft,29.0,LB,16,3,0,0,0,0,1.0,1,0,2,0,0,2.0,53.0,44.0,9.0,7.0,0,
22.0,Ricky Manning,25.0,DB,16,3,2,20,0,10,6.0,1,0,3,11,1,0.0,42.0,34.0,8.0,3.0,0,
23.0,Al Wallace,31.0,DE,16,2,2,38,0,38,3.0,1,0,1,6,0,5.0,25.0,20.0,5.0,4.0,0,
24.0,Vinny Ciurciu,25.0,LB,15,1,0,0,0,0,1.0,0,0,0,0,0,0.0,16.0,13.0,3.0,0.0,0,
25.0,Thomas Davis,22.0,LB,16,1,0,0,0,0,0.0,2,0,0,0,0,1.5,40.0,33.0,7.0,3.0,0,
26.0,Nick Goings,27.0,RB,16,1,0,0,0,0,0.0,0,1,0,0,0,0.0,7.0,7.0,0.0,0.0,0,
27.0,Kris Jenkins,26.0,DT,1,1,0,0,0,0,0.0,0,0,0,0,0,0.0,2.0,0.0,2.0,0.0,0,
28.0,Mike Seidman,24.0,TE,12,1,0,0,0,0,0.0,0,1,0,0,0,0.0,,,,,0,
29.0,Jason Baker,27.0,P,16,0,0,0,0,0,0.0,0,0,0,0,0,0.0,2.0,2.0,0.0,0.0,0,
30.0,Idrees Bashir,27.0,DB,11,0,0,0,0,0,0.0,0,0,0,0,0,0.0,2.0,1.0,1.0,0.0,0,
31.0,Karl Hankton,35.0,WR,16,0,0,0,0,0,0.0,0,0,1,11,0,0.0,15.0,12.0,3.0,0.0,0,
32.0,Jermaine Hardy,23.0,DB,3,0,0,0,0,0,0.0,1,0,0,0,0,0.0,2.0,2.0,0.0,0.0,0,
33.0,Jason Kyle,33.0,LB,16,0,0,0,0,0,0.0,0,0,0,0,0,0.0,5.0,4.0,1.0,0.0,0,
34.0,Kindal Moorehead,27.0,DT,15,0,0,0,0,0,3.0,1,0,2,0,0,5.0,24.0,19.0,5.0,5.0,0,
35.0,Kemp Rasmussen,26.0,DE,15,0,0,0,0,0,1.0,0,0,1,0,0,0.0,19.0,14.0,5.0,0.0,0,
36.0,Jamal Robertson,28.0,RB,7,0,0,0,0,0,0.0,0,1,0,0,0,0.0,1.0,1.0,0.0,0.0,0,
37.0,Adam Seward,23.0,LB,4,0,0,0,0,0,0.0,0,0,0,0,0,0.0,5.0,4.0,1.0,0.0,0,
38.0,Rod Smart,28.0,RB,12,0,0,0,0,0,0.0,0,1,0,0,0,0.0,9.0,7.0,2.0,0.0,0,
39.0,Sean Tufts,23.0,LB,12,0,0,0,0,0,0.0,0,0,1,0,0,0.0,11.0,9.0,2.0,0.0,0,
40.0,Dante Wesley,26.0,DB,16,0,0,0,0,0,1.0,1,0,1,0,0,0.0,18.0,17.0,1.0,0.0,0,
41.0,Garnell Wilds,24.0,DB,3,0,0,0,0,0,0.0,0,0,0,0,0,0.0,4.0,4.0,0.0,0.0,0,
,Team Totals,,,16,16,23,440,2,61,95.0,19,23,30,78,1,44.0,985.0,784.0,201.0,71.0,0,
