Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 16_level_0,Tackles,Tackles,Tackles,Tackles,Unnamed: 21_level_0,Unnamed: 22_level_0
Rk,Player,Age,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,Sfty,Awards
1.0,Jordan Carstens,24.0,RDT,3,3,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2.0,7,5.0,2.0,2.0,0.0,
2.0,Chris Gamble,22.0,RCB,3,3,0.0,0.0,0.0,0.0,2,0,0,0,0,0,0.0,16,15.0,1.0,2.0,0.0,
3.0,Ken Lucas,26.0,LCB,3,3,2.0,15.0,0.0,14.0,4,0,0,0,0,0,0.0,13,11.0,2.0,0.0,0.0,
4.0,Marlon McCree,28.0,SS,3,3,2.0,-9.0,0.0,1.0,3,0,0,0,0,0,0.0,14,11.0,3.0,1.0,0.0,
5.0,Mike Minter,31.0,FS,3,3,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0.0,17,12.0,5.0,1.0,0.0,
6.0,Dan Morgan,27.0,MLB,3,3,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1.0,14,9.0,5.0,1.0,0.0,
7.0,Julius Peppers,25.0,LDE,3,3,0.0,0.0,0.0,0.0,1,0,0,0,0,0,1.0,11,10.0,1.0,2.0,0.0,
8.0,Mike Rucker,30.0,RDE,3,3,0.0,0.0,0.0,0.0,2,0,0,1,0,0,1.0,9,6.0,3.0,2.0,0.0,
9.0,Will Witherspoon,25.0,RLB,3,3,0.0,0.0,0.0,0.0,1,1,0,0,0,0,1.0,20,16.0,4.0,3.0,0.0,
10.0,Jake Delhomme,30.0,QB,2,2,0.0,0.0,0.0,0.0,0,0,3,1,0,0,0.0,0,0.0,0.0,0.0,0.0,
11.0,Brandon Short,28.0,LLB,3,2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,19,14.0,5.0,1.0,0.0,
12.0,Travelle Wharton,24.0,LT,2,2,0.0,0.0,0.0,0.0,0,0,0,2,0,0,0.0,0,,,,0.0,
13.0,Brentson Buckner,34.0,LDT,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,7,7.0,0.0,0.0,0.0,
14.0,DeShaun Foster,25.0,RB,1,1,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0.0,0,0.0,0.0,0.0,0.0,
15.0,Ricky Manning,25.0,DB,2,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,9,9.0,0.0,0.0,0.0,
16.0,Steve Smith Sr.,26.0,WR,1,1,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0.0,0,,,,0.0,
17.0,Vinny Ciurciu,25.0,LB,2,0,,,,,0,0,0,0,0,0,0.0,2,1.0,1.0,0.0,,
18.0,Thomas Davis,22.0,LB,3,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1.0,6,6.0,0.0,1.0,0.0,
19.0,Chris Draft,29.0,LB,1,0,,,,,0,0,0,0,0,0,0.0,10,8.0,2.0,1.0,,
20.0,Nick Goings,27.0,RB,1,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,1,1.0,0.0,0.0,0.0,
21.0,Karl Hankton,35.0,WR,1,0,,,,,0,0,0,0,0,0,0.0,3,2.0,1.0,0.0,,
22.0,Kindal Moorehead,27.0,DT,2,0,,,,,0,0,0,0,0,0,0.0,3,2.0,1.0,0.0,,
23.0,Kemp Rasmussen,26.0,DE,3,0,,,,,0,0,0,0,0,0,0.0,5,4.0,1.0,0.0,,
24.0,Sean Tufts,23.0,LB,1,0,,,,,0,0,0,0,0,0,0.0,1,1.0,0.0,0.0,,
25.0,Al Wallace,31.0,DE,2,0,,,,,1,0,0,0,0,0,0.0,2,1.0,1.0,1.0,,
26.0,Dante Wesley,26.0,DB,3,0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0.0,4,3.0,1.0,0.0,0.0,
,Team Totals,,,3,3,4.0,6.0,0.0,14.0,15,1,5,6,0,0,7.0,193,154.0,39.0,18.0,0.0,
