Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scrimmage,Scrimmage,Scrimmage,Scrimmage,Unnamed: 31_level_0,Unnamed: 32_level_0
Rk,Player,Age,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
1.0,Steve Smith Sr.,28.0,WR,15,15,9,66,0,4,55.6,22.0,7.3,4.4,0.6,148,87,1002,11.5,7,45,44.6,74.0,5.8,66.8,58.8,6.8,96,11.1,1068,7,1,
2.0,DeShaun Foster,27.0,RB,16,16,247,876,3,43,40.1,20.0,3.5,54.8,15.4,36,25,182,7.3,1,6,38.9,23.0,1.6,11.4,69.4,5.1,272,3.9,1058,4,7,
3.0,DeAngelo Williams,24.0,RB,16,0,144,717,4,30,39.6,75.0,5.0,44.8,9.0,38,23,175,7.6,1,5,34.2,30.0,1.4,10.9,60.5,4.6,167,5.3,892,5,1,
4.0,Drew Carter,26.0,WR,16,7,0,0,0,0,,,,0.0,0.0,75,38,517,13.6,4,28,44.0,49.0,2.4,32.3,50.7,6.9,38,13.6,517,4,0,
5.0,Jeff King,24.0,TE,16,16,0,0,0,0,,,,0.0,0.0,80,46,406,8.8,2,25,46.3,29.0,2.9,25.4,57.5,5.1,46,8.8,406,2,2,
6.0,Keary Colbert,25.0,WR,12,8,0,0,0,0,,,,0.0,0.0,69,32,332,10.4,0,16,39.1,43.0,2.7,27.7,46.4,4.8,32,10.4,332,0,1,
7.0,Dante Rosario,23.0,TE,16,2,0,0,0,0,,,,0.0,0.0,7,6,108,18.0,2,5,85.7,54.0,0.4,6.8,85.7,15.4,6,18.0,108,2,0,
8.0,Brad Hoover,31.0,FB,16,12,12,39,0,4,50.0,10.0,3.3,2.4,0.8,14,10,58,5.8,0,2,35.7,14.0,0.6,3.6,71.4,4.1,22,4.4,97,0,0,
9.0,Dwayne Jarrett,21.0,WR,7,0,1,11,0,1,100.0,11.0,11.0,1.6,0.1,13,6,73,12.2,0,2,30.8,22.0,0.9,10.4,46.2,5.6,7,12.0,84,0,0,
10.0,David Carr,28.0,QB,6,4,17,59,0,5,41.2,15.0,3.5,9.8,2.8,0,0,0,,0,0,,,0.0,0.0,,,17,3.5,59,0,1,
11.0,Christian Fauria,36.0,TE,15,4,0,0,0,0,,,,0.0,0.0,6,5,39,7.8,2,5,83.3,16.0,0.3,2.6,83.3,6.5,5,7.8,39,2,0,
12.0,Ryne Robinson,23.0,WR,16,0,0,0,0,0,,,,0.0,0.0,8,4,35,8.8,0,2,37.5,12.0,0.3,2.2,50.0,4.4,4,8.8,35,0,2,
13.0,Jake Delhomme,32.0,QB,3,3,6,26,0,3,33.3,13.0,4.3,8.7,2.0,0,0,0,,0,0,,,0.0,0.0,,,6,4.3,26,0,1,
14.0,Vinny Testaverde,44.0,QB,7,6,9,22,0,1,33.3,16.0,2.4,3.1,1.3,0,0,0,,0,0,,,0.0,0.0,,,9,2.4,22,0,3,
15.0,Alex Haynes,25.0,RB,10,0,3,3,0,0,0.0,3.0,1.0,0.3,0.3,3,3,14,4.7,0,2,66.7,6.0,0.3,1.4,100.0,4.7,6,2.8,17,0,0,
16.0,Matt Moore,23.0,QB,9,3,3,5,0,0,0.0,5.0,1.7,0.6,0.3,0,0,0,,0,0,,,0.0,0.0,,,3,1.7,5,0,2,
,Team Totals,,,16,16,451,1824,7,91,39.9,75.0,4.0,114.0,28.2,497,285,2941,10.3,19,143,43.3,74.0,17.8,183.8,57.3,5.9,736,6.5,4765,26,21,
