Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 16_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Unnamed: 22_level_0,Unnamed: 23_level_0
Rk,Player,Age,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards
1.0,Jon Beason,23.0,MLB,16,16,3,52,0,44,8,0,0,1,12,0,0.0,138,110,28,3.0,1.0,0,"PB,AP-1"
2.0,Tyler Brayton,29.0,LDE,16,16,0,0,0,0,3,1,0,1,0,0,4.5,40,35,5,6.0,5.0,0,
3.0,Thomas Davis,25.0,RLB,16,16,0,0,0,0,6,2,0,1,0,0,3.5,114,93,21,12.0,6.0,0,
4.0,Jake Delhomme,33.0,QB,16,16,0,0,0,0,0,0,5,1,0,0,0.0,0,0,0,0.0,0.0,0,AP CPoY-2
5.0,Na'il Diggs,30.0,LLB,16,16,1,0,0,0,2,0,0,0,0,0,1.0,54,43,11,3.0,3.0,0,
6.0,Chris Gamble,25.0,LCB,16,16,3,23,0,19,19,1,0,2,41,1,0.0,93,83,10,4.0,0.0,0,
7.0,Charles Godfrey,23.0,FS,16,16,1,16,0,16,5,1,0,2,0,0,1.0,61,52,9,2.0,1.0,0,
8.0,Chris Harris,26.0,SS,16,16,1,16,0,16,3,2,0,1,3,0,0.0,70,60,10,1.0,0.0,0,
9.0,Ken Lucas,29.0,RCB,16,16,2,74,0,43,10,0,0,0,0,0,0.0,60,53,7,1.0,0.0,0,
10.0,Julius Peppers,28.0,RDE,16,16,0,0,0,0,4,5,0,0,0,0,14.5,51,40,11,17.0,22.0,0,"PB,AP-2"
11.0,Damione Lewis,30.0,RDT,15,15,0,0,0,0,4,1,0,1,0,0,3.5,43,33,10,5.0,4.0,0,
12.0,Muhsin Muhammad,35.0,WR,16,15,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,0.0,0.0,0,
13.0,Ma'ake Kemoeatu,29.0,LDT,14,14,0,0,0,0,2,1,0,0,0,0,0.0,36,31,5,1.0,0.0,0,
14.0,Steve Smith Sr.,29.0,WR,14,14,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0.0,0.0,0,"PB,AP-2,AP OPoY-6"
15.0,Travelle Wharton,27.0,LG,14,14,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,,,0,
16.0,Ryan Kalil,23.0,C,12,12,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0.0,0.0,0,
17.0,Brad Hoover,32.0,FB,16,11,0,0,0,0,0,0,0,0,0,0,0.0,3,3,0,0.0,0.0,0,
18.0,Dante Rosario,24.0,TE,16,6,0,0,0,0,0,0,0,0,0,0,0.0,2,2,0,0.0,0.0,0,
19.0,D.J. Hackett,27.0,WR,9,2,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,,,0,
20.0,Darwin Walker,31.0,DT,10,2,0,0,0,0,2,0,0,0,0,0,0.0,10,6,4,2.0,0.0,0,
21.0,Nick Hayden,22.0,DT,2,1,0,0,0,0,0,0,0,0,0,0,0.0,3,2,1,0.0,2.0,0,
22.0,James Anderson,25.0,LB,8,0,0,0,0,0,0,0,0,0,0,0,0.0,3,3,0,0.0,0.0,0,
23.0,Jason Baker,30.0,P,16,0,0,0,0,0,0,0,1,1,0,0,0.0,1,1,0,0.0,0.0,0,
24.0,Gary Barnidge,23.0,TE,15,0,0,0,0,0,0,0,0,0,0,0,0.0,3,2,1,0.0,0.0,0,
25.0,Dan Connor,23.0,LB,3,0,0,0,0,0,0,0,0,0,0,0,0.0,4,4,0,0.0,0.0,0,
26.0,Donte Curry,30.0,LB,13,0,0,0,0,0,0,0,0,0,0,0,0.0,13,11,2,0.0,0.0,0,
27.0,Gary Gibson,26.0,DT,11,0,0,0,0,0,0,0,0,0,0,0,0.0,9,5,4,1.0,0.0,0,
28.0,Nick Goings,30.0,RB,16,0,0,0,0,0,0,0,0,0,0,0,0.0,12,9,3,0.0,0.0,0,
29.0,Charles Johnson,22.0,DE,16,0,0,0,0,0,7,1,0,1,0,0,6.0,25,20,5,5.0,10.0,0,
30.0,Landon Johnson,27.0,LB,15,0,0,0,0,0,0,1,0,0,0,0,0.0,16,14,2,0.0,1.0,0,
31.0,Mark Jones,28.0,WR,16,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0.0,0.0,0,
32.0,Jason Kyle,36.0,LB,16,0,0,0,0,0,0,0,0,0,0,0,0.0,3,3,0,0.0,0.0,0,
33.0,Rhys Lloyd,26.0,K,16,0,0,0,0,0,0,0,0,0,0,0,0.0,2,1,1,0.0,0.0,0,
34.0,Richard Marshall,24.0,DB,16,0,1,11,0,11,4,0,0,0,0,0,2.0,75,68,7,4.0,3.0,0,
35.0,Nate Salley,24.0,DB,16,0,0,0,0,0,0,0,0,0,0,0,0.0,7,5,2,0.0,0.0,0,
36.0,Adam Seward,26.0,LB,9,0,0,0,0,0,0,0,0,1,0,0,0.0,4,4,0,0.0,0.0,0,
