Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 16_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Unnamed: 22_level_0,Unnamed: 23_level_0
Rk,Player,Age,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards
1.0,Kurt Coleman,27.0,FS,3,3,2,0,0,0,2,0,0,0,0,0,0.0,17,10,7,0.0,0.0,0,
2.0,Thomas Davis,32.0,RLB,3,3,0,0,0,0,0,0,0,0,0,0,0.0,18,10,8,3.0,0.0,0,
3.0,Roman Harper,33.0,SS,3,3,0,0,0,0,0,0,0,0,0,0,0.0,8,3,5,0.0,0.0,0,
4.0,Charles Johnson,29.0,LDE,3,3,0,0,0,0,0,2,0,0,0,0,3.0,9,7,2,1.0,2.0,0,
5.0,Luke Kuechly,24.0,MLB,3,3,2,36,2,22,4,0,0,1,0,0,1.0,29,13,16,1.0,1.0,0,
6.0,Star Lotulelei,26.0,LDT,3,3,0,0,0,0,1,0,0,0,0,0,0.0,8,5,3,2.0,0.0,0,
7.0,Robert McClain,27.0,DB,3,3,0,0,0,0,5,0,0,0,0,0,0.0,18,13,5,0.0,0.0,0,
8.0,Josh Norman,28.0,RCB,3,3,0,0,0,0,4,0,0,0,0,0,1.0,9,6,3,1.0,1.0,0,
9.0,Kawann Short,26.0,RDT,3,3,0,0,0,0,0,1,0,0,0,0,2.0,5,4,1,1.0,5.0,0,
10.0,Shaq Thompson,21.0,LLB,3,3,0,0,0,0,0,0,0,0,0,0,0.0,11,7,4,1.0,0.0,0,
11.0,Jared Allen,33.0,RDE,1,1,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0.0,1.0,0,
12.0,Kony Ealy,24.0,LDE,2,1,1,19,0,19,1,1,0,1,0,0,3.0,7,4,3,2.0,2.0,0,
13.0,Cam Newton,26.0,QB,1,1,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,,,0,
14.0,Mike Tolbert,30.0,RB,2,1,0,0,0,0,0,1,2,2,2,0,0.0,0,0,0,,,0,
15.0,Mario Addison,28.0,DE,2,0,0,0,0,0,0,0,0,0,0,0,0.0,2,1,1,0.0,1.0,0,
16.0,Cameron Artis-Payne,25.0,RB,1,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,,,0,
17.0,Tre Boston,23.0,DB,3,0,1,5,0,5,1,0,0,1,0,0,1.0,4,3,1,1.0,1.0,0,
18.0,Ryan Delaire,23.0,DE,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0.0,0.0,0,
19.0,Dwan Edwards,34.0,DT,2,0,0,0,0,0,1,0,0,0,0,0,1.0,2,2,0,1.0,4.0,0,
20.0,Cortland Finnegan,31.0,DB,3,0,1,0,0,0,1,0,0,0,0,0,0.0,14,6,8,0.0,2.0,0,
21.0,Ted Ginn Jr.,30.0,WR,1,0,0,0,0,0,0,0,1,1,0,0,0.0,0,0,0,0.0,0.0,0,
22.0,Ben Jacobs,27.0,LB,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0.0,0.0,0,
23.0,A.J. Klein,24.0,MLB,1,0,0,0,0,0,0,0,0,0,0,0,0.0,2,0,2,0.0,0.0,0,
24.0,Kyle Love,29.0,DT,2,0,0,0,0,0,0,0,0,0,0,0,1.0,2,1,1,1.0,1.0,0,
25.0,Joe Webb,29.0,WR,2,0,0,0,0,0,0,0,0,0,0,0,0.0,3,3,0,0.0,0.0,0,
26.0,Fozzy Whittaker,26.0,RB,2,0,0,0,0,0,0,0,0,0,0,0,0.0,3,3,0,0.0,0.0,0,
27.0,Teddy Williams,27.0,DB,1,0,0,0,0,0,0,0,0,1,0,0,0.0,1,0,1,0.0,0.0,0,
,Team Totals,,,3,3,7,60,2,22,20,5,6,7,2,0,13.0,175,103,72,15.0,21.0,0,
