Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Score,Score,Offense,Offense,Offense,Offense,Offense,Defense,Defense,Defense,Defense,Defense,Expected Points,Expected Points,Expected Points
Week,Day,Date,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,OT,Rec,Unnamed: 8_level_1,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,September 10,4:25PM ET,boxscore,W,,1-0,@,San Francisco 49ers,23.0,3.0,20.0,287.0,171.0,116.0,2.0,13.0,217.0,166.0,51.0,2.0,-0.04,22.9,-3.05
2,Sun,September 17,1:00PM ET,boxscore,W,,2-0,,Buffalo Bills,9.0,3.0,19.0,255.0,178.0,77.0,,10.0,176.0,107.0,69.0,,-5.88,16.06,-3.19
3,Sun,September 24,1:00PM ET,boxscore,L,,2-1,,New Orleans Saints,13.0,34.0,18.0,288.0,156.0,132.0,3.0,21.0,362.0,213.0,149.0,,-5.22,-15.41,1.34
4,Sun,October 1,1:00PM ET,boxscore,W,,3-1,@,New England Patriots,33.0,30.0,28.0,444.0,304.0,140.0,2.0,24.0,373.0,293.0,80.0,,24.18,-18.56,-2.62
5,Sun,October 8,1:00PM ET,boxscore,W,,4-1,@,Detroit Lions,27.0,24.0,16.0,362.0,334.0,28.0,,19.0,242.0,192.0,50.0,1.0,5.73,2.13,-3.66
6,Thu,October 12,8:25PM ET,boxscore,L,,4-2,,Philadelphia Eagles,23.0,28.0,23.0,305.0,225.0,80.0,3.0,15.0,310.0,209.0,101.0,1.0,-6.23,0.91,-1.91
7,Sun,October 22,1:00PM ET,boxscore,L,,4-3,@,Chicago Bears,3.0,17.0,20.0,293.0,185.0,108.0,3.0,5.0,153.0,85.0,68.0,,-25.2,10.91,3.91
8,Sun,October 29,1:00PM ET,boxscore,W,,5-3,@,Tampa Bay Buccaneers,17.0,3.0,14.0,254.0,154.0,100.0,1.0,16.0,279.0,194.0,85.0,3.0,-5.03,17.39,2.23
9,Sun,November 5,1:00PM ET,boxscore,W,,6-3,,Atlanta Falcons,20.0,17.0,20.0,330.0,129.0,201.0,2.0,17.0,355.0,302.0,53.0,1.0,-3.16,7.37,-0.79
10,Mon,November 13,8:30PM ET,boxscore,W,,7-3,,Miami Dolphins,45.0,21.0,30.0,548.0,254.0,294.0,,17.0,313.0,213.0,100.0,1.0,37.09,-6.13,-4.23
11,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
12,Sun,November 26,1:00PM ET,boxscore,W,,8-3,@,New York Jets,35.0,27.0,17.0,299.0,154.0,145.0,,21.0,391.0,282.0,109.0,1.0,0.41,-2.82,7.0
13,Sun,December 3,4:25PM ET,boxscore,L,,8-4,@,New Orleans Saints,21.0,31.0,16.0,279.0,167.0,112.0,1.0,19.0,400.0,252.0,148.0,1.0,-0.22,-7.77,1.64
14,Sun,December 10,1:00PM ET,boxscore,W,,9-4,,Minnesota Vikings,31.0,24.0,15.0,345.0,129.0,216.0,1.0,21.0,356.0,256.0,100.0,3.0,5.54,2.26,-1.07
15,Sun,December 17,1:00PM ET,boxscore,W,,10-4,,Green Bay Packers,31.0,24.0,29.0,387.0,236.0,151.0,,24.0,384.0,264.0,120.0,4.0,17.49,-7.5,-1.31
16,Sun,December 24,1:00PM ET,boxscore,W,,11-4,,Tampa Bay Buccaneers,22.0,19.0,20.0,255.0,140.0,115.0,1.0,20.0,392.0,326.0,66.0,3.0,1.45,-3.31,6.93
17,Sun,December 31,4:25PM ET,boxscore,L,,11-5,@,Atlanta Falcons,10.0,22.0,15.0,248.0,161.0,87.0,3.0,20.0,371.0,311.0,60.0,,-14.47,-3.52,3.81
,,Playoffs,,,,,,,,,,,,,,,,,,,,,,
Wild Card,Sun,January 7,4:40PM ET,boxscore,L,,11-6,@,New Orleans Saints,26.0,31.0,24.0,413.0,306.0,107.0,,21.0,410.0,369.0,41.0,1.0,13.02,-15.88,-3.79
