Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 16_level_0,Tackles,Tackles,Tackles,Tackles,Unnamed: 21_level_0,Unnamed: 22_level_0
Rk,Player,Age,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,Sfty,Awards
1.0,Lance Briggs,25.0,RLB,16,16,2,30,1,20,11,3,0,2,0,0,2.0,109.0,85.0,24.0,8.0,0,"PB,AP-1,AP DPoY-6"
2.0,Alex Brown,26.0,RDE,16,16,0,0,0,0,6,3,0,0,0,0,6.0,46.0,39.0,7.0,12.0,0,AP DPoY-6
3.0,Tommie Harris,22.0,RDT,16,16,0,0,0,0,0,2,0,2,0,0,3.0,34.0,29.0,5.0,9.0,0,"PB,AP-2"
4.0,Olin Kreutz,28.0,C,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0,"PB,AP-2"
5.0,Brian Urlacher,27.0,MLB,16,16,0,0,0,0,5,1,0,0,0,0,6.0,122.0,98.0,24.0,17.0,0,"PB,AP-1,AP DPoY-1"
6.0,Thomas Jones,27.0,RB,15,15,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0,
7.0,Adewale Ogunleye,28.0,LDE,15,15,0,0,0,0,5,1,0,1,0,0,10.0,40.0,36.0,4.0,15.0,0,
8.0,Kyle Orton,23.0,QB,15,15,0,0,0,0,0,0,12,3,-13,0,0.0,0.0,0.0,0.0,0.0,0,
9.0,Charles Tillman,24.0,LCB,15,15,5,172,1,95,16,4,0,1,0,0,1.0,96.0,85.0,11.0,0.0,0,
10.0,Nathan Vasher,24.0,RCB,16,15,8,145,1,46,16,1,0,0,0,0,0.0,47.0,40.0,7.0,0.0,0,"PB,AP-2,AP DPoY-6"
11.0,Chris Harris,23.0,FS,14,13,3,44,0,44,8,0,0,2,49,0,1.0,58.0,48.0,10.0,4.0,0,
12.0,Ian Scott,24.0,LDT,14,13,1,3,0,3,5,0,0,0,0,0,0.0,33.0,22.0,11.0,7.0,0,
13.0,Mike Brown,27.0,SS,12,12,3,116,1,72,6,1,0,0,0,0,1.0,72.0,63.0,9.0,1.0,0,"PB,AP-2"
14.0,Hunter Hillenmeyer,25.0,LLB,13,12,1,0,0,0,2,0,0,0,0,0,1.0,63.0,45.0,18.0,4.0,0,
15.0,Justin Gage,24.0,WR,15,11,0,0,0,0,0,0,0,1,0,0,0.0,1.0,1.0,0.0,0.0,0,
16.0,Bryan Johnson,27.0,FB,7,6,0,0,0,0,0,0,0,1,0,0,0.0,,,,,0,
17.0,Mark Bradley,23.0,WR,7,4,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0,
18.0,Tank Johnson,24.0,DT,16,4,0,0,0,0,3,0,0,0,0,0,5.0,34.0,27.0,7.0,9.0,0,
