Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 16_level_0,Tackles,Tackles,Tackles,Tackles,Unnamed: 21_level_0,Unnamed: 22_level_0
Rk,Player,Age,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,Sfty,Awards
1.0,Lance Briggs,25.0,RLB,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,9,7,2,1,0.0,
2.0,Alex Brown,26.0,RDE,1,1,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0.0,1,1,0,1,0.0,
3.0,Mike Brown,27.0,SS,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,1,1,0,0,0.0,
4.0,Chris Harris,23.0,FS,1,1,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0.0,12,10,2,0,0.0,
5.0,Tommie Harris,22.0,RDT,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,1,1,0,0,0.0,
6.0,Hunter Hillenmeyer,25.0,LLB,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,8,7,1,0,0.0,
7.0,Adewale Ogunleye,28.0,LDE,1,1,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1.0,4,4,0,2,0.0,
8.0,Charles Tillman,24.0,LCB,1,1,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0.0,6,6,0,0,0.0,
9.0,Brian Urlacher,27.0,MLB,1,1,1.0,20.0,0.0,20.0,1,0,0,0,0,0,0.0,7,6,1,2,0.0,
10.0,Nathan Vasher,24.0,RCB,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,4,3,1,1,0.0,
11.0,Brendon Ayanbadejo,29.0,LB,1,0,,,,,0,0,0,0,0,0,0.0,3,2,1,0,,
12.0,Jerry Azumah,28.0,DB,1,0,,,,,0,0,0,0,0,0,0.0,1,0,1,0,,
13.0,Michael Green,29.0,DB,1,0,,,,,0,0,0,0,0,0,0.0,4,3,1,1,,
14.0,Israel Idonije,25.0,DE,1,0,,,,,0,0,0,0,0,0,0.0,1,1,0,0,,
15.0,Leon Joe,24.0,LB,1,0,,,,,0,0,0,0,0,0,0.0,1,1,0,0,,
16.0,Tank Johnson,24.0,DT,1,0,,,,,0,0,0,0,0,0,0.0,1,1,0,1,,
17.0,Todd Johnson,27.0,DB,1,0,,,,,0,0,0,0,0,0,0.0,5,5,0,0,,
18.0,Patrick Mannelly,30.0,T,1,0,,,,,0,0,0,0,0,0,0.0,1,1,0,0,,
19.0,Chris Thompson,23.0,DB,1,0,,,,,0,0,0,0,0,0,0.0,1,0,1,0,,
,Team Totals,,,1,1,1.0,20.0,0.0,20.0,3,2,0,0,0,0,1.0,71,60,11,9,0.0,
