Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 16_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Unnamed: 22_level_0,Unnamed: 23_level_0
Rk,Player,Age,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards
1.0,Lance Briggs,30.0,LLB,2,2,1,4,0,4,1,0,0,0,0,0,0.0,11,10,1,0.0,0.0,0,
2.0,Jay Cutler,27.0,QB,2,2,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,,,0,
3.0,Chris Harris,28.0,FS,2,2,0,0,0,0,0,0,0,0,0,0,0.0,6,5,1,0.0,0.0,0,
4.0,Israel Idonije,30.0,LDE,2,2,0,0,0,0,0,0,0,0,0,0,0.5,4,1,3,1.0,2.0,0,
5.0,Tim Jennings,27.0,LCB,2,2,0,0,0,0,2,0,0,0,0,0,0.0,10,7,3,0.0,0.0,0,
6.0,Danieal Manning,28.0,SS,2,2,0,0,0,0,0,0,0,0,0,0,0.0,8,7,1,1.0,0.0,0,
7.0,Julius Peppers,30.0,RDE,2,2,0,0,0,0,0,0,0,0,0,0,0.0,4,4,0,1.0,1.0,0,
8.0,Charles Tillman,29.0,RCB,2,2,0,0,0,0,3,0,0,0,0,0,0.0,7,5,2,0.0,0.0,0,
9.0,Brian Urlacher,32.0,MLB,2,2,1,39,0,39,1,0,0,0,0,0,1.0,17,16,1,3.0,1.0,0,
10.0,Anthony Adams,30.0,RDT,1,1,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0.0,0.0,0,
11.0,Matt Forte,25.0,RB,1,1,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0.0,0.0,0,
12.0,Tommie Harris,27.0,LDT,1,1,0,0,0,0,0,0,0,0,0,0,1.5,2,1,1,1.0,2.0,0,
13.0,Johnny Knox,24.0,WR,1,1,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,,,0,
14.0,D.J. Moore,23.0,DB,2,1,0,0,0,0,0,0,0,0,0,0,0.0,10,10,0,0.0,0.0,0,
15.0,Pisa Tinoisamoa,29.0,RLB/MLB,2,1,0,0,0,0,0,0,0,0,0,0,0.0,3,3,0,0.0,0.0,0,
16.0,J'Marcus Webb,22.0,RT,1,1,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0.0,0.0,0,
17.0,Earl Bennett,23.0,WR,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,,,0,
18.0,Josh Bullocks,27.0,DB,2,0,0,0,0,0,0,0,0,0,0,0,0.0,5,4,1,0.0,0.0,0,
19.0,Rashied Davis,31.0,WR,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0.0,0.0,0,
20.0,Robbie Gould,28.0,K,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0.0,0.0,0,
21.0,Corey Graham,25.0,DB,1,0,0,0,0,0,0,1,0,0,0,0,0.0,2,2,0,0.0,0.0,0,
22.0,Brian Iwuh,26.0,LB,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0.0,0.0,0,
23.0,Patrick Mannelly,35.0,T,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0.0,0.0,0,
24.0,Henry Melton,24.0,DE,1,0,0,0,0,0,0,0,0,0,0,0,0.0,2,2,0,0.0,0.0,0,
25.0,Nick Roach,25.0,RLB,2,0,0,0,0,0,0,0,0,0,0,0,0.0,3,2,1,0.0,0.0,0,
26.0,Garrett Wolfe,26.0,RB,2,0,0,0,0,0,0,0,0,0,0,0,0.0,2,2,0,0.0,0.0,0,
27.0,Corey Wootton,23.0,DE,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0.0,0.0,0,
28.0,Major Wright,22.0,DB,2,0,0,0,0,0,1,0,0,0,0,0,0.0,8,7,1,0.0,0.0,0,
,Team Totals,,,2,2,2,43,0,39,8,1,3,2,0,0,3.0,111,95,16,7.0,6.0,0,
