Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 16_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Unnamed: 22_level_0,Unnamed: 23_level_0
Rk,Player,Age,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards
1.0,Lance Briggs,32.0,LLB,16,16,2.0,110.0,2.0,74.0,11,2,0,0,0,0,1.5,103,74,29,7.0,2.0,0.0,
2.0,Brandon Marshall,28.0,WR,16,16,0.0,0.0,0.0,0.0,0,0,2,1,0,0,0.0,0,0,0,0.0,0.0,0.0,"PB,AP-1"
3.0,Julius Peppers,32.0,RDE,16,16,0.0,0.0,0.0,0.0,2,1,0,4,6,0,11.5,39,32,7,13.0,15.0,0.0,"PB,AP-2"
4.0,Charles Tillman,31.0,RCB,16,16,3.0,71.0,3.0,36.0,16,10,0,2,0,0,0.0,87,75,12,1.0,0.0,0.0,"PB,AP-1"
5.0,Major Wright,24.0,SS,16,16,4.0,45.0,1.0,45.0,8,1,0,2,0,0,0.0,71,52,19,5.0,0.0,0.0,
6.0,Chris Conte,23.0,FS,15,15,2.0,70.0,0.0,35.0,9,0,0,1,0,0,0.0,68,52,16,2.0,0.0,0.0,
7.0,Jay Cutler,29.0,QB,15,15,0.0,0.0,0.0,0.0,0,0,8,1,-7,0,0.0,0,0,0,0.0,0.0,0.0,
8.0,Kellen Davis,27.0,TE,16,15,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0.0,0,0,0,0.0,0.0,0.0,
9.0,Matt Forte,27.0,RB,15,15,0.0,0.0,0.0,0.0,0,0,2,1,0,0,0.0,0,0,0,0.0,0.0,0.0,
10.0,Gabe Carimi,24.0,RT,16,14,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0.0,0,0,0,0.0,0.0,0.0,
11.0,Tim Jennings,29.0,LCB,14,14,9.0,105.0,1.0,31.0,21,0,0,0,0,0,0.0,60,55,5,1.0,0.0,0.0,"PB,AP-2"
12.0,Henry Melton,26.0,LDT,14,14,0.0,0.0,0.0,0.0,0,2,0,0,0,0,6.0,44,32,12,9.0,8.0,0.0,PB
13.0,Stephen Paea,24.0,RDT,15,14,0.0,0.0,0.0,0.0,1,0,0,0,0,0,2.5,24,13,11,4.0,6.0,0.0,
14.0,Nick Roach,27.0,RLB,16,14,0.0,0.0,0.0,0.0,4,1,0,1,0,0,1.5,66,51,15,5.0,2.0,0.0,
15.0,Brian Urlacher,34.0,MLB,12,12,1.0,46.0,1.0,46.0,7,2,0,2,4,0,0.0,68,53,15,8.0,0.0,0.0,
16.0,Israel Idonije,32.0,LDE,16,11,0.0,0.0,0.0,0.0,0,1,0,0,0,0,7.5,48,29,19,8.0,9.0,0.0,
17.0,Chilo Rachal,26.0,LG,9,8,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0.0,0,0,0,0.0,0.0,0.0,
18.0,Jonathan Scott,29.0,RT,12,7,0.0,0.0,0.0,0.0,0,0,0,2,0,0,0.0,0,0,0,0.0,0.0,0.0,
19.0,Corey Wootton,25.0,LDE,16,7,0.0,0.0,0.0,0.0,1,2,0,0,0,0,7.0,27,20,7,4.0,13.0,0.0,
20.0,Devin Hester,30.0,WR,15,5,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0.0,0,0,0,0.0,0.0,0.0,
21.0,Evan Rodriguez,24.0,TE,12,5,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,1,1,0,0.0,0.0,0.0,
22.0,Chris Spencer,30.0,LG,10,5,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0.0,0,0,0,0.0,0.0,0.0,
23.0,Geno Hayes,25.0,LB,15,3,0.0,0.0,0.0,0.0,2,0,0,0,0,0,0.0,16,14,2,1.0,0.0,0.0,
24.0,Kyle Adams,24.0,TE,15,2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,1,1,0,0.0,0.0,0.0,
25.0,Kelvin Hayden,29.0,DB,16,2,1.0,39.0,0.0,39.0,5,0,0,4,15,0,0.0,37,26,11,0.0,0.0,0.0,
26.0,D.J. Moore,25.0,DB,13,2,2.0,2.0,0.0,2.0,6,0,1,0,0,0,0.0,32,27,5,2.0,0.0,0.0,
27.0,Matt Toeaina,28.0,DT,3,2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,4,2,2,0.0,1.0,0.0,
28.0,Michael Bush,28.0,RB,13,1,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0.0,0,0,0,,,0.0,
29.0,Jason Campbell,31.0,QB,6,1,0.0,0.0,0.0,0.0,0,0,2,1,0,0,0.0,0,0,0,,,0.0,
30.0,Blake Costanzo,28.0,LB,14,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,9,6,3,0.0,0.0,0.0,
31.0,Anthony Walters,24.0,DB,16,1,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0.0,15,13,2,2.0,0.0,0.0,
32.0,Eric Weems,27.0,WR,16,1,0.0,0.0,0.0,0.0,0,0,1,3,1,0,0.0,8,5,3,0.0,0.0,0.0,
33.0,Armando Allen,23.0,RB,15,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,5,3,2,0.0,0.0,0.0,
34.0,Joe Anderson,24.0,WR,3,0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0.0,3,2,1,0.0,0.0,0.0,
35.0,Zackary Bowman,28.0,DB,11,0,0.0,0.0,0.0,0.0,2,0,1,2,1,1,0.0,11,10,1,1.0,0.0,0.0,
36.0,Nate Collins,25.0,DT,9,0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0.0,11,6,5,1.0,1.0,0.0,
37.0,Jerry Franklin,24.0,LB,3,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,2,0,2,0.0,0.0,0.0,
38.0,Patrick Mannelly,37.0,T,16,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,2,1,1,0.0,0.0,0.0,
39.0,Shea McClellin,23.0,DE,14,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2.5,14,7,7,3.0,6.0,0.0,
40.0,Sherrick McManis,25.0,DB,12,0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0.0,7,4,3,0.0,0.0,0.0,
41.0,Amobi Okoye,25.0,DT,9,0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1.0,12,9,3,2.0,3.0,0.0,
42.0,Cheta Ozougwu,24.0,DE,2,0,,,,,0,0,0,0,0,0,,3,3,0,1.0,0.0,,
43.0,Adam Podlesh,29.0,P,16,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,1,1,0,0.0,0.0,0.0,
44.0,Craig Steltz,26.0,DB,13,0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0.0,13,9,4,0.0,0.0,0.0,
45.0,J.T. Thomas,24.0,LB,16,0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0.0,5,3,2,0.0,0.0,0.0,
,Team Totals,,,16,16,24.0,488.0,8.0,74.0,96,26,20,32,20,1,41.0,917,691,226,80.0,66.0,0.0,
