Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Score,Score,Offense,Offense,Offense,Offense,Offense,Defense,Defense,Defense,Defense,Defense,Expected Points,Expected Points,Expected Points
Week,Day,Date,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,OT,Rec,Unnamed: 8_level_1,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,September 7,1:00PM ET,boxscore,L,OT,0-1,,Buffalo Bills,20.0,23.0,29.0,427.0,341.0,86.0,3.0,15.0,360.0,167.0,193.0,1.0,1.97,-2.96,-2.04
2,Sun,September 14,8:31PM ET,boxscore,W,,1-1,@,San Francisco 49ers,28.0,20.0,19.0,216.0,170.0,46.0,,19.0,359.0,232.0,127.0,4.0,5.33,5.4,-5.13
3,Mon,September 22,8:30PM ET,boxscore,W,,2-1,@,New York Jets,27.0,19.0,17.0,257.0,197.0,60.0,1.0,21.0,414.0,300.0,114.0,3.0,-0.81,3.16,3.3
4,Sun,September 28,1:02PM ET,boxscore,L,,2-2,,Green Bay Packers,17.0,38.0,33.0,496.0,261.0,235.0,2.0,21.0,358.0,302.0,56.0,,14.55,-21.81,-4.74
5,Sun,October 5,1:03PM ET,boxscore,L,,2-3,@,Carolina Panthers,24.0,31.0,17.0,347.0,262.0,85.0,4.0,22.0,322.0,231.0,91.0,3.0,-5.59,2.91,-7.35
6,Sun,October 12,4:25PM ET,boxscore,W,,3-3,@,Atlanta Falcons,27.0,13.0,23.0,478.0,375.0,103.0,,12.0,287.0,245.0,42.0,1.0,18.63,5.71,-10.93
7,Sun,October 19,1:00PM ET,boxscore,L,,3-4,,Miami Dolphins,14.0,27.0,14.0,224.0,172.0,52.0,3.0,24.0,393.0,256.0,137.0,,-8.58,-13.66,12.87
8,Sun,October 26,1:02PM ET,boxscore,L,,3-5,@,New England Patriots,23.0,51.0,27.0,384.0,231.0,153.0,2.0,32.0,487.0,365.0,122.0,,5.55,-23.22,-4.03
9,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
10,Sun,November 9,8:30PM ET,boxscore,L,,3-6,@,Green Bay Packers,14.0,55.0,21.0,311.0,256.0,55.0,3.0,21.0,451.0,319.0,132.0,1.0,-26.17,-26.41,5.59
11,Sun,November 16,1:02PM ET,boxscore,W,,4-6,,Minnesota Vikings,21.0,13.0,24.0,468.0,330.0,138.0,2.0,10.0,243.0,147.0,96.0,1.0,9.65,3.79,-6.36
12,Sun,November 23,1:02PM ET,boxscore,W,,5-6,,Tampa Bay Buccaneers,21.0,13.0,12.0,204.0,112.0,92.0,1.0,17.0,367.0,301.0,66.0,4.0,-13.25,18.49,-0.09
13,Thu,November 27,12:39PM ET,boxscore,L,,5-7,@,Detroit Lions,17.0,34.0,18.0,269.0,256.0,13.0,2.0,28.0,474.0,383.0,91.0,1.0,-4.76,-16.09,2.84
14,Thu,December 4,8:26PM ET,boxscore,L,,5-8,,Dallas Cowboys,28.0,41.0,23.0,376.0,341.0,35.0,2.0,21.0,397.0,203.0,194.0,,13.64,-22.34,-3.37
15,Mon,December 15,8:30PM ET,boxscore,L,,5-9,,New Orleans Saints,15.0,31.0,16.0,278.0,153.0,125.0,3.0,25.0,443.0,360.0,83.0,1.0,-19.58,-13.72,7.55
16,Sun,December 21,1:03PM ET,boxscore,L,,5-10,,Detroit Lions,14.0,20.0,17.0,234.0,170.0,64.0,1.0,22.0,367.0,229.0,138.0,3.0,-4.98,-10.12,11.16
17,Sun,December 28,1:02PM ET,boxscore,L,,5-11,@,Minnesota Vikings,9.0,13.0,12.0,264.0,165.0,99.0,,15.0,311.0,190.0,121.0,1.0,-7.04,4.14,-3.18
