Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scrimmage,Scrimmage,Scrimmage,Scrimmage,Unnamed: 31_level_0,Unnamed: 32_level_0
Rk,Player,Age,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
1.0,Jordan Howard,22.0,RB,15,13,252,1313,6,73,48.8,69.0,5.2,87.5,16.8,50,29,298,10.3,1,12,44.0,34.0,1.9,19.9,58.0,6.0,281,5.7,1611,7,2,PB
2.0,Cameron Meredith,24.0,WR,14,10,1,6,0,0,100.0,6.0,6.0,0.4,0.1,97,66,888,13.5,4,44,56.7,50.0,4.7,63.4,68.0,9.2,67,13.3,894,4,3,
3.0,Alshon Jeffery,26.0,WR,12,12,0,0,0,0,,,,0.0,0.0,94,52,821,15.8,2,42,53.2,54.0,4.3,68.4,55.3,8.7,52,15.8,821,2,0,
4.0,Zach Miller,32.0,TE,10,8,0,0,0,0,,,,0.0,0.0,64,47,486,10.3,4,28,62.5,34.0,4.7,48.6,73.4,7.6,47,10.3,486,4,0,
5.0,Eddie Royal,30.0,WR,9,1,0,0,0,0,,,,0.0,0.0,43,33,369,11.2,2,16,46.5,64.0,3.7,41.0,76.7,8.6,33,11.2,369,2,2,
6.0,Jeremy Langford,25.0,RB,12,3,62,200,4,12,56.5,23.0,3.2,16.7,5.2,27,19,142,7.5,0,7,44.4,19.0,1.6,11.8,70.4,5.3,81,4.2,342,4,2,
7.0,Josh Bellamy,27.0,WR,16,2,4,37,0,2,75.0,22.0,9.3,2.3,0.3,38,19,282,14.8,1,13,44.7,31.0,1.2,17.6,50.0,7.4,23,13.9,319,1,0,
8.0,Deonte Thompson,27.0,WR,16,6,0,0,0,0,,,,0.0,0.0,36,22,249,11.3,2,18,55.6,24.0,1.4,15.6,61.1,6.9,22,11.3,249,2,1,
9.0,Kevin White,24.0,WR,4,4,1,9,0,0,100.0,9.0,9.0,2.3,0.3,36,19,187,9.8,0,8,38.9,32.0,4.8,46.8,52.8,5.2,20,9.8,196,0,0,
10.0,Ka'Deem Carey,24.0,RB,12,0,32,126,0,4,37.5,24.0,3.9,10.5,2.7,7,5,55,11.0,0,4,57.1,16.0,0.4,4.6,71.4,7.9,37,4.9,181,0,0,
11.0,Marquess Wilson,24.0,WR,3,1,0,0,0,0,,,,0.0,0.0,16,9,160,17.8,1,8,56.3,35.0,3.0,53.3,56.3,10.0,9,17.8,160,1,0,
12.0,Daniel Brown,24.0,WR,6,3,0,0,0,0,,,,0.0,0.0,20,16,124,7.8,1,8,70.0,12.0,2.7,20.7,80.0,6.2,16,7.8,124,1,0,
13.0,Ben Braunecker,22.0,TE,13,2,0,0,0,0,,,,0.0,0.0,6,4,41,10.3,0,2,66.7,14.0,0.3,3.2,66.7,6.8,4,10.3,41,0,0,
14.0,Jay Cutler,33.0,QB,5,5,5,24,0,1,40.0,12.0,4.8,4.8,1.0,0,0,0,,0,0,,,0.0,0.0,,,5,4.8,24,0,6,
15.0,Bralon Addison,23.0,WR,2,0,1,4,0,1,100.0,4.0,4.0,2.0,0.5,1,1,11,11.0,0,1,100.0,11.0,0.5,5.5,100.0,11.0,2,7.5,15,0,1,
16.0,Logan Paulsen,29.0,TE,16,12,0,0,0,0,,,,0.0,0.0,10,3,15,5.0,0,1,20.0,7.0,0.2,0.9,30.0,1.5,3,5.0,15,0,0,
17.0,Paul Lasike,26.0,RB,10,3,3,8,0,3,100.0,5.0,2.7,0.8,0.3,1,1,3,3.0,0,0,0.0,3.0,0.1,0.3,100.0,3.0,4,2.8,11,0,0,
18.0,Joique Bell,30.0,RB,4,0,3,6,0,0,33.3,6.0,2.0,1.5,0.8,0,0,0,,0,0,,,0.0,0.0,,,3,2.0,6,0,0,
19.0,MyCole Pruitt,24.0,TE,2,0,0,0,0,0,,,,0.0,0.0,1,1,6,6.0,0,0,100.0,6.0,0.5,3.0,100.0,6.0,1,6.0,6,0,0,
20.0,Matt Barkley,26.0,QB,7,6,7,2,0,0,0.0,5.0,0.3,0.3,1.0,1,1,2,2.0,1,1,100.0,2.0,0.1,0.3,100.0,2.0,8,0.5,4,1,4,
21.0,Chris Prosinski,29.0,DB,16,1,1,2,0,1,100.0,2.0,2.0,0.1,0.1,0,0,0,,0,0,,,0.0,0.0,,,1,2.0,2,0,0,
22.0,Daniel Braverman,23.0,WR,3,0,0,0,0,0,,,,0.0,0.0,2,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,0,0,0,
23.0,David Fales,26.0,QB,1,0,1,0,0,0,0.0,,0.0,0.0,1.0,0,0,0,,0,0,,,0.0,0.0,,,1,0.0,0,0,1,
24.0,Brian Hoyer,31.0,QB,6,5,7,-2,0,0,0.0,3.0,-0.3,-0.3,1.2,0,0,0,,0,0,,,0.0,0.0,,,7,-0.3,-2,0,3,
,Team Totals,,,16,16,380,1735,10,97,48.2,69.0,4.6,108.4,23.8,550,347,4139,11.9,19,213,52.0,64.0,21.7,258.7,63.1,7.5,727,8.1,5874,29,25,
