Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 16_level_0,Tackles,Tackles,Tackles,Tackles,Unnamed: 21_level_0,Unnamed: 22_level_0
Rk,Player,Age,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,Sfty,Awards
1.0,Willie Anderson,25.0,RT,16,16,0,0,0,0,0.0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0,
2.0,John Copeland,30.0,RDT/RDE,16,16,0,0,0,0,1.0,0,0,1,4,0,1.0,39.0,32.0,7.0,7.0,0,
3.0,Corey Dillon,26.0,RB,16,16,0,0,0,0,0.0,0,4,0,0,0,0.0,0.0,0.0,0.0,0.0,0,PB
4.0,Steve Foley,25.0,LLB,16,16,1,1,0,1,8.0,2,0,1,0,0,4.0,43.0,34.0,9.0,6.0,0,
5.0,Oliver Gibson,28.0,LDT,16,16,0,0,0,0,1.0,0,0,0,0,0,4.0,52.0,43.0,9.0,8.0,0,
6.0,Mike Goff,24.0,RG,16,16,0,0,0,0,0.0,0,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0,
7.0,Takeo Spikes,24.0,RLB,16,16,2,12,0,7,4.0,0,0,3,0,0,2.0,128.0,109.0,19.0,8.0,0,
8.0,Peter Warrick,23.0,WR,16,16,0,0,0,0,0.0,0,2,1,0,0,0.0,1.0,1.0,0.0,0.0,0,
9.0,Darryl Williams,30.0,FS,16,16,1,36,1,36,5.0,3,0,0,0,0,0.0,101.0,80.0,21.0,1.0,0,
10.0,Michael Bankston,30.0,RDE/LDE,16,14,0,0,0,0,2.0,0,0,0,0,0,0.0,64.0,50.0,14.0,3.0,0,
11.0,Tom Carter,28.0,LCB,16,11,2,40,0,30,11.0,0,0,0,0,0,0.0,43.0,36.0,7.0,0.0,0,
12.0,Akili Smith,25.0,QB,12,11,0,0,0,0,0.0,0,14,2,-14,0,0.0,0.0,0.0,0.0,0.0,0,
13.0,Armegis Spearman,22.0,MLB,15,11,0,0,0,0,4.0,0,0,0,0,0,1.0,73.0,49.0,24.0,5.0,0,
14.0,Marco Battaglia,27.0,TE,16,10,0,0,0,0,0.0,0,0,0,0,0,0.0,1.0,1.0,0.0,0.0,0,
15.0,Chris Carter,26.0,SS,16,10,1,6,0,6,2.0,2,0,1,0,0,1.0,66.0,54.0,12.0,4.0,0,
16.0,Vaughn Booker,32.0,LDE,9,9,0,0,0,0,1.0,0,0,0,0,0,0.0,17.0,13.0,4.0,1.0,0,
17.0,Rich Braham,30.0,C,9,9,0,0,0,0,,0,1,0,-16,0,0.0,,,,,0,
18.0,Rodney Heath,26.0,RCB,13,9,0,0,0,0,12.0,0,0,1,0,0,0.0,50.0,45.0,5.0,1.0,0,
19.0,Craig Yeast,24.0,WR,15,7,0,0,0,0,0.0,0,3,1,0,0,0.0,0.0,0.0,0.0,0.0,0,
20.0,Cory Hall,24.0,SS,16,6,1,12,0,12,2.0,0,0,0,0,0,4.0,41.0,36.0,5.0,4.0,0,
21.0,Artrell Hawkins,24.0,RCB,16,6,0,0,0,0,9.0,1,0,1,12,0,0.0,59.0,52.0,7.0,0.0,0,
22.0,Tom Barndt,28.0,RDT,14,5,0,0,0,0,0.0,1,0,1,0,0,0.0,12.0,7.0,5.0,3.0,0,
23.0,Scott Mitchell,32.0,QB,8,5,0,0,0,0,0.0,0,4,0,-6,0,0.0,,,,,0,
24.0,Robert Bean,22.0,DB,12,4,1,0,0,0,6.0,0,0,0,0,0,0.0,25.0,23.0,2.0,0.0,0,
25.0,Nick Luchey,23.0,FB,14,4,0,0,0,0,0.0,0,2,1,0,0,0.0,,,,,0,
26.0,Adrian Ross,25.0,LB,13,4,0,0,0,0,3.0,0,0,0,0,0,1.0,38.0,36.0,2.0,2.0,0,
27.0,Jevon Langford,26.0,DE,11,3,0,0,0,0,2.0,0,0,0,0,0,0.0,22.0,19.0,3.0,2.0,0,
28.0,Danny Farmer,23.0,WR,13,2,0,0,0,0,0.0,0,1,0,0,0,0.0,,,,,0,
29.0,Mark Roman,23.0,DB,8,2,0,0,0,0,2.0,1,0,2,0,0,0.0,17.0,16.0,1.0,0.0,0,
