Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 16_level_0,Tackles,Tackles,Tackles,Tackles,Unnamed: 21_level_0,Unnamed: 22_level_0
Rk,Player,Age,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,Sfty,Awards
1.0,Robert Geathers,22.0,RDE,1,1,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0.0,2,2.0,0.0,1.0,0.0,
2.0,Tory James,32.0,RCB,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,4,3.0,1.0,0.0,0.0,
3.0,Kevin Kaesviharn,29.0,FS,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,6,4.0,2.0,1.0,0.0,
4.0,Deltha O'Neal,28.0,LCB,1,1,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0.0,4,4.0,0.0,0.0,0.0,
5.0,Ifeanyi Ohalete,26.0,SS,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,4,4.0,0.0,0.0,0.0,
6.0,David Pollack,23.0,LLB,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1.0,8,5.0,3.0,2.0,0.0,
7.0,Bryan Robinson,31.0,LDT,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,1,1.0,0.0,1.0,0.0,
8.0,Brian Simmons,30.0,RLB,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,4,3.0,1.0,0.0,0.0,
9.0,Justin Smith,26.0,LDE,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,4,3.0,1.0,0.0,0.0,
10.0,Tony Stewart,26.0,TE,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,2,2.0,0.0,0.0,0.0,
11.0,Odell Thurman,22.0,MLB,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,8,3.0,5.0,0.0,0.0,
12.0,Rashad Bauman,26.0,DB,1,0,,,,,0,0,0,0,0,0,0.0,1,0.0,1.0,0.0,,
13.0,Patrick Body,23.0,DB,1,0,,,,,0,0,0,0,0,0,0.0,1,1.0,0.0,0.0,,
14.0,Shayne Graham,28.0,K,1,0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0.0,1,1.0,0.0,0.0,0.0,
15.0,Landon Johnson,24.0,LLB,1,0,,,,,0,0,0,0,0,0,0.0,2,0.0,2.0,0.0,,
16.0,Jon Kitna,33.0,QB,1,0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0.0,0,,,,0.0,
17.0,Anthony Mitchell,31.0,DB,1,0,,,,,0,0,0,0,0,0,0.0,1,1.0,0.0,0.0,,
18.0,Hannibal Navies,28.0,LB,1,0,,,,,0,0,0,0,0,0,0.0,1,0.0,1.0,0.0,,
19.0,Shaun Smith,24.0,LDT,1,0,,,,,0,0,0,0,0,0,0.0,1,0.0,1.0,0.0,,
20.0,Brad St. Louis,29.0,LS,1,0,0.0,0.0,0.0,0.0,0,0,1,0,-19,0,0.0,0,,,,0.0,
21.0,Marcus Wilkins,25.0,LB,1,0,,,,,0,0,0,0,0,0,0.0,1,1.0,0.0,0.0,,
,Team Totals,,,1,1,0.0,0.0,0.0,0.0,2,0,2,2,-19,0,1.0,56,38.0,18.0,5.0,0.0,
