Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 16_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Unnamed: 22_level_0,Unnamed: 23_level_0
Rk,Player,Age,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards
1.0,Chris Crocker,31.0,SS,16,16,0,0,0,0,5,1,0,0,0,0,3.5,61,45,16,2.0,7.0,0,
2.0,Andy Dalton,24.0,QB,16,16,0,0,0,0,0,0,4,0,0,0,0.0,0,0,0,0.0,0.0,0,"PB,AP ORoY-2"
3.0,Reggie Nelson,28.0,FS,16,16,4,115,1,75,12,2,0,0,0,0,2.0,85,59,26,4.0,6.0,0,
4.0,Domata Peko,27.0,LDT,16,16,0,0,0,0,0,1,0,1,0,0,2.5,66,34,32,6.0,4.0,0,
5.0,Geno Atkins,23.0,RDT,16,15,0,0,0,0,2,2,1,2,19,1,7.5,47,26,21,10.0,18.0,0,"PB,AP-2"
6.0,Cedric Benson,29.0,RB,15,15,0,0,0,0,0,0,5,2,0,0,0.0,0,0,0,0.0,0.0,0,
7.0,Nate Clements,32.0,LCB,15,15,2,5,0,7,12,2,1,2,0,0,1.0,55,49,6,4.0,4.0,0,
8.0,A.J. Green,23.0,WR,15,15,0,0,0,0,0,0,1,1,0,0,0.0,0,0,0,0.0,0.0,0,PB
9.0,Thomas Howard,28.0,RLB,16,15,0,0,0,0,4,2,0,0,0,0,1.0,99,64,35,7.0,4.0,0,
10.0,Manny Lawson,27.0,LLB,16,15,0,0,0,0,4,0,0,0,0,0,1.5,52,31,21,6.0,4.0,0,
11.0,Jerome Simpson,25.0,WR,16,14,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0.0,0.0,0,
12.0,Andre Smith,24.0,RT,14,14,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0.0,0.0,0,
13.0,Robert Geathers,28.0,LDE,14,13,0,0,0,0,1,0,0,0,0,0,2.5,29,10,19,3.0,5.0,0,
14.0,Jermaine Gresham,23.0,TE,14,13,0,0,0,0,0,0,1,0,0,0,0.0,1,1,0,0.0,0.0,0,PB
15.0,Rey Maualuga,24.0,MLB,13,13,1,2,0,2,2,3,0,1,0,0,0.0,88,53,35,3.0,0.0,0,
16.0,Frostee Rucker,28.0,RDE,16,11,0,0,0,0,2,0,0,0,0,0,4.0,44,32,12,11.0,7.0,0,
17.0,Leon Hall,27.0,RCB,9,9,2,15,0,15,7,0,0,1,10,0,0.0,32,29,3,0.0,0.0,0,
18.0,Adam Jones,28.0,RCB,8,7,0,0,0,0,6,0,0,0,0,0,0.0,28,26,2,1.0,0.0,0,
19.0,Michael Johnson,24.0,RDE,16,5,1,0,0,0,5,1,0,1,0,0,6.0,42,27,15,6.0,12.0,0,
20.0,Donald Lee,31.0,TE,9,4,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,,,0,
21.0,Colin Cochart,24.0,TE,10,3,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0.0,0.0,0,
22.0,Dan Skuta,25.0,LB,16,3,0,0,0,0,0,1,0,0,0,0,0.5,31,16,15,0.0,1.0,0,
23.0,Andre Caldwell,26.0,WR,13,2,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0.0,0.0,0,
24.0,Jonathan Fanene,29.0,DE,16,2,0,0,0,0,1,0,0,2,0,0,6.5,24,17,7,10.0,12.0,0,
25.0,Carlos Dunlap,22.0,DE,12,1,0,0,0,0,3,0,0,1,35,1,4.5,23,11,12,4.0,18.0,0,
26.0,Kelly Jennings,29.0,DB,13,1,0,0,0,0,5,0,0,0,0,0,1.0,33,26,7,1.0,1.0,0,
27.0,Brandon Johnson,28.0,LB,16,1,0,0,0,0,3,1,0,0,0,0,0.0,31,20,11,1.0,3.0,0,
28.0,Pat Sims,26.0,DT,11,1,0,0,0,0,0,0,0,0,0,0,1.0,20,11,9,2.0,1.0,0,
29.0,Gibril Wilson,30.0,DB,16,1,0,0,0,0,0,1,0,1,0,0,0.0,33,21,12,0.0,0.0,0,
30.0,Brandon Ghee,24.0,DB,7,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0.0,0.0,0,
31.0,Clark Harris,27.0,TE,16,0,0,0,0,0,0,0,0,0,0,0,0.0,3,1,2,0.0,0.0,0,
32.0,Andrew Hawkins,25.0,WR,13,0,0,0,0,0,0,0,0,1,0,0,0.0,4,2,2,0.0,0.0,0,
33.0,Nick Hayden,25.0,DT,2,0,0,0,0,0,0,0,0,0,0,0,0.0,2,2,0,0.0,0.0,0,
34.0,Brian Leonard,27.0,RB,13,0,0,0,0,0,0,0,0,0,0,0,0.0,7,6,1,0.0,0.0,0,
35.0,Taylor Mays,23.0,DB,10,0,0,0,0,0,1,0,0,0,0,0,0.0,10,7,3,0.0,0.0,0,
36.0,Jeromy Miles,24.0,DB,16,0,0,0,0,0,0,0,0,0,0,0,0.0,16,15,1,0.0,0.0,0,
37.0,Rico Murray,24.0,DB,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0.0,0.0,0,
38.0,Cedric Peerman,25.0,RB,15,0,0,0,0,0,0,0,0,0,0,0,0.0,12,9,3,0.0,0.0,0,
39.0,Vincent Rey,24.0,LB,16,0,0,0,0,0,0,0,0,0,0,0,0.0,6,6,0,0.0,0.0,0,
40.0,Jordan Shipley,26.0,WR,2,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,,,0,
41.0,Brandon Tate,24.0,WR,16,0,0,0,0,0,0,0,3,1,0,0,0.0,0,0,0,,,0,
42.0,Morgan Trent,26.0,DB,6,0,0,0,0,0,0,0,0,0,0,0,0.0,6,4,2,0.0,0.0,0,
,Team Totals,,,16,16,10,137,1,75,75,17,17,19,64,2,45.0,995,664,331,81.0,107.0,0,
