Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Score,Score,Offense,Offense,Offense,Offense,Offense,Defense,Defense,Defense,Defense,Defense,Expected Points,Expected Points,Expected Points
Week,Day,Date,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,OT,Rec,Unnamed: 8_level_1,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,September 11,1:06PM ET,boxscore,W,,1-0,@,Cleveland Browns,27.0,17.0,17.0,294.0,155.0,139.0,,17.0,285.0,202.0,83.0,1.0,0.57,10.45,2.08
2,Sun,September 18,4:15PM ET,boxscore,L,,1-1,@,Denver Broncos,22.0,24.0,18.0,382.0,310.0,72.0,,19.0,318.0,187.0,131.0,2.0,-1.57,0.55,-4.52
3,Sun,September 25,1:02PM ET,boxscore,L,,1-2,,San Francisco 49ers,8.0,13.0,14.0,228.0,149.0,79.0,3.0,16.0,226.0,176.0,50.0,1.0,-13.79,11.32,-1.92
4,Sun,October 2,1:03PM ET,boxscore,W,,2-2,,Buffalo Bills,23.0,20.0,25.0,458.0,287.0,171.0,2.0,12.0,273.0,190.0,83.0,,4.54,3.68,-3.16
5,Sun,October 9,1:02PM ET,boxscore,W,,3-2,@,Jacksonville Jaguars,30.0,20.0,13.0,239.0,162.0,77.0,1.0,12.0,296.0,200.0,96.0,2.0,-10.47,14.15,6.78
6,Sun,October 16,1:02PM ET,boxscore,W,,4-2,,Indianapolis Colts,27.0,17.0,17.0,358.0,264.0,94.0,,18.0,273.0,179.0,94.0,3.0,4.5,7.83,1.48
7,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
8,Sun,October 30,4:16PM ET,boxscore,W,,5-2,@,Seattle Seahawks,34.0,12.0,18.0,252.0,160.0,92.0,2.0,20.0,411.0,350.0,61.0,2.0,-0.55,9.79,5.57
9,Sun,November 6,4:05PM ET,boxscore,W,,6-2,@,Tennessee Titans,24.0,17.0,20.0,319.0,210.0,109.0,,19.0,328.0,250.0,78.0,1.0,6.9,-1.08,-3.12
10,Sun,November 13,1:02PM ET,boxscore,L,,6-3,,Pittsburgh Steelers,17.0,24.0,14.0,279.0,170.0,109.0,2.0,24.0,328.0,223.0,105.0,1.0,-4.55,-6.07,3.9
11,Sun,November 20,1:02PM ET,boxscore,L,,6-4,@,Baltimore Ravens,24.0,31.0,23.0,483.0,364.0,119.0,3.0,13.0,373.0,268.0,105.0,1.0,-1.26,-0.72,-4.29
12,Sun,November 27,1:02PM ET,boxscore,W,,7-4,,Cleveland Browns,23.0,20.0,18.0,389.0,257.0,132.0,1.0,17.0,274.0,140.0,134.0,1.0,1.39,4.6,1.25
13,Sun,December 4,1:02PM ET,boxscore,L,,7-5,@,Pittsburgh Steelers,7.0,35.0,13.0,232.0,128.0,104.0,2.0,22.0,295.0,159.0,136.0,,-8.79,-9.71,-9.4
14,Sun,December 11,1:02PM ET,boxscore,L,,7-6,,Houston Texans,19.0,20.0,16.0,285.0,184.0,101.0,2.0,25.0,412.0,268.0,144.0,4.0,-0.3,-3.95,4.33
15,Sun,December 18,1:00PM ET,boxscore,W,,8-6,@,St. Louis Rams,20.0,13.0,19.0,283.0,173.0,110.0,1.0,18.0,305.0,210.0,95.0,,-5.58,3.91,7.81
16,Sat,December 24,1:02PM ET,boxscore,W,,9-6,,Arizona Cardinals,23.0,16.0,21.0,301.0,136.0,165.0,2.0,17.0,316.0,257.0,59.0,3.0,-3.11,12.69,-3.64
17,Sun,January 1,4:16PM ET,boxscore,L,,9-7,,Baltimore Ravens,16.0,24.0,19.0,336.0,231.0,105.0,1.0,15.0,347.0,126.0,221.0,,0.34,-9.3,1.65
,,Playoffs,,,,,,,,,,,,,,,,,,,,,,
Wild Card,Sat,January 7,4:35PM ET,boxscore,L,,9-8,@,Houston Texans,10.0,31.0,21.0,300.0,224.0,76.0,3.0,19.0,340.0,152.0,188.0,,-5.39,-13.28,-2.15
