Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 16_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Unnamed: 22_level_0,Unnamed: 23_level_0
Rk,Player,Age,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards
1.0,Geno Atkins,26.0,RDT,1,1,0,0,0,0,0,0,0,0,0,0,0.5,3,2,1,0.0,1.0,0,
2.0,Clint Boling,25.0,LG,1,1,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,,,0,
3.0,Andy Dalton,27.0,QB,1,1,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,,,0,
4.0,Carlos Dunlap,25.0,LDE,1,1,0,0,0,0,0,0,0,0,0,0,0.0,2,1,1,0.0,3.0,0,
5.0,Wallace Gilberry,30.0,RDE,1,1,0,0,0,0,0,0,0,0,0,0,0.0,2,0,2,0.0,2.0,0,
6.0,Leon Hall,30.0,RCB,1,1,0,0,0,0,1,0,0,0,0,0,0.0,2,1,1,0.0,0.0,0,
7.0,Ryan Hewitt,23.0,TE,1,1,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0.0,0.0,0,
8.0,George Iloka,24.0,SS,1,1,0,0,0,0,0,0,0,0,0,0,0.0,5,2,3,0.0,0.0,0,
9.0,Adam Jones,31.0,DB,1,1,0,0,0,0,0,0,0,0,0,0,0.0,6,4,2,0.0,0.0,0,
10.0,Dre Kirkpatrick,25.0,DB,1,1,0,0,0,0,1,0,0,0,0,0,0.0,4,3,1,0.0,0.0,0,
11.0,Rey Maualuga,27.0,MLB,1,1,0,0,0,0,1,0,0,0,0,0,0.0,2,2,0,0.0,0.0,0,
12.0,Reggie Nelson,31.0,FS,1,1,0,0,0,0,0,0,0,1,6,0,0.0,5,4,1,0.0,1.0,0,
13.0,Domata Peko,30.0,LDT,1,1,0,0,0,0,0,0,0,0,0,0,0.0,3,1,2,0.0,0.0,0,
14.0,Vincent Rey,27.0,RLB,1,1,0,0,0,0,0,1,0,0,0,0,0.0,11,5,6,0.0,0.0,0,
15.0,Darqueze Dennard,23.0,DB,1,0,0,0,0,0,0,1,0,0,0,0,0.0,2,2,0,0.0,0.0,0,
16.0,Marquis Flowers,22.0,LB,1,0,0,0,0,0,0,0,0,0,0,0,0.0,5,3,2,0.0,0.0,0,
17.0,Clark Harris,30.0,TE,1,0,0,0,0,0,0,0,0,0,0,0,0.0,3,1,2,0.0,0.0,0,
18.0,Margus Hunt,27.0,DE,1,0,0,0,0,0,0,0,0,0,0,0,0.5,2,0,2,0.0,1.0,0,
19.0,Nico Johnson,24.0,LB,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0.0,0.0,0,
20.0,Emmanuel Lamur,25.0,LLB,1,0,0,0,0,0,0,0,0,0,0,0,0.0,6,6,0,0.0,0.0,0,
21.0,Taylor Mays,26.0,DB,1,0,0,0,0,0,0,0,0,0,0,0,0.0,2,2,0,0.0,0.0,0,
22.0,Terence Newman,36.0,LCB,1,0,0,0,0,0,1,0,0,0,0,0,0.0,3,3,0,0.0,0.0,0,
23.0,Cedric Peerman,28.0,RB,1,0,0,0,0,0,0,0,0,0,0,0,0.0,2,0,2,0.0,0.0,0,
24.0,Brandon Thompson,25.0,DT,1,0,0,0,0,0,0,0,0,0,0,0,0.0,4,2,2,1.0,0.0,0,
25.0,Shawn Williams,23.0,DB,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0.0,0.0,0,
,Team Totals,,,1,1,0,0,0,0,4,2,1,1,6,0,1.0,78,46,32,1.0,8.0,0,
