Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scrimmage,Scrimmage,Scrimmage,Scrimmage,Unnamed: 31_level_0,Unnamed: 32_level_0
Rk,Player,Age,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
1.0,Rex Burkhead,24.0,RB,1,1,1,23,0,1,100.0,23.0,23.0,23.0,1.0,3,3,34,11.3,0,1,66.7,26.0,3.0,34.0,100.0,11.3,4,14.3,57,0,0,
2.0,Giovani Bernard,23.0,RB,1,0,3,6,0,0,33.3,6.0,2.0,6.0,3.0,9,8,46,5.8,0,2,44.4,13.0,8.0,46.0,88.9,5.1,11,4.7,52,0,0,
3.0,Jeremy Hill,22.0,RB,1,1,13,47,1,3,46.2,18.0,3.6,47.0,13.0,0,0,0,,0,0,,,0.0,0.0,,,13,3.6,47,1,0,
4.0,Ryan Hewitt,23.0,TE,1,1,0,0,0,0,,,,0.0,0.0,5,3,37,12.3,0,2,60.0,14.0,3.0,37.0,60.0,7.4,3,12.3,37,0,0,
5.0,Andy Dalton,27.0,QB,1,1,4,34,0,2,50.0,16.0,8.5,34.0,4.0,0,0,0,,0,0,,,0.0,0.0,,,4,8.5,34,0,1,
6.0,Mohamed Sanu,25.0,WR,1,1,0,0,0,0,,,,0.0,0.0,7,3,31,10.3,0,2,42.9,11.0,3.0,31.0,42.9,4.4,3,10.3,31,0,0,
7.0,Kevin Brock,28.0,TE,1,1,0,0,0,0,,,,0.0,0.0,2,1,7,7.0,0,0,0.0,7.0,1.0,7.0,50.0,3.5,1,7.0,7,0,0,
8.0,Cobi Hamilton,24.0,WR,1,0,0,0,0,0,,,,0.0,0.0,2,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,0,0,0,
9.0,Greg Little,25.0,WR,1,0,0,0,0,0,,,,0.0,0.0,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,0,0,0,
10.0,Brandon Tate,27.0,WR,1,0,0,0,0,0,,,,0.0,0.0,5,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,0,0,0,
,Team Totals,,,1,1,21,110,1,6,47.6,23.0,5.2,110.0,21.0,34,18,155,8.6,0,7,35.3,26.0,18.0,155.0,52.9,4.6,39,6.8,265,1,1,
