Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scrimmage,Scrimmage,Scrimmage,Scrimmage,Unnamed: 31_level_0,Unnamed: 32_level_0
Rk,Player,Age,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
1.0,Joe Mixon,23.0,RB,16,15,278,1137,5,56,45.3,41.0,4.1,71.1,17.4,45,35,287,8.2,3,14,51.1,33.0,2.2,17.9,77.8,6.4,313,4.5,1424,8,0,
2.0,Tyler Boyd,25.0,WR,16,15,4,23,0,1,50.0,10.0,5.8,1.4,0.3,148,90,1046,11.6,5,51,46.6,47.0,5.6,65.4,60.8,7.1,94,11.4,1069,5,2,
3.0,Auden Tate,22.0,WR,12,10,0,0,0,0,,,,0.0,0.0,80,40,575,14.4,1,29,45.0,33.0,3.3,47.9,50.0,7.2,40,14.4,575,1,1,
4.0,Alex Erickson,27.0,WR,16,6,5,33,0,2,80.0,17.0,6.6,2.1,0.3,78,43,529,12.3,0,26,47.4,52.0,2.7,33.1,55.1,6.8,48,11.7,562,0,4,
5.0,John Ross,24.0,WR,8,8,3,4,0,0,33.3,5.0,1.3,0.5,0.4,56,28,506,18.1,3,22,44.6,66.0,3.5,63.3,50.0,9.0,31,16.5,510,3,1,
6.0,Tyler Eifert,29.0,TE,16,4,0,0,0,0,,,,0.0,0.0,63,43,436,10.1,3,24,52.4,27.0,2.7,27.3,68.3,6.9,43,10.1,436,3,0,
7.0,Giovani Bernard,28.0,RB,16,2,53,170,0,10,32.1,25.0,3.2,10.6,3.3,43,30,234,7.8,0,7,30.2,35.0,1.9,14.6,69.8,5.4,83,4.9,404,0,2,
8.0,C.J. Uzomah,26.0,TE,16,16,0,0,0,0,,,,0.0,0.0,40,27,242,9.0,2,12,55.0,36.0,1.7,15.1,67.5,6.1,27,9.0,242,2,0,
9.0,Damion Willis,22.0,WR,10,2,0,0,0,0,,,,0.0,0.0,16,9,82,9.1,0,3,43.8,17.0,0.9,8.2,56.3,5.1,9,9.1,82,0,0,
10.0,Ryan Finley,25.0,QB,3,3,10,77,0,4,70.0,24.0,7.7,25.7,3.3,0,0,0,,0,0,,,0.0,0.0,,,10,7.7,77,0,4,
11.0,Andy Dalton,32.0,QB,13,13,32,73,4,12,43.8,17.0,2.3,5.6,2.5,1,1,-4,-4.0,0,0,0.0,-4.0,0.1,-0.3,100.0,-4.0,33,2.1,69,4,8,
12.0,Drew Sample,23.0,TE,9,2,0,0,0,0,,,,0.0,0.0,6,5,30,6.0,0,1,33.3,21.0,0.6,3.3,83.3,5.0,5,6.0,30,0,0,
13.0,Stanley Morgan Jr.,23.0,WR,11,0,0,0,0,0,,,,0.0,0.0,10,3,18,6.0,0,0,20.0,9.0,0.3,1.6,30.0,1.8,3,6.0,18,0,0,
14.0,Cethan Carter,24.0,TE,15,0,0,0,0,0,,,,0.0,0.0,3,2,13,6.5,1,2,66.7,8.0,0.1,0.9,66.7,4.3,2,6.5,13,1,0,
,Team Totals,,,16,16,385,1517,9,85,44.4,41.0,3.9,94.8,24.1,589,356,3994,11.2,18,191,46.0,66.0,22.3,249.6,60.4,6.8,741,7.4,5511,27,22,
