Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 16_level_0,Tackles,Tackles,Tackles,Tackles,Unnamed: 21_level_0,Unnamed: 22_level_0
Rk,Player,Age,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,Sfty,Awards
1.0,Corey Fuller,31.0,LCB,1,1,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0.0,6,5.0,1.0,0.0,0.0,
2.0,Robert Griffith,32.0,SS,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,10,9.0,1.0,1.0,0.0,
3.0,Darren Hambrick,27.0,LLB,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,3,1.0,2.0,0.0,0.0,
4.0,Earl Holmes,29.0,MLB,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,2,2.0,0.0,0.0,0.0,
5.0,Kenard Lang,27.0,LDE,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1.0,5,3.0,2.0,1.0,0.0,
6.0,Earl Little,29.0,FS,1,1,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0.0,1,1.0,0.0,0.0,0.0,
7.0,Daylon McCutcheon,26.0,RCB,1,1,2.0,41.0,0.0,28.0,2,0,0,0,0,0,0.0,3,2.0,1.0,0.0,0.0,
8.0,Tyrone Rogers,28.0,RDE,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,2,0.0,2.0,0.0,0.0,
9.0,Orpheus Roye,29.0,RDT,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1.0,4,3.0,1.0,1.0,0.0,
10.0,Dwayne Rudd,26.0,RLB,1,1,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0.0,3,2.0,1.0,0.0,0.0,
11.0,Gerard Warren,24.0,LDT,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,2,0.0,2.0,0.0,0.0,
12.0,Chris Akins,26.0,DB,1,0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0.0,0,,,,0.0,
13.0,Kevin Bentley,23.0,LB,1,0,,,,,0,0,0,0,0,0,0.0,4,4.0,0.0,0.0,,
14.0,Brant Boyer,31.0,LB,1,0,,,,,0,0,0,0,0,0,0.0,8,7.0,1.0,0.0,,
15.0,Anthony Henry,26.0,RCB,1,0,,,,,1,0,0,0,0,0,0.0,3,3.0,0.0,0.0,,
16.0,Michael Jameson,23.0,DB,1,0,,,,,0,0,0,0,0,0,0.0,1,1.0,0.0,0.0,,
17.0,Andre King,29.0,WR,1,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,1,1.0,0.0,0.0,0.0,
18.0,Alvin McKinley,24.0,DT,1,0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,1.0,4,3.0,1.0,1.0,0.0,
19.0,Lewis Sanders,24.0,DB,1,0,,,,,1,0,0,0,0,0,0.0,7,6.0,1.0,0.0,,
20.0,Cedric Scott,25.0,DE,1,0,,,,,0,0,0,0,0,0,0.0,1,1.0,0.0,0.0,,
,Team Totals,,,1,1,2.0,41.0,0.0,28.0,8,0,0,1,0,0,3.0,70,54.0,16.0,4.0,0.0,
