Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Score,Score,Offense,Offense,Offense,Offense,Offense,Defense,Defense,Defense,Defense,Defense,Expected Points,Expected Points,Expected Points
Week,Day,Date,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,OT,Rec,Unnamed: 8_level_1,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,September 7,1:06PM ET,boxscore,L,,0-1,,Indianapolis Colts,6.0,9.0,18.0,280.0,182.0,98.0,2.0,18.0,271.0,204.0,67.0,2.0,-3.74,4.86,-3.18
2,Sun,September 14,1:02PM ET,boxscore,L,,0-2,@,Baltimore Ravens,13.0,33.0,9.0,175.0,115.0,60.0,3.0,14.0,393.0,50.0,343.0,3.0,-28.64,7.15,1.95
3,Sun,September 21,4:15PM ET,boxscore,W,,1-2,@,San Francisco 49ers,13.0,12.0,20.0,251.0,200.0,51.0,2.0,15.0,265.0,190.0,75.0,1.0,4.37,4.65,-9.02
4,Sun,September 28,1:03PM ET,boxscore,L,,1-3,,Cincinnati Bengals,14.0,21.0,18.0,339.0,270.0,69.0,1.0,17.0,295.0,215.0,80.0,,3.89,-9.8,-0.31
5,Sun,October 5,8:35PM ET,boxscore,W,,2-3,@,Pittsburgh Steelers,33.0,13.0,22.0,324.0,200.0,124.0,2.0,11.0,209.0,149.0,60.0,3.0,5.82,23.56,-9.62
6,Sun,October 12,1:03PM ET,boxscore,W,,3-3,,Oakland Raiders,13.0,7.0,20.0,284.0,113.0,171.0,1.0,12.0,254.0,164.0,90.0,,1.68,5.95,-1.98
7,Sun,October 19,1:02PM ET,boxscore,L,,3-4,,San Diego Chargers,20.0,26.0,20.0,277.0,176.0,101.0,2.0,15.0,289.0,61.0,228.0,2.0,-17.32,3.78,4.05
8,Sun,October 26,1:02PM ET,boxscore,L,,3-5,@,New England Patriots,3.0,9.0,13.0,203.0,119.0,84.0,1.0,19.0,347.0,253.0,94.0,,-10.83,1.81,4.04
9,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
10,Sun,November 9,1:00PM ET,boxscore,L,,3-6,@,Kansas City Chiefs,20.0,41.0,16.0,199.0,119.0,80.0,2.0,30.0,443.0,348.0,95.0,2.0,-5.04,-26.38,9.53
11,Sun,November 16,1:03PM ET,boxscore,W,,4-6,,Arizona Cardinals,44.0,6.0,27.0,481.0,392.0,89.0,,10.0,187.0,146.0,41.0,4.0,26.79,20.47,-6.19
12,Sun,November 23,1:02PM ET,boxscore,L,,4-7,,Pittsburgh Steelers,6.0,13.0,19.0,303.0,213.0,90.0,5.0,11.0,168.0,59.0,109.0,,-24.23,15.85,-1.07
13,Sun,November 30,4:15PM ET,boxscore,L,,4-8,@,Seattle Seahawks,7.0,34.0,11.0,214.0,167.0,47.0,3.0,26.0,463.0,306.0,157.0,1.0,-18.85,-16.76,10.29
14,Mon,December 8,9:09PM ET,boxscore,L,,4-9,,St. Louis Rams,20.0,26.0,18.0,309.0,147.0,162.0,4.0,18.0,328.0,210.0,118.0,1.0,-15.37,2.04,5.5
15,Sun,December 14,4:05PM ET,boxscore,L,OT,4-10,@,Denver Broncos,20.0,23.0,12.0,275.0,173.0,102.0,1.0,28.0,417.0,252.0,165.0,1.0,2.16,-9.16,4.0
16,Sun,December 21,1:03PM ET,boxscore,L,,4-11,,Baltimore Ravens,0.0,35.0,14.0,211.0,133.0,78.0,4.0,18.0,359.0,83.0,276.0,1.0,-27.26,-10.26,4.26
17,Sun,December 28,1:02PM ET,boxscore,W,,5-11,@,Cincinnati Bengals,22.0,14.0,19.0,379.0,115.0,264.0,,21.0,271.0,156.0,115.0,1.0,8.63,-2.63,-0.9
