Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 16_level_0,Tackles,Tackles,Tackles,Tackles,Unnamed: 21_level_0,Unnamed: 22_level_0
Rk,Player,Age,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,Sfty,Awards
1.0,Robert Griffith,34.0,SS,16,16,1,18,0,18,3.0,0,0,0,0,0,1.0,119.0,92.0,27.0,8.0,0,
2.0,Kenard Lang,29.0,RDE,16,15,0,0,0,0,4.0,2,0,0,0,0,7.0,62.0,49.0,13.0,14.0,0,
3.0,Anthony Henry,28.0,LCB,15,14,4,83,0,51,12.0,0,0,0,0,0,0.0,76.0,67.0,9.0,1.0,0,
4.0,Warrick Holdman,29.0,RLB,16,14,0,0,0,0,2.0,0,0,0,0,0,0.5,78.0,49.0,29.0,1.0,0,
5.0,Orpheus Roye,31.0,RDT,15,14,0,0,0,0,5.0,0,0,0,0,0,1.0,38.0,30.0,8.0,3.0,0,
6.0,Jeff Faine,23.0,C,13,13,0,0,0,0,0.0,0,2,1,-47,0,0.0,0.0,0.0,0.0,0.0,0,
7.0,William Green,25.0,RB,15,13,0,0,0,0,0.0,0,3,0,0,0,0.0,1.0,0.0,1.0,0.0,0,
8.0,Steve Heiden,28.0,TE,13,13,0,0,0,0,0.0,0,1,2,0,0,0.0,0.0,0.0,0.0,0.0,0,
9.0,Chaun Thompson,24.0,LLB,16,13,0,0,0,0,3.0,0,0,1,0,0,2.5,65.0,43.0,22.0,2.0,0,
10.0,Gerard Warren,26.0,LDT,13,13,0,0,0,0,0.0,2,0,0,0,0,4.0,19.0,13.0,6.0,3.0,0,
11.0,Andra Davis,26.0,MLB,11,11,3,35,0,30,6.0,0,0,1,0,0,0.5,71.0,53.0,18.0,2.0,0,
12.0,Ebenezer Ekuban,28.0,LDE,16,11,0,0,0,0,2.0,1,0,2,4,0,8.0,39.0,29.0,10.0,9.0,0,
13.0,Joaquin Gonzalez,25.0,RT,16,11,0,0,0,0,0.0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0,
14.0,Earl Little,31.0,FS,16,11,1,28,0,28,5.0,1,0,1,14,0,0.0,53.0,41.0,12.0,0.0,0,
15.0,Dennis Northcutt,27.0,WR,16,11,0,0,0,0,0.0,0,2,1,0,0,0.0,0.0,0.0,0.0,0.0,0,
16.0,Jeff Garcia,34.0,QB,11,10,0,0,0,0,0.0,0,9,0,-9,0,0.0,0.0,0.0,0.0,0.0,0,
17.0,Daylon McCutcheon,28.0,RCB,12,10,2,0,0,2,9.0,0,0,0,0,0,0.0,50.0,45.0,5.0,0.0,0,
18.0,Aaron Shea,28.0,TE,15,8,0,0,0,0,0.0,0,0,0,0,0,0.0,4.0,3.0,1.0,0.0,0,
19.0,Michael Myers,28.0,LDE,16,7,0,0,0,0,0.0,1,0,1,0,0,1.0,34.0,22.0,12.0,4.0,0,
20.0,Ryan Tucker,29.0,RT,7,7,0,0,0,0,0.0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0,
21.0,Chris Crocker,24.0,FS,12,5,1,20,1,20,4.0,0,0,0,0,0,2.0,56.0,46.0,10.0,3.0,0,
22.0,Barry Gardner,28.0,MLB,14,5,1,30,0,30,2.0,0,0,1,0,0,0.0,41.0,26.0,15.0,0.0,0,
23.0,Quincy Morgan,27.0,WR,6,5,0,0,0,0,0.0,0,1,0,0,0,0.0,,,,,0,
24.0,Lewis Sanders,26.0,RCB,16,5,2,36,0,24,6.0,0,0,0,0,0,0.0,32.0,25.0,7.0,0.0,0,
25.0,Luke McCown,23.0,QB,5,4,0,0,0,0,0.0,0,2,1,-12,0,0.0,0.0,0.0,0.0,0.0,0,
26.0,Kevin Bentley,25.0,LB,16,3,0,0,0,0,0.0,1,0,0,0,0,0.0,63.0,44.0,19.0,2.0,0,
27.0,Melvin Fowler,25.0,C,15,3,0,0,0,0,,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0,
28.0,Lee Suggs,24.0,RB,10,3,0,0,0,0,0.0,0,6,1,0,0,0.0,0.0,0.0,0.0,0.0,0,
29.0,Courtney Brown,26.0,DE,2,2,0,0,0,0,0.0,0,0,0,0,0,0.0,2.0,2.0,0.0,1.0,0,
30.0,Kelly Holcomb,31.0,QB,4,2,0,0,0,0,0.0,0,1,2,-5,0,0.0,0.0,0.0,0.0,0.0,0,
31.0,Michael Lehan,25.0,DB,10,2,0,0,0,0,1.0,0,0,0,0,0,0.0,18.0,12.0,6.0,0.0,0,
32.0,Alvin McKinley,26.0,DT,16,2,0,0,0,0,1.0,0,0,2,0,0,3.0,49.0,29.0,20.0,5.0,0,
33.0,Ben Taylor,26.0,LB,3,2,0,0,0,0,0.0,0,0,0,0,0,0.0,8.0,2.0,6.0,1.0,0,
34.0,Leigh Bodden,23.0,DB,8,1,0,0,0,0,0.0,1,0,0,0,0,0.0,27.0,25.0,2.0,0.0,0,
35.0,Richard Alston,24.0,WR,9,0,0,0,0,0,0.0,0,2,0,0,0,0.0,2.0,1.0,1.0,0.0,0,
36.0,Dee Brown,26.0,RB,5,0,0,0,0,0,0.0,0,0,0,0,0,0.0,6.0,2.0,4.0,0.0,0,
37.0,Dyshod Carter,26.0,DB,5,0,0,0,0,0,1.0,1,0,1,0,0,0.0,5.0,5.0,0.0,0.0,0,
