Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scrimmage,Scrimmage,Scrimmage,Scrimmage,Unnamed: 31_level_0,Unnamed: 32_level_0
Rk,Player,Age,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
1.0,Isaiah Crowell,23.0,RB,16,16,198,952,7,45,40.4,85.0,4.8,59.5,12.4,53,40,319,8.0,0,14,49.1,44.0,2.5,19.9,75.5,6.0,238,5.3,1271,7,2,
2.0,Terrelle Pryor,27.0,WR,16,15,8,21,1,3,37.5,15.0,2.6,1.3,0.5,140,77,1007,13.1,4,50,49.3,54.0,4.8,62.9,55.0,7.2,85,12.1,1028,5,1,
3.0,Duke Johnson,23.0,RB,16,1,73,358,1,18,45.2,22.0,4.9,22.4,4.6,74,53,514,9.7,0,24,47.3,32.0,3.3,32.1,71.6,6.9,126,6.9,872,1,2,
4.0,Gary Barnidge,31.0,TE,16,16,0,0,0,0,,,,0.0,0.0,82,55,612,11.1,2,34,52.4,43.0,3.4,38.3,67.1,7.5,55,11.1,612,2,0,
5.0,Corey Coleman,22.0,WR,10,10,2,10,0,0,50.0,9.0,5.0,1.0,0.2,73,33,413,12.5,3,18,37.0,58.0,3.3,41.3,45.2,5.7,35,12.1,423,3,0,
6.0,Andrew Hawkins,30.0,WR,16,5,2,0,0,0,0.0,,0.0,0.0,0.1,54,33,324,9.8,3,20,46.3,33.0,2.1,20.3,61.1,6.0,35,9.3,324,3,0,
7.0,Ricardo Louis,22.0,WR,16,3,0,0,0,0,,,,0.0,0.0,35,18,205,11.4,0,7,40.0,42.0,1.1,12.8,51.4,5.9,18,11.4,205,0,1,
8.0,Robert Griffin III,26.0,QB,5,5,31,190,2,10,54.8,20.0,6.1,38.0,6.2,0,0,0,,0,0,,,0.0,0.0,,,31,6.1,190,2,4,
9.0,Seth Devalve,23.0,TE,12,2,0,0,0,0,,,,0.0,0.0,12,10,127,12.7,2,6,75.0,25.0,0.8,10.6,83.3,10.6,10,12.7,127,2,0,
10.0,Kevin Hogan,24.0,QB,4,0,8,105,1,5,75.0,28.0,13.1,26.3,2.0,0,0,0,,0,0,,,0.0,0.0,,,8,13.1,105,1,0,
11.0,Rashard Higgins,22.0,WR,16,0,0,0,0,0,,,,0.0,0.0,12,6,77,12.8,0,5,41.7,19.0,0.4,4.8,50.0,6.4,6,12.8,77,0,0,
12.0,Malcolm Johnson,24.0,TE,7,1,1,2,0,0,0.0,2.0,2.0,0.3,0.1,7,5,44,8.8,0,2,42.9,21.0,0.7,6.3,71.4,6.3,6,7.7,46,0,1,
13.0,George Atkinson,24.0,RB,16,0,7,34,1,3,57.1,11.0,4.9,2.1,0.4,0,0,0,,0,0,,,0.0,0.0,,,7,4.9,34,1,1,
14.0,Danny Vitale,23.0,RB,9,3,0,0,0,0,,,,0.0,0.0,5,4,27,6.8,0,2,40.0,17.0,0.4,3.0,80.0,5.4,4,6.8,27,0,0,
15.0,Josh McCown,37.0,QB,5,3,7,21,0,0,14.3,7.0,3.0,4.2,1.4,0,0,0,,0,0,,,0.0,0.0,,,7,3.0,21,0,7,
16.0,Cody Kessler,23.0,QB,9,8,11,18,0,1,18.2,8.0,1.6,2.0,1.2,0,0,0,,0,0,,,0.0,0.0,,,11,1.6,18,0,4,
17.0,Connor Hamlett,24.0,TE,3,2,0,0,0,0,,,,0.0,0.0,1,1,17,17.0,1,1,100.0,17.0,0.3,5.7,100.0,17.0,1,17.0,17,1,0,
18.0,Randall Telfer,24.0,TE,14,5,0,0,0,0,,,,0.0,0.0,7,2,4,2.0,0,0,0.0,7.0,0.1,0.3,28.6,0.6,2,2.0,4,0,0,
19.0,Jordan Payton,23.0,WR,4,0,0,0,0,0,,,,0.0,0.0,3,1,3,3.0,0,0,0.0,3.0,0.3,0.8,33.3,1.0,1,3.0,3,0,0,
20.0,Charlie Whitehurst,34.0,QB,1,0,2,1,0,0,0.0,2.0,0.5,1.0,2.0,0,0,0,,0,0,,,0.0,0.0,,,2,0.5,1,0,0,
,Team Totals,,,16,16,350,1712,13,85,42.0,85.0,4.9,107.0,21.9,558,338,3693,10.9,15,183,46.4,58.0,21.1,230.8,60.6,6.6,688,7.9,5405,28,23,
