Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scrimmage,Scrimmage,Scrimmage,Scrimmage,Unnamed: 31_level_0,Unnamed: 32_level_0
Rk,Player,Age,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
1.0,Nick Chubb,25.0,RB,2,2,31,145,0,7,48.4,23.0,4.7,72.5,15.5,9,6,73,12.2,1,2,44.4,40.0,3.0,36.5,66.7,8.1,37,5.9,218,1,0,
2.0,Rashard Higgins,26.0,WR,2,1,0,0,0,0,,,,0.0,0.0,14,7,116,16.6,0,5,42.9,25.0,3.5,58.0,50.0,8.3,7,16.6,116,0,1,
3.0,Jarvis Landry,28.0,WR,2,1,0,0,0,0,,,,0.0,0.0,18,12,112,9.3,2,6,38.9,40.0,6.0,56.0,66.7,6.2,12,9.3,112,2,0,
4.0,Kareem Hunt,25.0,RB,2,0,14,80,3,5,57.1,13.0,5.7,40.0,7.0,2,2,15,7.5,0,1,50.0,13.0,1.0,7.5,100.0,7.5,16,5.9,95,3,0,
5.0,David Njoku,24.0,TE,2,1,0,0,0,0,,,,0.0,0.0,6,5,66,13.2,0,3,66.7,27.0,2.5,33.0,83.3,11.0,5,13.2,66,0,0,
6.0,Austin Hooper,26.0,TE,2,2,0,0,0,0,,,,0.0,0.0,14,9,62,6.9,1,5,57.1,11.0,4.5,31.0,64.3,4.4,9,6.9,62,1,0,
7.0,Donovan Peoples-Jones,21.0,WR,2,2,0,0,0,0,,,,0.0,0.0,3,2,31,15.5,0,1,66.7,23.0,1.0,15.5,66.7,10.3,2,15.5,31,0,0,
8.0,Baker Mayfield,25.0,QB,2,2,8,14,0,4,50.0,6.0,1.8,7.0,4.0,1,1,-8,-8.0,0,0,0.0,-8.0,0.5,-4.0,100.0,-8.0,9,0.7,6,0,0,
9.0,Harrison Bryant,22.0,TE,1,0,0,0,0,0,,,,0.0,0.0,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,0,0,0,
,Team Totals,,,2,2,53,239,3,16,50.9,23.0,4.5,119.5,26.5,68,44,467,10.6,4,23,47.1,40.0,22.0,233.5,64.7,6.9,97,7.3,706,7,1,
