Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 16_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Unnamed: 22_level_0,Unnamed: 23_level_0
Rk,Player,Age,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards
1.0,Devin Bush Jr.,27.0,LB,7,7,0,0,0,0,3,1,0,0,0,0,1.0,52,31,21,4,2,0,
2.0,Maliek Collins,30.0,DT,7,7,0,0,0,0,0,0,0,0,0,0,3.5,15,8,7,3,7,0,
3.0,Grant Delpit,27.0,S,7,7,1,25,0,25,3,1,0,1,0,0,1.0,37,20,17,2,2,0,
4.0,Myles Garrett,30.0,DE,7,7,0,0,0,0,0,0,0,0,0,0,5.0,25,16,9,10,10,0,
5.0,Mason Graham,22.0,DT,7,7,0,0,0,0,1,0,0,0,0,0,0.5,17,8,9,2,2,0,
6.0,Ronnie Hickman,24.0,S,7,7,1,16,0,16,2,0,0,0,0,0,0.0,42,24,18,1,0,0,
7.0,Carson Schwesinger,22.0,LB,7,7,0,0,0,0,0,0,0,0,0,0,1.0,59,24,35,4,3,0,
8.0,Denzel Ward,28.0,CB,7,7,1,13,0,13,5,0,0,0,0,0,0.0,20,16,4,1,0,0,
9.0,Isaiah McGuire,24.0,DE,7,5,0,0,0,0,0,1,0,0,0,0,1.0,14,8,6,5,2,0,
10.0,Greg Newsome II,25.0,CB,5,5,0,0,0,0,3,0,0,0,0,0,0.0,23,18,5,2,0,0,
11.0,Joe Flacco,40.0,QB,4,4,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,0,0,0,
12.0,Jerome Baker,29.0,LB,7,3,0,0,0,0,0,1,0,0,0,0,1.0,15,5,10,1,0,0,
13.0,Myles Harden,24.0,CB,7,3,0,0,0,0,2,0,0,0,0,0,0.0,20,13,7,1,0,0,
14.0,Tyson Campbell,25.0,CB,2,2,1,34,1,34,4,1,0,0,0,0,0.0,7,4,3,0,0,0,
15.0,Blake Whiteheart,25.0,TE,7,2,0,0,0,0,0,0,1,1,0,0,0.0,2,1,1,0,0,0,
16.0,Alex Wright,25.0,DE,7,2,0,0,0,0,0,1,0,0,0,0,2.0,18,10,8,6,2,0,
17.0,Mohamoud Diabate,24.0,LB,7,1,0,0,0,0,0,0,0,1,0,0,0.0,10,5,5,0,0,0,
18.0,Tre Avery,28.0,CB,4,0,0,0,0,0,0,0,0,0,0,0,0.0,7,2,5,0,0,0,
19.0,DeAndre Carter,32.0,WR,4,0,0,0,0,0,0,0,1,1,0,0,0.0,0,0,0,0,0,0,
20.0,Malachi Corley,23.0,WR,3,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,
21.0,Kaden Davis,27.0,WR,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,
22.0,Shelby Harris,34.0,DT,7,0,0,0,0,0,1,0,0,0,0,0,0.0,11,4,7,3,2,0,
23.0,Adin Huntington,23.0,DT,7,0,0,0,0,0,0,0,0,0,0,0,0.5,10,3,7,0,1,0,
24.0,Rayshawn Jenkins,31.0,S,7,0,1,9,0,9,1,0,0,1,0,0,0.0,17,8,9,0,0,0,
25.0,Dom Jones,25.0,CB,5,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,
26.0,Easton Mascarenas-Arnold,23.0,LB,7,0,0,0,0,0,0,0,0,0,0,0,0.0,5,2,3,0,0,0,
27.0,Donovan McMillon,23.0,S,7,0,0,0,0,0,0,0,0,0,0,0,1.0,6,4,2,1,1,0,
28.0,Cameron Mitchell,24.0,CB,2,0,0,0,0,0,0,1,0,0,0,0,0.0,1,0,1,0,0,0,
29.0,Rex Sunahara,29.0,LS,7,0,0,0,0,0,0,0,0,0,0,0,0.0,4,0,4,0,0,0,
30.0,Cameron Thomas,25.0,DE,7,0,0,0,0,0,0,0,0,0,0,0,0.5,5,1,4,0,1,0,
31.0,Joe Tryon-Shoyinka,26.0,DE,7,0,0,0,0,0,0,0,0,0,0,0,0.0,8,5,3,0,1,0,
,Team Totals,,,7,7,5,97,1,34,25,7,4,5,0,0,18.0,453,241,212,46,36,0,
