Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 16_level_0,Tackles,Tackles,Tackles,Tackles,Unnamed: 21_level_0,Unnamed: 22_level_0
Rk,Player,Age,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,Sfty,Awards
1.0,Raheem Brock,25.0,LDE,16,16,0,0,0,0,3,0,0,3,8,0,2.0,42.0,25.0,17.0,5.0,0,
2.0,Rick DeMulling,26.0,LG,16,16,0,0,0,0,0,0,0,3,16,0,0.0,0.0,0.0,0.0,0.0,0,
3.0,Peyton Manning,27.0,QB,16,16,0,0,0,0,0,0,6,4,-9,0,0.0,0.0,0.0,0.0,0.0,0,"PB,AP-1,AP MVP-1,AP OPoY-3"
4.0,Rob Morris,28.0,MLB,16,16,0,0,0,0,1,0,0,0,0,0,0.0,83.0,58.0,25.0,5.0,0,
5.0,Jeff Saturday,28.0,C,16,16,0,0,0,0,0,0,1,1,-3,0,0.0,0.0,0.0,0.0,0.0,0,
6.0,David Thornton,25.0,RLB,16,16,2,3,0,2,5,0,0,0,0,0,1.0,145.0,112.0,33.0,6.0,0,
7.0,Larry Tripplett,24.0,LDT,16,16,0,0,0,0,0,1,0,0,0,0,1.0,50.0,31.0,19.0,2.0,0,
8.0,Marcus Washington,26.0,LLB,16,16,0,0,0,0,4,3,0,1,0,0,6.0,82.0,56.0,26.0,8.0,0,
9.0,Mike Doss,22.0,SS,15,15,1,15,0,15,5,3,1,0,0,0,0.0,105.0,75.0,30.0,5.0,0,
10.0,Walt Harris,29.0,LCB,16,15,0,0,0,0,12,1,0,1,0,0,0.0,55.0,36.0,19.0,4.0,0,
11.0,Marvin Harrison,31.0,WR,15,15,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0,"PB,AP-2"
12.0,Dwight Freeney,23.0,RDE,15,13,0,0,0,0,1,4,0,2,23,1,11.0,34.0,29.0,5.0,10.0,0,"PB,AP-2"
13.0,Nick Harper,29.0,RCB,16,13,4,121,1,75,14,0,0,0,0,0,0.0,97.0,83.0,14.0,7.0,0,
14.0,Edgerrin James,25.0,RB,13,13,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0.0,0.0,0,
15.0,Marcus Pollard,31.0,TE,14,13,0,0,0,0,0,0,1,0,0,0,0.0,1.0,1.0,0.0,0.0,0,
16.0,Montae Reagor,26.0,RDT,13,12,0,0,0,0,1,1,0,1,0,0,0.5,27.0,19.0,8.0,2.0,0,
17.0,Idrees Bashir,25.0,FS,9,9,2,9,0,9,4,1,0,1,0,0,0.0,43.0,29.0,14.0,0.0,0,
18.0,Donald Strickland,23.0,FS,11,8,2,43,0,24,3,1,0,0,0,0,0.0,48.0,33.0,15.0,0.0,0,
19.0,David Macklin,25.0,DB,16,4,1,0,0,0,8,1,1,1,0,0,0.0,40.0,32.0,8.0,2.0,0,
20.0,Troy Walters,27.0,WR,15,4,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0,
21.0,Josh Williams,27.0,DT,16,4,0,0,0,0,0,0,0,0,0,0,1.0,26.0,19.0,7.0,6.0,0,
22.0,Ricky Williams,25.0,RB,13,4,0,0,0,0,0,0,2,1,0,0,0.0,6.0,5.0,1.0,0.0,0,
23.0,Chad Bratzke,32.0,DE,16,3,0,0,0,0,1,1,0,0,0,0,3.0,25.0,16.0,9.0,6.0,0,
24.0,Cory Bird,25.0,DB,12,0,0,0,0,0,0,1,0,0,0,0,0.0,20.0,17.0,3.0,0.0,0,
25.0,Gary Brackett,23.0,LB,16,0,1,31,1,31,1,0,0,0,0,0,1.0,31.0,27.0,4.0,3.0,0,
26.0,Clifton Crosby,29.0,DB,14,0,0,0,0,0,0,1,0,0,0,0,0.0,19.0,16.0,3.0,0.0,0,
27.0,Jason Doering,25.0,DB,16,0,0,0,0,0,0,0,0,0,0,0,0.0,26.0,19.0,7.0,0.0,0,
28.0,Anthony Floyd,22.0,DB,6,0,0,0,0,0,0,0,0,1,0,0,0.0,16.0,12.0,4.0,0.0,0,
29.0,Brandon Hicks,26.0,DT,4,0,0,0,0,0,0,0,0,0,0,0,0.0,2.0,1.0,1.0,0.0,0,
30.0,Brock Huard,27.0,QB,2,0,0,0,0,0,0,0,1,0,-3,0,0.0,,,,,0,
31.0,Cato June,24.0,LB,11,0,0,0,0,0,0,0,0,0,0,0,0.0,8.0,6.0,2.0,0.0,0,
32.0,Robert Mathis,22.0,DE,16,0,0,0,0,0,2,3,0,1,0,0,3.5,25.0,21.0,4.0,2.0,0,
33.0,Aaron Moorehead,23.0,WR,7,0,0,0,0,0,0,0,1,0,0,0,0.0,,,,,0,
34.0,James Mungro,25.0,RB,7,0,0,0,0,0,0,0,0,1,0,0,0.0,1.0,0.0,1.0,0.0,0,
35.0,Jim Nelson,28.0,LB,7,0,2,22,0,12,3,0,1,1,0,0,0.0,17.0,16.0,1.0,2.0,0,
36.0,Brad Pyatt,23.0,WR,8,0,0,0,0,0,0,0,2,1,0,0,0.0,3.0,3.0,0.0,0.0,0,
37.0,Dominic Rhodes,24.0,RB,11,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,1.0,0.0,0.0,0,
38.0,Brad Scioli,27.0,DE,16,0,0,0,0,0,2,0,0,1,0,0,0.0,25.0,20.0,5.0,0.0,0,
39.0,Detron Smith,29.0,RB,11,0,0,0,0,0,0,0,0,0,0,0,0.0,7.0,3.0,4.0,0.0,0,
40.0,Justin Snow,27.0,LS,16,0,0,0,0,0,0,0,0,0,0,0,0.0,6.0,5.0,1.0,0.0,0,
41.0,Mike Vanderjagt,33.0,K,16,0,0,0,0,0,0,0,0,0,0,0,0.0,2.0,2.0,0.0,0.0,0,"PB,AP-1"
42.0,Keyon Whiteside,23.0,LB,5,0,0,0,0,0,0,0,0,0,0,0,0.0,2.0,1.0,1.0,0.0,0,
43.0,Terrence Wilkins,28.0,WR,3,0,0,0,0,0,0,0,1,0,0,0,0.0,,,,,0,
,Team Totals,,,16,16,15,244,2,75,70,22,25,26,32,1,30.0,1120.0,829.0,291.0,75.0,0,
