Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scrimmage,Scrimmage,Scrimmage,Scrimmage,Unnamed: 31_level_0,Unnamed: 32_level_0
Rk,Player,Age,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
1.0,Edgerrin James,25.0,RB,3,3,62,281,3,22,61.3,18.0,4.5,93.7,20.7,13,8,66,8.3,0,3,53.8,16.0,2.7,22.0,61.5,5.1,70,5.0,347,3,1,
2.0,Marvin Harrison,31.0,WR,3,3,0,0,0,0,,,,0.0,0.0,27,16,250,15.6,2,11,51.9,46.0,5.3,83.3,59.3,9.3,16,15.6,250,2,1,
3.0,Brandon Stokley,27.0,WR,3,0,0,0,0,0,,,,0.0,0.0,17,11,223,20.3,3,9,52.9,87.0,3.7,74.3,64.7,13.1,11,20.3,223,3,0,
4.0,Reggie Wayne,25.0,WR,3,3,0,0,0,0,,,,0.0,0.0,19,15,172,11.5,2,10,73.7,20.0,5.0,57.3,78.9,9.1,15,11.5,172,2,0,
5.0,Marcus Pollard,31.0,TE,3,3,0,0,0,0,,,,0.0,0.0,18,10,156,15.6,1,9,55.6,32.0,3.3,52.0,55.6,8.7,10,15.6,156,1,1,
6.0,Dominic Rhodes,24.0,RB,3,0,12,42,0,2,16.7,13.0,3.5,14.0,4.0,4,2,17,8.5,0,1,50.0,9.0,0.7,5.7,50.0,4.3,14,4.2,59,0,0,
7.0,Troy Walters,27.0,WR,2,0,0,0,0,0,,,,0.0,0.0,6,6,31,5.2,0,2,33.3,11.0,3.0,15.5,100.0,5.2,6,5.2,31,0,0,
8.0,Joe Davenport,27.0,TE,2,2,0,0,0,0,,,,0.0,0.0,2,2,18,9.0,0,1,50.0,11.0,1.0,9.0,100.0,9.0,2,9.0,18,0,0,
9.0,Peyton Manning,27.0,QB,3,3,4,3,0,0,0.0,3.0,0.8,1.0,1.3,0,0,0,,0,0,,,0.0,0.0,,,4,0.8,3,0,1,
10.0,Tom Lopienski,24.0,FB,2,0,0,0,0,0,,,,0.0,0.0,2,1,2,2.0,1,1,50.0,2.0,0.5,1.0,50.0,1.0,1,2.0,2,1,0,
11.0,Hunter Smith,26.0,P,1,0,1,0,0,0,0.0,,0.0,0.0,1.0,0,0,0,,0,0,,,0.0,0.0,,,1,0.0,0,0,0,
12.0,Ricky Williams,25.0,RB,1,0,1,-1,0,0,0.0,-1.0,-1.0,-1.0,1.0,0,0,0,,0,0,,,0.0,0.0,,,1,-1.0,-1,0,0,
,Team Totals,,,3,3,80,325,3,24,50.0,18.0,4.1,108.3,26.7,108,71,935,13.2,9,47,55.6,87.0,23.7,311.7,65.7,8.7,151,8.3,1260,12,4,
