Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 16_level_0,Tackles,Tackles,Tackles,Tackles,Unnamed: 21_level_0,Unnamed: 22_level_0
Rk,Player,Age,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,Sfty,Awards
1.0,Raheem Brock,26.0,LDE,2,2,0.0,0.0,0.0,0.0,2,0,0,0,0,0,1.0,12,9.0,3.0,5.0,0.0,
2.0,Jason David,22.0,RCB,2,2,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0.0,6,3.0,3.0,0.0,0.0,
3.0,Cato June,25.0,RLB,2,2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,7,4.0,3.0,0.0,0.0,
4.0,Montae Reagor,27.0,LDT,2,2,0.0,0.0,0.0,0.0,1,0,0,0,0,0,1.0,6,4.0,2.0,1.0,0.0,
5.0,Bob Sanders,23.0,DB,2,2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,13,8.0,5.0,0.0,0.0,
6.0,Idrees Bashir,26.0,FS,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,5,4.0,1.0,0.0,0.0,
7.0,Gary Brackett,24.0,LB,2,1,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0.0,16,13.0,3.0,0.0,0.0,
8.0,Dwight Freeney,24.0,RDE,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1.0,2,1.0,1.0,1.0,0.0,
9.0,Nick Harper,30.0,LCB,1,1,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0.0,5,5.0,0.0,1.0,0.0,
10.0,Von Hutchins,23.0,DB,2,1,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0.0,6,5.0,1.0,0.0,0.0,
11.0,Peyton Manning,28.0,QB,1,1,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0.0,0,,,,0.0,
12.0,Jeff Saturday,29.0,C,1,1,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0.0,0,,,,0.0,
13.0,Brad Scioli,28.0,DE,2,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1.0,4,3.0,1.0,1.0,0.0,
14.0,David Thornton,26.0,LLB,2,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,8,5.0,3.0,0.0,0.0,
15.0,Reggie Wayne,26.0,WR,1,1,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0.0,0,0.0,0.0,0.0,0.0,
16.0,Josh Williams,28.0,RDT,2,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,7,6.0,1.0,0.0,0.0,
17.0,Waine Bacon,25.0,DB,2,0,,,,,2,0,0,0,0,0,0.0,2,2.0,0.0,0.0,,
18.0,Cory Bird,26.0,DB,2,0,,,,,0,0,0,0,0,0,0.0,3,2.0,1.0,0.0,,
19.0,Mike Doss,23.0,SS,2,0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0.0,3,2.0,1.0,0.0,0.0,
20.0,Ben Hartsock,24.0,TE,1,0,,,,,0,0,0,0,0,0,0.0,1,1.0,0.0,0.0,,
21.0,Joe Jefferson,24.0,DB,1,0,,,,,0,0,0,0,0,0,0.0,1,0.0,1.0,0.0,,
22.0,Robert Mathis,23.0,DE,1,0,,,,,0,0,0,0,0,0,0.0,1,0.0,1.0,0.0,,
23.0,Rob Morris,29.0,MLB,1,0,,,,,1,0,0,0,0,0,0.0,11,6.0,5.0,0.0,,
24.0,Dominic Rhodes,25.0,RB,1,0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0.0,0,,,0.0,0.0,
25.0,Nick Rogers,25.0,LB,2,0,,,,,0,0,0,0,0,0,0.0,8,6.0,2.0,0.0,,
26.0,Gerome Sapp,23.0,DB,2,0,,,,,0,0,0,0,0,0,0.0,6,6.0,0.0,0.0,,
27.0,Hunter Smith,27.0,P,1,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,1,0.0,1.0,0.0,0.0,
28.0,Justin Snow,28.0,LS,2,0,,,,,0,1,0,0,0,0,0.0,3,2.0,1.0,0.0,,
29.0,Larry Tripplett,25.0,DT,2,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2.0,5,5.0,0.0,1.0,0.0,
,Team Totals,,,2,2,1.0,0.0,0.0,0.0,14,1,3,1,0,0,6.0,142,102.0,40.0,10.0,0.0,
