Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Score,Score,Offense,Offense,Offense,Offense,Offense,Defense,Defense,Defense,Defense,Defense,Expected Points,Expected Points,Expected Points
Week,Day,Date,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,OT,Rec,Unnamed: 8_level_1,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,September 12,1:02PM ET,boxscore,L,,0-1,@,Houston Texans,24.0,34.0,25.0,463.0,419.0,44.0,1.0,23.0,355.0,98.0,257.0,1.0,16.62,-17.43,-10.28
2,Sun,September 19,8:31PM ET,boxscore,W,,1-1,,New York Giants,38.0,14.0,24.0,410.0,250.0,160.0,1.0,13.0,257.0,137.0,120.0,3.0,10.63,10.96,-2.19
3,Sun,September 26,4:16PM ET,boxscore,W,,2-1,@,Denver Broncos,27.0,13.0,18.0,365.0,325.0,40.0,,23.0,519.0,472.0,47.0,2.0,7.39,-0.04,4.39
4,Sun,October 3,4:05PM ET,boxscore,L,,2-2,@,Jacksonville Jaguars,28.0,31.0,28.0,406.0,348.0,58.0,2.0,20.0,337.0,163.0,174.0,,14.17,-18.39,-1.29
5,Sun,October 10,1:03PM ET,boxscore,W,,3-2,,Kansas City Chiefs,19.0,9.0,23.0,341.0,244.0,97.0,1.0,16.0,261.0,148.0,113.0,1.0,1.18,6.24,2.67
6,Sun,October 17,8:31PM ET,boxscore,W,,4-2,@,Washington Redskins,27.0,24.0,22.0,469.0,299.0,170.0,3.0,23.0,335.0,222.0,113.0,2.0,10.78,4.52,-11.97
7,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
8,Mon,November 1,8:41PM ET,boxscore,W,,5-2,,Houston Texans,30.0,17.0,24.0,366.0,259.0,107.0,,19.0,291.0,183.0,108.0,2.0,7.36,6.68,-3.11
9,Sun,November 7,4:16PM ET,boxscore,L,,5-3,@,Philadelphia Eagles,24.0,26.0,27.0,338.0,276.0,62.0,2.0,19.0,402.0,207.0,195.0,,8.84,-9.29,-1.58
10,Sun,November 14,1:02PM ET,boxscore,W,,6-3,,Cincinnati Bengals,23.0,17.0,16.0,256.0,180.0,76.0,,19.0,341.0,269.0,72.0,5.0,-2.94,14.58,-3.15
11,Sun,November 21,4:15PM ET,boxscore,L,,6-4,@,New England Patriots,28.0,31.0,28.0,467.0,396.0,71.0,3.0,22.0,346.0,178.0,168.0,,20.15,-18.18,-4.02
12,Sun,November 28,8:30PM ET,boxscore,L,,6-5,,San Diego Chargers,14.0,36.0,16.0,303.0,279.0,24.0,5.0,18.0,301.0,172.0,129.0,,-18.67,-0.76,-1.71
13,Sun,December 5,4:15PM ET,boxscore,L,OT,6-6,,Dallas Cowboys,35.0,38.0,24.0,405.0,365.0,40.0,4.0,24.0,368.0,151.0,217.0,,3.48,-8.32,3.63
14,Thu,December 9,8:29PM ET,boxscore,W,,7-6,@,Tennessee Titans,30.0,28.0,21.0,399.0,312.0,87.0,,22.0,365.0,244.0,121.0,2.0,16.24,-8.8,-5.34
15,Sun,December 19,1:02PM ET,boxscore,W,,8-6,,Jacksonville Jaguars,34.0,24.0,19.0,376.0,221.0,155.0,,20.0,356.0,289.0,67.0,2.0,10.56,-1.49,-1.31
16,Sun,December 26,4:05PM ET,boxscore,W,,9-6,@,Oakland Raiders,31.0,26.0,27.0,370.0,179.0,191.0,2.0,16.0,290.0,210.0,80.0,,11.2,8.47,-12.43
17,Sun,January 2,4:16PM ET,boxscore,W,,10-6,,Tennessee Titans,23.0,20.0,24.0,358.0,257.0,101.0,1.0,17.0,341.0,290.0,51.0,1.0,6.7,-1.57,-4.39
,,Playoffs,,,,,,,,,,,,,,,,,,,,,,
Wild Card,Sat,January 8,8:15PM ET,boxscore,L,,10-7,,New York Jets,16.0,17.0,16.0,312.0,219.0,93.0,,23.0,353.0,184.0,169.0,1.0,5.38,-6.99,-0.15
