Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scrimmage,Scrimmage,Scrimmage,Scrimmage,Unnamed: 31_level_0,Unnamed: 32_level_0
Rk,Player,Age,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
1.0,T.Y. Hilton,25.0,WR,15,15,2,20,0,1,100.0,15.0,10.0,1.3,0.1,131,82,1345,16.4,7,64,56.5,73.0,5.5,89.7,62.6,10.3,84,16.3,1365,7,3,PB
2.0,Reggie Wayne,36.0,WR,15,15,0,0,0,0,,,,0.0,0.0,116,64,779,12.2,2,40,45.7,80.0,4.3,51.9,55.2,6.7,64,12.2,779,2,1,
3.0,Coby Fleener,26.0,TE,16,12,0,0,0,0,,,,0.0,0.0,92,51,774,15.2,8,40,50.0,73.0,3.2,48.4,55.4,8.4,51,15.2,774,8,0,
4.0,Trent Richardson,24.0,RB,15,12,159,519,3,27,40.3,27.0,3.3,34.6,10.6,34,27,229,8.5,0,9,50.0,24.0,1.8,15.3,79.4,6.7,186,4.0,748,3,2,
5.0,Ahmad Bradshaw,28.0,RB,10,1,90,425,2,18,53.3,29.0,4.7,42.5,9.0,47,38,300,7.9,6,20,61.7,22.0,3.8,30.0,80.9,6.4,128,5.7,725,8,3,
6.0,Dan Herron,25.0,RB,16,3,78,351,1,17,50.0,49.0,4.5,21.9,4.9,26,21,173,8.2,0,7,50.0,26.0,1.3,10.8,80.8,6.7,99,5.3,524,1,2,
7.0,Donte Moncrief,21.0,WR,16,2,4,17,0,1,50.0,7.0,4.3,1.1,0.3,49,32,444,13.9,3,15,44.9,79.0,2.0,27.8,65.3,9.1,36,12.8,461,3,0,
8.0,Hakeem Nicks,26.0,WR,16,6,0,0,0,0,,,,0.0,0.0,68,38,405,10.7,4,18,41.2,29.0,2.4,25.3,55.9,6.0,38,10.7,405,4,0,
9.0,Dwayne Allen,24.0,TE,13,13,0,0,0,0,,,,0.0,0.0,50,29,395,13.6,8,24,52.0,41.0,2.2,30.4,58.0,7.9,29,13.6,395,8,1,
10.0,Andrew Luck,25.0,QB,16,16,64,273,3,20,42.2,20.0,4.3,17.1,4.0,0,0,0,,0,0,,,0.0,0.0,,,64,4.3,273,3,13,PB
11.0,Jack Doyle,24.0,TE,16,1,0,0,0,0,,,,0.0,0.0,22,18,118,6.6,2,7,59.1,20.0,1.1,7.4,81.8,5.4,18,6.6,118,2,0,
12.0,Zurlon Tipton,24.0,RB,6,0,10,18,0,0,20.0,9.0,1.8,3.0,1.7,6,6,68,11.3,1,5,83.3,32.0,1.0,11.3,100.0,11.3,16,5.4,86,1,0,
13.0,Griff Whalen,24.0,WR,10,0,0,0,0,0,,,,0.0,0.0,3,2,23,11.5,0,2,66.7,18.0,0.2,2.3,66.7,7.7,2,11.5,23,0,2,
14.0,Josh Cribbs,31.0,WR,6,0,0,0,0,0,,,,0.0,0.0,1,1,8,8.0,0,0,0.0,8.0,0.2,1.3,100.0,8.0,1,8.0,8,0,2,
15.0,Anthony Castonzo,26.0,LT,16,16,0,0,0,0,,,,0.0,0.0,1,1,1,1.0,1,1,100.0,1.0,0.1,0.1,100.0,1.0,1,1.0,1,1,0,
16.0,Dewey McDonald,24.0,DB,12,0,0,0,0,0,,,,0.0,0.0,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,0,0,0,
17.0,Matt Hasselbeck,39.0,QB,4,0,8,-11,0,0,0.0,,-1.4,-2.8,2.0,0,0,0,,0,0,,,0.0,0.0,,,8,-1.4,-11,0,1,
,Team Totals,,,16,16,415,1612,9,84,44.3,49.0,3.9,100.8,25.9,647,410,5062,12.3,42,252,50.9,80.0,25.6,316.4,63.4,7.8,825,8.1,6674,51,30,
