Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 16_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Unnamed: 22_level_0,Unnamed: 23_level_0
Rk,Player,Age,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards
1.0,Jack Doyle,29.0,TE,16,16,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,PB
2.0,Mark Glowinski,27.0,RG,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,
3.0,Justin Houston,30.0,LDE,16,16,0,0,0,0,0,2,0,3,0,0,11.0,44,33,11,13,18,1,
4.0,Anthony Walker,24.0,MLB,16,16,1,0,0,0,2,1,0,0,0,0,2.5,124,84,40,6,3,0,
5.0,Jacoby Brissett,27.0,QB,15,15,0,0,0,0,0,0,7,1,-5,0,0.0,0,0,0,0,0,0,
6.0,Denico Autry,29.0,RDT,14,14,0,0,0,0,4,1,0,0,0,0,3.5,32,20,12,4,11,0,
7.0,Malik Hooker,23.0,FS,13,13,2,39,0,26,3,0,0,1,3,0,0.0,51,30,21,1,0,0,
8.0,Shaquille Leonard,24.0,LLB,13,13,5,92,1,80,7,2,0,0,0,0,5.0,121,71,50,7,6,0,"PB,AP-2"
9.0,Zach Pascal,25.0,WR,16,13,0,0,0,0,0,0,0,1,0,0,0.0,5,5,0,1,0,1,
10.0,Grover Stewart,26.0,LDT,16,13,0,0,0,0,1,0,0,0,0,0,3.0,30,14,16,5,5,0,
11.0,Rock Ya-Sin,23.0,LCB/RCB,15,13,1,0,0,0,5,0,0,1,0,0,0.0,62,54,8,2,0,0,
12.0,Marlon Mack,23.0,RB,14,12,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,
13.0,Jabaal Sheard,30.0,RDE,13,12,0,0,0,0,2,0,0,0,0,0,4.5,25,20,5,5,9,0,
14.0,Pierre Desir,29.0,RCB,12,11,3,0,0,0,11,0,0,0,0,0,0.0,50,38,12,1,0,0,
15.0,Kenny Moore,24.0,LCB,11,11,2,36,0,35,3,0,0,1,1,0,2.5,61,50,11,4,4,0,
16.0,Clayton Geathers,27.0,SS,15,10,1,0,0,0,1,0,0,0,0,0,0.0,54,40,14,1,0,0,
17.0,Khari Willis,23.0,SS,14,9,0,0,0,0,1,0,0,0,0,0,0.0,71,53,18,2,1,0,
18.0,Bobby Okereke,23.0,RLB,16,8,0,0,0,0,2,2,1,1,0,0,1.0,65,48,17,2,1,0,
19.0,Chester Rogers,25.0,WR,12,6,0,0,0,0,0,0,2,1,0,0,0.0,0,0,0,0,0,0,
20.0,Margus Hunt,32.0,LDT,16,5,0,0,0,0,0,0,0,0,0,0,0.0,17,14,3,0,0,0,
21.0,Matthew Adams,24.0,LB,16,4,0,0,0,0,0,0,0,0,0,0,0.0,10,8,2,1,0,0,
22.0,Al-Quadin Muhammad,24.0,DE,16,4,0,0,0,0,0,1,0,0,0,0,3.0,28,21,7,8,9,0,
23.0,Parris Campbell,22.0,WR,7,3,0,0,0,0,0,0,3,0,0,0,0.0,0,0,0,0,0,0,
24.0,Nyheim Hines,23.0,RB,16,2,0,0,0,0,0,0,1,0,0,0,0.0,1,0,1,0,0,0,
25.0,Briean Boddy-Calhoun,26.0,DB,2,1,0,0,0,0,0,0,0,0,0,0,1.0,11,8,3,1,1,0,
26.0,Brian Hoyer,34.0,QB,4,1,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,0,0,0,
27.0,Rolan Milligan,25.0,DB,11,1,0,0,0,0,0,0,0,0,0,0,0.0,15,11,4,0,1,0,
28.0,George Odum,26.0,DB,16,1,0,0,0,0,0,2,0,1,0,0,0.0,37,30,7,0,1,0,
29.0,Marvell Tell III,23.0,DB,13,1,0,0,0,0,5,1,0,0,0,0,0.0,26,23,3,0,0,0,
30.0,Ross Travis,26.0,LB,3,1,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,
31.0,Jordan Wilkins,25.0,RB,14,1,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,
32.0,Ben Banogu,23.0,LB,16,0,0,0,0,0,1,1,0,0,0,0,2.5,11,7,4,3,5,0,
33.0,Trevon Coley,25.0,DT,7,0,0,0,0,0,0,0,0,0,0,0,0.0,6,3,3,0,0,0,
34.0,Ashton Dulin,22.0,WR,13,0,0,0,0,0,0,0,0,0,0,0,0.0,7,7,0,0,0,0,
35.0,Zaire Franklin,23.0,LB,16,0,0,0,0,0,0,0,0,0,0,0,0.0,6,4,2,0,0,0,
36.0,Ryan Lewis,25.0,DB,3,0,0,0,0,0,0,0,0,0,0,0,0.0,3,1,2,0,0,0,
37.0,Tyquan Lewis,24.0,DE,9,0,0,0,0,0,0,0,0,0,0,0,0.0,5,3,2,1,1,0,
38.0,Luke Rhodes,27.0,LB,16,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,
39.0,E.J. Speed,24.0,LB,12,0,0,0,0,0,0,0,0,0,0,0,0.0,7,4,3,1,0,0,
40.0,Shakial Taylor,23.0,DB,5,0,0,0,0,0,1,0,0,0,0,0,0.0,7,6,1,0,0,0,
41.0,Kemoko Turay,24.0,LB,4,0,0,0,0,0,0,1,0,0,0,0,1.5,5,2,3,0,5,0,
42.0,Quincy Wilson,23.0,DB,9,0,0,0,0,0,0,0,0,0,0,0,0.0,11,9,2,0,0,0,
,Team Totals,,,16,16,15,167,1,80,49,14,18,13,-1,0,41.0,1010,723,287,69,81,2,
