Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 16_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Unnamed: 22_level_0,Unnamed: 23_level_0
Rk,Player,Age,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards
1.0,Denico Autry,30.0,RDE,1,1,0,0,0,0,0,1,0,0,0,0,1.5,4,2,2,1,2,0,
2.0,Julian Blackmon,22.0,FS,1,1,0,0,0,0,0,0,0,0,0,0,0.0,5,5,0,0,0,0,
3.0,DeForest Buckner,26.0,LDT,1,1,0,0,0,0,0,0,0,0,0,0,0.0,2,2,0,0,1,0,
4.0,T.J. Carrie,30.0,DB,1,1,0,0,0,0,0,0,0,0,0,0,0.0,4,2,2,0,0,0,
5.0,Justin Houston,31.0,LDE,1,1,0,0,0,0,0,0,0,0,0,0,0.5,1,0,1,0,1,0,
6.0,Shaquille Leonard,25.0,LLB,1,1,0,0,0,0,0,0,0,0,0,0,0.0,12,9,3,0,0,0,
7.0,Kenny Moore,25.0,LCB,1,1,0,0,0,0,0,0,0,0,0,0,0.0,5,4,1,0,0,0,
8.0,Michael Pittman Jr.,23.0,WR,1,1,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,
9.0,Xavier Rhodes,30.0,RCB,1,1,0,0,0,0,1,0,0,0,0,0,0.0,3,2,1,0,0,0,
10.0,Grover Stewart,27.0,RDT,1,1,0,0,0,0,0,0,0,0,0,0,0.0,2,2,0,0,0,0,
11.0,Khari Willis,24.0,SS,1,1,0,0,0,0,0,0,0,0,0,0,0.0,5,4,1,0,0,0,
12.0,Matthew Adams,25.0,LB,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,
13.0,Zaire Franklin,24.0,LB,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,
14.0,DeMichael Harris,22.0,WR,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,
15.0,Tyquan Lewis,25.0,DE,1,0,0,0,0,0,0,0,0,0,0,0,0.0,3,3,0,0,1,0,
16.0,Al-Quadin Muhammad,25.0,DE,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,1,1,0,
17.0,George Odum,27.0,DB,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,
18.0,Bobby Okereke,24.0,RLB,1,0,0,0,0,0,0,0,0,0,0,0,0.0,4,3,1,0,0,0,
19.0,E.J. Speed,25.0,LB,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,
20.0,Taylor Stallworth,25.0,DT,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,
21.0,Kemoko Turay,25.0,LB,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,
22.0,Tavon Wilson,30.0,DB,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,
,Team Totals,,,1,1,0,0,0,0,1,1,1,0,0,0,2.0,59,42,17,2,6,0,
