Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Score,Score,Offense,Offense,Offense,Offense,Offense,Defense,Defense,Defense,Defense,Defense,Expected Points,Expected Points,Expected Points
Week,Day,Date,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,OT,Rec,Unnamed: 8_level_1,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
2,Sun,September 23,8:37PM ET,boxscore,L,,0-1,,Denver Broncos,17,38,14,308,224,84,3.0,27,381,234,147,,-0.53,-15.71,-5.47
3,Sun,September 30,4:05PM ET,boxscore,L,,0-2,,Atlanta Falcons,14,34,21,335,245,90,4.0,21,379,268,111,,-1.33,-14.99,-6.44
4,Sun,October 7,1:09PM ET,boxscore,W,,1-2,@,Philadelphia Eagles,21,20,19,329,232,97,1.0,19,440,261,179,2.0,4.81,-2.83,-0.98
5,Sun,October 14,12:03PM ET,boxscore,L,,1-3,@,Chicago Bears,13,20,16,288,206,82,1.0,13,253,116,137,3.0,-11.01,3.6,1.74
6,Sun,October 21,4:05PM ET,boxscore,W,,2-3,,Kansas City Chiefs,24,16,20,363,228,135,2.0,20,459,340,119,2.0,10.13,3.53,-6.12
7,Sun,October 28,3:05PM ET,boxscore,L,,2-4,@,Dallas Cowboys,3,17,17,292,217,75,4.0,15,225,80,145,2.0,-21.33,5.98,-0.27
8,Sun,November 4,4:05PM ET,boxscore,L,,2-5,,Philadelphia Eagles,7,21,20,327,270,57,2.0,13,332,219,113,1.0,-12.39,4.45,-6.91
9,Sun,November 11,4:17PM ET,boxscore,L,,2-6,,New York Giants,10,17,12,213,135,78,3.0,20,334,148,186,1.0,-15.75,0.82,4.95
10,Sun,November 18,4:15PM ET,boxscore,W,,3-6,,Detroit Lions,45,38,23,417,328,89,1.0,30,478,429,49,3.0,19.08,-15.88,2.77
11,Sun,November 25,4:05PM ET,boxscore,W,,4-6,@,San Diego Chargers,20,17,18,298,227,71,2.0,20,392,308,84,1.0,-0.75,-7.37,8.66
12,Sun,December 2,4:15PM ET,boxscore,W,OT,5-6,@,Oakland Raiders,34,31,24,390,245,145,1.0,26,436,301,135,3.0,5.81,-9.5,4.75
13,Sun,December 9,4:04PM ET,boxscore,L,,5-7,,Washington Redskins,10,20,17,326,246,80,1.0,17,331,201,130,,-4.95,-4.36,-2.11
14,Sat,December 15,1:37PM ET,boxscore,L,,5-8,@,New York Giants,13,17,19,285,197,88,1.0,15,244,139,105,,-13.68,4.21,3.75
15,Sun,December 23,4:06PM ET,boxscore,W,,6-8,,Dallas Cowboys,17,10,11,209,134,75,,21,343,169,174,3.0,-7.34,17.79,-4.93
16,Sun,December 30,1:02PM ET,boxscore,W,,7-8,@,Carolina Panthers,30,7,16,331,173,158,,20,318,223,95,2.0,4.65,15.51,3.43
17,Sun,January 6,1:01PM ET,boxscore,L,,7-9,@,Washington Redskins,17,20,10,187,142,45,1.0,22,340,162,178,1.0,-11.88,9.57,1.76
