Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scrimmage,Scrimmage,Scrimmage,Scrimmage,Unnamed: 31_level_0,Unnamed: 32_level_0
Rk,Player,Age,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
1.0,Emmitt Smith,35.0,RB,15,15,267,937,9,43,38.2,29.0,3.5,62.5,17.8,20,15,105,7.0,0,3,45.0,18.0,1.0,7.0,75.0,5.3,282,3.7,1042,9,4,
2.0,Larry Fitzgerald,21.0,WR,16,16,8,14,0,2,25.0,10.0,1.8,0.9,0.5,115,58,780,13.4,8,37,39.1,48.0,3.6,48.8,50.4,6.8,66,12.0,794,8,1,
3.0,Anquan Boldin,24.0,WR,10,9,1,3,0,0,0.0,3.0,3.0,0.3,0.1,104,56,623,11.1,1,34,47.1,31.0,5.6,62.3,53.8,6.0,57,11.0,626,1,1,
4.0,Bryant Johnson,23.0,WR,16,11,2,-6,0,0,0.0,1.0,-3.0,-0.4,0.1,102,49,537,11.0,1,29,43.1,40.0,3.1,33.6,48.0,5.3,51,10.4,531,1,1,
5.0,Freddie Jones,30.0,TE,16,15,0,0,0,0,,,,0.0,0.0,74,45,426,9.5,2,16,39.2,40.0,2.8,26.6,60.8,5.8,45,9.5,426,2,0,
6.0,Troy Hambrick,28.0,RB,10,0,63,283,1,12,34.9,62.0,4.5,28.3,6.3,5,4,16,4.0,1,1,20.0,9.0,0.4,1.6,80.0,3.2,67,4.5,299,2,0,
7.0,Obafemi Ayanbadejo,29.0,FB,16,5,30,122,3,9,63.3,23.0,4.1,7.6,1.9,25,19,171,9.0,1,9,56.0,21.0,1.2,10.7,76.0,6.8,49,6.0,293,4,1,
8.0,Josh Scobey,25.0,RB,12,0,27,89,0,7,40.7,10.0,3.3,7.4,2.3,21,18,191,10.6,0,8,47.6,42.0,1.5,15.9,85.7,9.1,45,6.2,280,0,1,
9.0,Karl Williams,33.0,WR,15,2,2,6,0,1,100.0,3.0,3.0,0.4,0.1,30,18,197,10.9,0,10,50.0,33.0,1.2,13.1,60.0,6.6,20,10.2,203,0,4,
10.0,Josh McCown,25.0,QB,14,13,36,112,2,10,41.7,12.0,3.1,8.0,2.6,1,1,-5,-5.0,0,0,0.0,-5.0,0.1,-0.4,100.0,-5.0,37,2.9,107,2,12,
11.0,Larry Croom,23.0,RB,6,1,29,76,0,3,31.0,20.0,2.6,12.7,4.8,5,2,16,8.0,0,1,40.0,8.0,0.3,2.7,40.0,3.2,31,3.0,92,0,2,
12.0,Nate Poole,27.0,WR,9,1,0,0,0,0,,,,0.0,0.0,11,5,70,14.0,0,2,45.5,24.0,0.6,7.8,45.5,6.4,5,14.0,70,0,0,
13.0,Eric Edwards,24.0,TE,16,1,0,0,0,0,,,,0.0,0.0,8,5,51,10.2,0,4,62.5,19.0,0.3,3.2,62.5,6.4,5,10.2,51,0,0,
14.0,Shaun King,27.0,QB,3,2,9,30,0,1,22.2,16.0,3.3,10.0,3.0,0,0,0,,0,0,,,0.0,0.0,,,9,3.3,30,0,4,
15.0,Lorenzo Diamond,25.0,TE,5,4,0,0,0,0,,,,0.0,0.0,5,3,19,6.3,0,1,40.0,8.0,0.6,3.8,60.0,3.8,3,6.3,19,0,0,
16.0,Reggie Newhouse,23.0,WR,3,0,0,0,0,0,,,,0.0,0.0,2,1,5,5.0,0,0,0.0,5.0,0.3,1.7,50.0,2.5,1,5.0,5,0,0,
17.0,Damien Anderson,25.0,RB,4,0,1,2,0,0,0.0,2.0,2.0,0.5,0.3,0,0,0,,0,0,,,0.0,0.0,,,1,2.0,2,0,0,
,Team Totals,,,16,16,475,1668,15,88,38.7,62.0,3.5,104.3,29.7,528,299,3202,10.7,14,155,43.6,48.0,18.7,200.1,56.6,6.1,774,6.3,4870,29,31,
