Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 16_level_0,Tackles,Tackles,Tackles,Tackles,Unnamed: 21_level_0,Unnamed: 22_level_0
Rk,Player,Age,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,Sfty,Awards
1.0,Darnell Dockett,24.0,RDT,16,16,1,14,0,14,3,1,0,0,0,0,0.5,38.0,25.0,13.0,5.0,0,
2.0,Robert Griffith,35.0,FS,16,16,1,11,0,11,5,2,0,0,0,0,0.0,66.0,52.0,14.0,0.0,0,
3.0,Chike Okeafor,29.0,LDE,16,16,0,0,0,0,2,3,0,0,0,0,7.5,51.0,40.0,11.0,11.0,0,
4.0,Adrian Wilson,26.0,SS,16,16,1,36,0,36,9,1,0,2,0,0,8.0,109.0,93.0,16.0,13.0,0,AP DPoY-4
5.0,Karlos Dansby,24.0,LLB,15,15,3,31,2,18,5,2,0,2,0,0,4.0,89.0,70.0,19.0,13.0,0,
6.0,David Macklin,27.0,RCB,16,15,2,79,1,60,17,0,0,0,0,0,0.0,61.0,53.0,8.0,1.0,0,
7.0,Anquan Boldin,25.0,WR,14,14,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0,
8.0,James Darling,31.0,MLB,14,14,2,22,0,15,4,0,0,0,0,0,1.0,88.0,71.0,17.0,4.0,0,
9.0,Ross Kolodziej,27.0,LDT,16,14,0,0,0,0,2,2,0,2,0,0,3.0,29.0,21.0,8.0,2.0,0,
10.0,Orlando Huff,27.0,RLB,16,12,1,3,0,3,3,1,0,0,0,0,1.0,70.0,50.0,20.0,11.0,0,
11.0,Oliver Ross,31.0,RT,12,12,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0,
12.0,Marcel Shipp,27.0,RB,15,11,0,0,0,0,0,0,4,1,0,0,0.0,0.0,0.0,0.0,0.0,0,
13.0,Kurt Warner,34.0,QB,10,10,0,0,0,0,0,0,9,3,-9,0,0.0,0.0,0.0,0.0,0.0,0,
