Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 16_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Unnamed: 22_level_0,Unnamed: 23_level_0
Rk,Player,Age,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards
1.0,Anquan Boldin,26.0,WR,16,16,0,0,0,0,0.0,0,1,0,0,0,0.0,0,0,0,0,0,0,PB
2.0,Darnell Dockett,25.0,RDT,16,16,1,-1,0,-1,2.0,1,0,2,5,0,2.0,51,37,14,5,7,0,
3.0,Robert Griffith,36.0,FS,16,16,3,30,0,23,10.0,1,0,1,0,0,0.0,80,61,19,1,0,0,
4.0,Edgerrin James,28.0,RB,16,16,0,0,0,0,0.0,0,3,0,0,0,0.0,0,0,0,0,0,0,
5.0,Antrel Rolle,24.0,LCB,16,16,1,23,0,23,11.0,2,0,0,0,0,0.0,87,80,7,2,0,0,
6.0,Adrian Wilson,27.0,SS,16,16,4,146,1,99,10.0,4,0,2,99,1,5.0,84,76,8,12,8,0,"PB,AP-2"
7.0,Chike Okeafor,30.0,LDE,16,15,0,0,0,0,6.0,2,0,2,0,0,8.5,54,42,12,11,18,0,
8.0,Gerald Hayes,26.0,MLB,14,14,3,24,0,24,6.0,0,0,2,19,0,1.0,93,79,14,5,2,0,
9.0,Orlando Huff,28.0,RLB,16,13,0,0,0,0,4.0,1,0,0,0,0,0.0,70,58,12,2,0,0,
10.0,Milford Brown,26.0,LG,13,12,0,0,0,0,,0,0,2,0,0,0.0,0,0,0,0,0,0,
11.0,Kendrick Clancy,28.0,LDT,11,11,0,0,0,0,0.0,1,0,0,0,0,1.0,29,25,4,2,0,0,
12.0,Matt Leinart,23.0,QB,12,11,0,0,0,0,0.0,0,8,2,-13,0,0.0,0,0,0,0,0,0,
13.0,Bertrand Berry,31.0,RDE,10,10,0,0,0,0,2.0,3,0,1,0,0,6.0,23,20,3,8,7,0,
