Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 16_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Unnamed: 22_level_0,Unnamed: 23_level_0
Rk,Player,Age,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards
1.0,Sam Acho,26.0,LB,1,1,0,0,0,0,0,1,0,0,0,0,1.0,7,2,5,0.0,0.0,0,
2.0,Calais Campbell,28.0,LDE,1,1,0,0,0,0,0,0,0,0,0,0,0.0,4,0,4,0.0,1.0,0,
3.0,Antonio Cromartie,30.0,RCB,1,1,1,50,0,50,2,0,0,0,0,0,0.0,4,3,1,0.0,0.0,0,
4.0,Michael Floyd,25.0,WR,1,1,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,,,0,
5.0,Larry Foote,34.0,LILB,1,1,0,0,0,0,0,0,0,0,0,0,0.0,4,3,1,2.0,0.0,0,
6.0,Tony Jefferson,22.0,SS,1,1,0,0,0,0,0,0,0,0,0,0,0.0,7,3,4,0.0,0.0,0,
7.0,Rashad Johnson,28.0,FS,1,1,0,0,0,0,0,0,0,1,30,0,0.0,8,6,2,0.0,1.0,0,
8.0,Tommy Kelly,34.0,RDE,1,1,0,0,0,0,0,0,0,0,0,0,0.0,3,0,3,0.0,0.0,0,
9.0,Ryan Lindley,25.0,QB,1,1,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0.0,0.0,0,
10.0,Alex Okafor,23.0,LOLB,1,1,0,0,0,0,0,0,0,0,0,0,0.0,5,3,2,0.0,0.0,0,
11.0,Patrick Peterson,24.0,LCB,1,1,0,0,0,0,0,0,0,0,0,0,0.0,4,4,0,0.0,0.0,0,
12.0,Frostee Rucker,31.0,RDE,1,1,0,0,0,0,0,0,0,0,0,0,0.0,4,3,1,1.0,0.0,0,
13.0,Dan Williams,27.0,NT,1,1,0,0,0,0,0,0,0,0,0,0,0.0,6,3,3,0.0,0.0,0,
14.0,Marcus Benard,29.0,LB,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0.0,1.0,0,
15.0,Justin Bethel,24.0,DB,1,0,0,0,0,0,0,0,0,1,0,0,0.0,1,1,0,1.0,0.0,1,
16.0,Jaron Brown,24.0,WR,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0.0,0.0,0,
17.0,John Brown,24.0,WR,1,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,,,0,
18.0,Deone Bucannon,22.0,SS,1,0,0,0,0,0,1,0,0,0,0,0,0.0,6,5,1,0.0,0.0,0,
19.0,Glenn Carson,24.0,LB,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0.0,0.0,0,
20.0,Ted Ginn Jr.,29.0,WR,1,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,,,0,
21.0,Tyrann Mathieu,22.0,FS,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0.0,0.0,0,
22.0,Josh Mauro,23.0,DE,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0.0,0.0,0,
23.0,Kevin Minter,24.0,RILB,1,0,0,0,0,0,0,0,0,0,0,0,0.0,2,2,0,0.0,0.0,0,
24.0,Jerraud Powers,27.0,DB,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0.0,0.0,0,
25.0,Matt Shaughnessy,28.0,ROLB,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,1.0,0.0,0,
,Team Totals,,,1,1,1,50,0,50,3,1,3,3,30,0,1.0,72,44,28,5.0,3.0,1,
