Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scrimmage,Scrimmage,Scrimmage,Scrimmage,Unnamed: 31_level_0,Unnamed: 32_level_0
Rk,Player,Age,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
1.0,Christian Kirk,25.0,WR,1,0,0,0,0,0,,,,0.0,0.0,11,6,51,8.5,0,1,36.4,23.0,6.0,51.0,54.5,4.6,6,8.5,51,0,1,
2.0,Eno Benjamin,22.0,RB,1,0,4,8,0,0,25.0,5.0,2.0,8.0,4.0,2,2,26,13.0,0,2,100.0,13.0,2.0,26.0,100.0,13.0,6,5.7,34,0,0,
3.0,Rondale Moore,21.0,WR,1,0,0,0,0,0,,,,0.0,0.0,6,5,32,6.4,0,2,33.3,11.0,5.0,32.0,83.3,5.3,5,6.4,32,0,0,
4.0,Chase Edmonds,25.0,RB,1,1,8,28,0,2,25.0,10.0,3.5,28.0,8.0,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,8,3.5,28,0,0,
5.0,James Conner,26.0,RB,1,0,4,19,1,3,75.0,11.0,4.8,19.0,4.0,2,1,5,5.0,0,0,50.0,5.0,1.0,5.0,50.0,2.5,5,4.8,24,1,0,
6.0,Zach Ertz,31.0,TE,1,1,0,0,0,0,,,,0.0,0.0,4,3,21,7.0,0,2,75.0,12.0,3.0,21.0,75.0,5.3,3,7.0,21,0,0,
7.0,Kyler Murray,24.0,QB,1,1,2,6,0,1,50.0,7.0,3.0,6.0,2.0,0,0,0,,0,0,,,0.0,0.0,,,2,3.0,6,0,0,
8.0,Darrell Daniels,27.0,TE,1,1,0,0,0,0,,,,0.0,0.0,3,2,2,1.0,0,0,0.0,2.0,2.0,2.0,66.7,0.7,2,1.0,2,0,0,
9.0,A.J. Green,33.0,WR,1,1,0,0,0,0,,,,0.0,0.0,3,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,0,0,0,
10.0,Antoine Wesley,24.0,WR,1,1,0,0,0,0,,,,0.0,0.0,2,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,0,0,0,
,Team Totals,,,1,1,18,61,1,6,38.9,11.0,3.4,61.0,18.0,34,19,137,7.2,0,7,35.3,23.0,19.0,137.0,55.9,4.0,37,5.4,198,1,1,
