Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 16_level_0,Tackles,Tackles,Tackles,Tackles,Unnamed: 21_level_0,Unnamed: 22_level_0
Rk,Player,Age,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,Sfty,Awards
1.0,Flozell Adams,28.0,LT,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0,PB
2.0,Quincy Carter,26.0,QB,16,16,0,0,0,0,0,0,10,4,-16,0,0.0,0.0,0.0,0.0,0.0,0,AP CPoY-2
3.0,Dexter Coakley,31.0,RLB,16,16,1,24,0,24,4,1,0,0,0,0,1.0,98.0,74.0,24.0,5.0,0,PB
4.0,Mario Edwards,28.0,RCB,16,16,1,27,1,27,9,0,0,0,0,0,0.0,42.0,37.0,5.0,0.0,0,
5.0,La'Roi Glover,29.0,RDT,16,16,0,0,0,0,1,1,0,2,0,0,5.0,49.0,33.0,16.0,8.0,1,"PB,AP-2"
6.0,Troy Hambrick,27.0,RB,16,16,0,0,0,0,0,0,4,2,0,0,0.0,0.0,0.0,0.0,0.0,0,
7.0,Matt Lehr,24.0,C,16,16,0,0,0,0,0,0,1,0,-13,0,0.0,0.0,0.0,0.0,0.0,0,
8.0,Terence Newman,25.0,LCB,16,16,4,23,0,25,20,0,0,1,0,0,1.0,76.0,66.0,10.0,4.0,0,AP DRoY-2
9.0,Dat Nguyen,28.0,MLB,16,16,0,0,0,0,11,2,0,2,0,0,2.0,121.0,90.0,31.0,11.0,0,AP-2
10.0,Roy Williams,23.0,FS,16,16,2,69,0,39,9,2,0,1,0,0,2.0,75.0,57.0,18.0,5.0,0,"PB,AP-1,AP DPoY-2"
11.0,Darren Woodson,34.0,SS,16,16,1,-2,0,-2,16,1,0,2,0,0,1.0,86.0,65.0,21.0,5.0,0,
12.0,Greg Ellis,28.0,LDE,16,15,0,0,0,0,8,4,0,0,0,0,8.0,49.0,35.0,14.0,11.0,0,
13.0,Alshermond Singleton,28.0,LLB,16,15,2,42,1,41,3,0,0,1,0,0,1.0,43.0,34.0,9.0,2.0,0,
14.0,Willie Blade,24.0,LDT,15,14,0,0,0,0,1,0,0,0,0,0,1.0,25.0,16.0,9.0,6.0,0,
15.0,Ebenezer Ekuban,27.0,RDE,15,14,0,0,0,0,1,3,0,0,0,0,2.5,29.0,20.0,9.0,2.0,0,
16.0,Terry Glenn,29.0,WR,16,14,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0,
17.0,Joey Galloway,32.0,WR,15,13,0,0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0,
18.0,Richie Anderson,32.0,FB,15,8,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0,
19.0,Jason Witten,21.0,TE,15,7,0,0,0,0,0,0,0,0,0,0,0.0,2.0,2.0,0.0,0.0,0,
20.0,Eric Ogbogu,28.0,DE,16,3,0,0,0,0,1,3,0,0,0,0,3.5,37.0,27.0,10.0,3.0,0,
21.0,Pete Hunter,23.0,DB,16,1,1,0,0,0,5,0,0,2,0,0,0.0,32.0,29.0,3.0,0.0,0,
22.0,Jamar Martin,23.0,FB,14,1,0,0,0,0,0,0,0,0,0,0,0.0,1.0,1.0,0.0,0.0,0,
23.0,Michael Myers,27.0,DT,1,1,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,1.0,0.0,0,
24.0,Daleroy Stewart,25.0,DT,15,1,0,0,0,0,1,1,0,0,0,0,1.5,19.0,14.0,5.0,4.0,0,
25.0,Erik Bickerstaff,23.0,RB,4,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,1.0,0.0,0.0,0,
26.0,Jermaine Brooks,24.0,DT,1,0,0,0,0,0,0,0,0,0,0,0,0.0,5.0,2.0,3.0,0.0,0,
27.0,Leonardo Carson,26.0,DT,8,0,0,0,0,0,0,0,0,1,0,0,1.5,18.0,13.0,5.0,2.0,0,
