Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 16_level_0,Tackles,Tackles,Tackles,Tackles,Unnamed: 21_level_0,Unnamed: 22_level_0
Rk,Player,Age,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,Sfty,Awards
1.0,Willie Blade,24.0,LDT,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,1,1.0,0.0,0.0,0.0,
2.0,Dexter Coakley,31.0,RLB,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,7,7.0,0.0,1.0,0.0,
3.0,Mario Edwards,28.0,RCB,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,5,4.0,1.0,0.0,0.0,
4.0,Ebenezer Ekuban,27.0,RDE,1,1,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0.0,1,1.0,0.0,1.0,0.0,
5.0,Greg Ellis,28.0,LDE,1,1,0.0,0.0,0.0,0.0,1,0,0,0,0,0,1.0,4,4.0,0.0,1.0,0.0,
6.0,La'Roi Glover,29.0,RDT,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,5,3.0,2.0,0.0,0.0,
7.0,Terence Newman,25.0,LCB,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,5,5.0,0.0,0.0,0.0,
8.0,Dat Nguyen,28.0,MLB,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,7,6.0,1.0,0.0,0.0,
9.0,Alshermond Singleton,28.0,LLB,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,5,5.0,0.0,0.0,0.0,
10.0,Roy Williams,23.0,FS,1,1,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0.0,5,5.0,0.0,0.0,0.0,
11.0,Darren Woodson,34.0,SS,1,1,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0.0,3,3.0,0.0,1.0,0.0,
12.0,Richie Anderson,32.0,FB,1,0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0.0,0,,,,0.0,
13.0,Erik Bickerstaff,23.0,RB,1,0,,,,,0,0,0,0,0,0,0.0,1,1.0,0.0,0.0,,
14.0,Jermaine Brooks,24.0,DT,1,0,,,,,0,0,0,0,0,0,0.0,1,1.0,0.0,0.0,,
15.0,Tony Dixon,24.0,DB,1,0,,,,,0,0,0,0,0,0,0.0,2,2.0,0.0,0.0,,
16.0,Pete Hunter,23.0,DB,1,0,,,,,0,0,0,0,0,0,0.0,1,1.0,0.0,0.0,,
17.0,Keith O'Neil,23.0,LB,1,0,,,,,0,0,0,0,0,0,0.0,1,1.0,0.0,0.0,,
18.0,Eric Ogbogu,28.0,DE,1,0,,,,,0,0,0,0,0,0,0.0,3,3.0,0.0,1.0,,
19.0,Jeff Robinson,33.0,TE,1,0,,,,,0,0,0,0,0,0,0.0,1,1.0,0.0,0.0,,
20.0,Lynn Scott,26.0,DB,1,0,,,,,0,0,0,0,0,0,0.0,1,1.0,0.0,0.0,,
,Team Totals,,,1,1,0.0,0.0,0.0,0.0,3,1,1,0,0,0,1.0,59,55.0,4.0,5.0,0.0,
