Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 16_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Unnamed: 22_level_0,Unnamed: 23_level_0
Rk,Player,Age,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards
1.0,Akin Ayodele,27.0,RILB,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,10,6.0,4.0,1.0,0.0,0.0,
2.0,Chris Canty,24.0,RDE,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,7,7.0,0.0,1.0,0.0,0.0,
3.0,Bobby Carpenter,23.0,LB,1,1,0.0,0.0,0.0,0.0,3,0,0,0,0,0,0.0,6,5.0,1.0,1.0,1.0,0.0,
4.0,Jason Ferguson,32.0,NT,1,1,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0.0,3,1.0,2.0,0.0,0.0,0.0,
5.0,Terry Glenn,32.0,WR,1,1,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0.0,0,,,,,0.0,
6.0,Anthony Henry,30.0,RCB,1,1,1.0,-4.0,0.0,-4.0,2,0,0,0,0,0,0.0,1,1.0,0.0,0.0,0.0,0.0,
7.0,Bradie James,25.0,LILB,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,11,8.0,3.0,0.0,0.0,0.0,
8.0,Julius Jones,25.0,RB,1,1,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0.0,0,,,0.0,0.0,0.0,
9.0,Terence Newman,28.0,LCB,1,1,0.0,0.0,0.0,0.0,2,0,0,0,0,0,0.0,6,6.0,0.0,0.0,0.0,0.0,
10.0,Tony Romo,26.0,QB,1,1,0.0,0.0,0.0,0.0,0,0,2,1,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,
11.0,Marcus Spears,23.0,LDE,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,2,1.0,1.0,0.0,0.0,0.0,
12.0,DeMarcus Ware,24.0,ROLB,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,1,1.0,0.0,1.0,2.0,0.0,
13.0,Pat Watkins,24.0,FS,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,2,2.0,0.0,0.0,0.0,0.0,
14.0,Roy Williams,26.0,SS,1,1,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0.0,3,2.0,1.0,0.0,0.0,0.0,
15.0,Jason Witten,24.0,TE,1,1,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0.0,0,,,,,0.0,
16.0,Miles Austin,22.0,WR,1,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,3,2.0,1.0,0.0,0.0,0.0,
17.0,Kevin Burnett,24.0,LB,1,0,,,,,0,0,0,0,0,0,0.0,3,3.0,0.0,0.0,0.0,,
18.0,Kenyon Coleman,27.0,DE,1,0,,,,,0,0,0,0,0,0,0.0,4,4.0,0.0,0.0,0.0,,
19.0,Keith Davis,28.0,FS,1,0,,,,,0,0,0,0,0,0,0.0,1,0.0,1.0,0.0,0.0,,
20.0,Aaron Glenn,34.0,DB,1,0,,,,,1,0,0,0,0,0,0.0,2,2.0,0.0,0.0,0.0,,
21.0,Nate Jones,24.0,DB,1,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,1,1.0,0.0,0.0,0.0,0.0,
22.0,Tony Parrish,31.0,DB,1,0,,,,,0,0,0,0,0,0,0.0,2,2.0,0.0,0.0,0.0,,
23.0,Jay Ratliff,25.0,NT,1,0,,,,,0,0,0,0,0,0,0.0,1,0.0,1.0,0.0,0.0,,
,Team Totals,,,1,1,2.0,-4.0,0.0,0.0,10,0,4,2,0,0,0.0,69,54.0,15.0,4.0,3.0,0.0,
