Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Score,Score,Offense,Offense,Offense,Offense,Offense,Defense,Defense,Defense,Defense,Defense,Expected Points,Expected Points,Expected Points
Week,Day,Date,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,OT,Rec,Unnamed: 8_level_1,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,September 8,8:30PM ET,boxscore,W,,1-0,,New York Giants,36.0,31.0,22.0,331.0,244.0,87.0,1.0,21.0,478.0,428.0,50.0,6.0,-9.93,4.53,13.06
2,Sun,September 15,1:02PM ET,boxscore,L,,1-1,@,Kansas City Chiefs,16.0,17.0,20.0,318.0,281.0,37.0,2.0,19.0,313.0,199.0,114.0,,-6.67,-1.42,7.11
3,Sun,September 22,1:02PM ET,boxscore,W,,2-1,,St. Louis Rams,31.0,7.0,21.0,396.0,203.0,193.0,1.0,17.0,232.0,197.0,35.0,1.0,18.31,14.3,-10.56
4,Sun,September 29,4:25PM ET,boxscore,L,,2-2,@,San Diego Chargers,21.0,30.0,21.0,319.0,227.0,92.0,1.0,27.0,506.0,394.0,112.0,1.0,5.6,-12.93,-0.68
5,Sun,October 6,4:25PM ET,boxscore,L,,2-3,,Denver Broncos,48.0,51.0,24.0,522.0,470.0,52.0,2.0,34.0,517.0,414.0,103.0,2.0,31.36,-24.76,-9.6
6,Sun,October 13,8:31PM ET,boxscore,W,,3-3,,Washington Redskins,31.0,16.0,18.0,213.0,165.0,48.0,1.0,25.0,433.0,217.0,216.0,2.0,-0.73,-0.95,16.07
7,Sun,October 20,1:02PM ET,boxscore,W,,4-3,@,Philadelphia Eagles,17.0,3.0,22.0,368.0,294.0,74.0,2.0,19.0,278.0,194.0,84.0,3.0,-7.44,20.12,-0.29
8,Sun,October 27,1:03PM ET,boxscore,L,,4-4,@,Detroit Lions,30.0,31.0,13.0,268.0,206.0,62.0,,29.0,623.0,480.0,143.0,4.0,-1.28,-5.83,8.24
9,Sun,November 3,1:03PM ET,boxscore,W,,5-4,,Minnesota Vikings,27.0,23.0,20.0,350.0,314.0,36.0,1.0,22.0,393.0,224.0,169.0,2.0,5.61,-5.82,2.09
10,Sun,November 10,8:30PM ET,boxscore,L,,5-5,@,New Orleans Saints,17.0,49.0,9.0,193.0,104.0,89.0,,40.0,625.0,383.0,242.0,1.0,-4.88,-46.75,15.75
11,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
12,Sun,November 24,4:25PM ET,boxscore,W,,6-5,@,New York Giants,24.0,21.0,24.0,311.0,204.0,107.0,1.0,22.0,356.0,154.0,202.0,1.0,3.05,1.69,-3.65
13,Thu,November 28,4:31PM ET,boxscore,W,,7-5,,Oakland Raiders,31.0,24.0,23.0,352.0,208.0,144.0,1.0,16.0,305.0,255.0,50.0,2.0,14.89,1.61,-7.78
14,Mon,December 9,8:40PM ET,boxscore,L,,7-6,@,Chicago Bears,28.0,45.0,24.0,328.0,130.0,198.0,,33.0,490.0,341.0,149.0,,15.42,-35.83,2.48
15,Sun,December 15,4:25PM ET,boxscore,L,,7-7,,Green Bay Packers,36.0,37.0,27.0,466.0,332.0,134.0,2.0,26.0,433.0,283.0,150.0,1.0,12.68,-17.75,-1.01
16,Sun,December 22,1:03PM ET,boxscore,W,,8-7,@,Washington Redskins,24.0,23.0,16.0,309.0,214.0,95.0,2.0,17.0,297.0,197.0,100.0,1.0,5.05,-1.45,0.92
17,Sun,December 29,8:30PM ET,boxscore,L,,8-8,,Philadelphia Eagles,22.0,24.0,21.0,414.0,358.0,56.0,3.0,21.0,366.0,229.0,137.0,1.0,-1.63,-2.05,-0.14
