Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scrimmage,Scrimmage,Scrimmage,Scrimmage,Unnamed: 31_level_0,Unnamed: 32_level_0
Rk,Player,Age,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
1.0,Ezekiel Elliott,23.0,RB,15,15,304,1434,6,74,49.0,41.0,4.7,95.6,20.3,95,77,567,7.4,3,22,41.1,38.0,5.1,37.8,81.1,6.0,381,5.3,2001,9,6,"PB,AP-2"
2.0,Amari Cooper,24.0,WR,9,9,1,11,0,1,100.0,11.0,11.0,1.2,0.1,76,53,725,13.7,6,39,60.5,90.0,5.9,80.6,69.7,9.5,54,13.6,736,6,2,PB
3.0,Cole Beasley,29.0,WR,16,4,0,0,0,0,,,,0.0,0.0,87,65,672,10.3,3,39,59.8,32.0,4.1,42.0,74.7,7.7,65,10.3,672,3,0,
4.0,Michael Gallup,22.0,WR,16,8,0,0,0,0,,,,0.0,0.0,68,33,507,15.4,2,21,41.2,49.0,2.1,31.7,48.5,7.5,33,15.4,507,2,0,
5.0,Blake Jarwin,24.0,TE,16,4,0,0,0,0,,,,0.0,0.0,36,27,307,11.4,3,16,61.1,39.0,1.7,19.2,75.0,8.5,27,11.4,307,3,0,
6.0,Dak Prescott,25.0,QB,16,16,75,305,6,25,46.7,28.0,4.1,19.1,4.7,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,75,4.1,305,6,12,PB
7.0,Allen Hurns,27.0,WR,16,7,0,0,0,0,,,,0.0,0.0,35,20,295,14.8,2,11,54.3,49.0,1.3,18.4,57.1,8.4,20,14.8,295,2,1,
8.0,Geoff Swaim,25.0,TE,9,9,0,0,0,0,,,,0.0,0.0,32,26,242,9.3,1,11,46.9,43.0,2.9,26.9,81.3,7.6,26,9.3,242,1,0,
9.0,Tavon Austin,28.0,WR,7,0,6,55,0,2,66.7,18.0,9.2,7.9,0.9,13,8,140,17.5,2,5,46.2,64.0,1.1,20.0,61.5,10.8,14,13.9,195,2,0,
10.0,Rod Smith,26.0,RB,16,1,44,127,1,10,38.6,14.0,2.9,7.9,2.8,12,9,60,6.7,0,1,41.7,14.0,0.6,3.8,75.0,5.0,53,3.5,187,1,0,
11.0,Deonte Thompson,29.0,WR,8,4,0,0,0,0,,,,0.0,0.0,20,14,124,8.9,0,7,60.0,15.0,1.8,15.5,70.0,6.2,14,8.9,124,0,0,
12.0,Dalton Schultz,22.0,TE,11,7,0,0,0,0,,,,0.0,0.0,17,12,116,9.7,0,6,64.7,17.0,1.1,10.5,70.6,6.8,12,9.7,116,0,0,
13.0,Noah Brown,22.0,WR,8,2,0,0,0,0,,,,0.0,0.0,8,5,54,10.8,0,2,50.0,22.0,0.6,6.8,62.5,6.8,5,10.8,54,0,0,
14.0,Rico Gathers,24.0,TE,15,4,0,0,0,0,,,,0.0,0.0,7,3,45,15.0,0,2,28.6,32.0,0.2,3.0,42.9,6.4,3,15.0,45,0,0,
15.0,Terrance Williams,29.0,WR,3,2,0,0,0,0,,,,0.0,0.0,3,2,18,9.0,0,1,33.3,12.0,0.7,6.0,66.7,6.0,2,9.0,18,0,0,
16.0,Darius Jackson,25.0,RB,2,0,6,16,0,0,16.7,4.0,2.7,8.0,3.0,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,6,2.7,16,0,0,
17.0,Jamize Olawale,29.0,FB,16,4,0,0,0,0,,,,0.0,0.0,4,2,13,6.5,0,1,25.0,10.0,0.1,0.8,50.0,3.3,2,6.5,13,0,0,
18.0,Jourdan Lewis,23.0,DB,15,1,2,12,0,0,100.0,7.0,6.0,0.8,0.1,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,2,6.0,12,0,0,
19.0,Jeff Heath,27.0,SS,16,16,1,3,0,1,0.0,3.0,3.0,0.2,0.1,0,0,0,,0,0,,,0.0,0.0,,,1,3.0,3,0,0,
20.0,Brice Butler,28.0,WR,2,0,0,0,0,0,,,,0.0,0.0,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,0,0,0,
,Team Totals,,,16,16,439,1963,13,113,47.6,41.0,4.5,122.7,27.4,517,356,3885,10.9,22,184,50.9,90.0,22.3,242.8,68.9,7.5,795,7.4,5848,35,21,
