Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scrimmage,Scrimmage,Scrimmage,Scrimmage,Unnamed: 31_level_0,Unnamed: 32_level_0
Rk,Player,Age,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
1.0,Dalton Schultz,25.0,TE,1,1,0,0,0,0,,,,0.0,0.0,8,7,89,12.7,0,4,75.0,38.0,7.0,89.0,87.5,11.1,7,12.7,89,0,0,
2.0,Amari Cooper,27.0,WR,1,1,0,0,0,0,,,,0.0,0.0,10,6,64,10.7,1,3,60.0,20.0,6.0,64.0,60.0,6.4,6,10.7,64,1,0,
3.0,Cedrick Wilson Jr.,26.0,WR,1,0,0,0,0,0,,,,0.0,0.0,10,5,62,12.4,0,2,40.0,24.0,5.0,62.0,50.0,6.2,5,12.4,62,0,1,
4.0,Ezekiel Elliott,26.0,RB,1,1,12,31,0,4,58.3,9.0,2.6,31.0,12.0,4,1,0,0.0,0,0,0.0,,1.0,0.0,25.0,0.0,13,2.4,31,0,0,
5.0,Dak Prescott,28.0,QB,1,1,4,27,1,2,50.0,17.0,6.8,27.0,4.0,0,0,0,,0,0,,,0.0,0.0,,,4,6.8,27,1,1,
6.0,CeeDee Lamb,22.0,WR,1,1,1,5,0,1,100.0,5.0,5.0,5.0,1.0,5,1,21,21.0,0,1,20.0,10.0,1.0,21.0,20.0,4.2,2,13.0,26,0,0,
7.0,Tony Pollard,24.0,RB,1,0,4,14,0,0,50.0,8.0,3.5,14.0,4.0,2,2,12,6.0,0,1,50.0,10.0,2.0,12.0,100.0,6.0,6,4.3,26,0,0,
8.0,C.J. Goodwin,31.0,DB,1,0,0,0,0,0,,,,0.0,0.0,1,1,16,16.0,0,1,100.0,16.0,1.0,16.0,100.0,16.0,1,16.0,16,0,0,
9.0,Malik Turner,25.0,WR,1,0,0,0,0,0,,,,0.0,0.0,1,1,6,6.0,0,0,0.0,6.0,1.0,6.0,100.0,6.0,1,6.0,6,0,0,
10.0,Blake Jarwin,27.0,TE,1,0,0,0,0,0,,,,0.0,0.0,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,0,0,0,
,Team Totals,,,1,1,21,77,1,7,57.1,17.0,3.7,77.0,21.0,42,24,270,11.3,1,12,45.2,38.0,24.0,270.0,57.1,6.4,45,7.7,347,2,2,
