Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 16_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Unnamed: 22_level_0,Unnamed: 23_level_0
Rk,Player,Age,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards
1.0,Damone Clark,23.0,LB,17,17,0,0,0,0,3,0,0,1,0,0,0.0,109,70,39,4,3,0,
2.0,Stephon Gilmore,33.0,CB,17,17,2,0,0,0,13,1,0,0,0,0,0.0,68,54,14,0,0,0,
3.0,CeeDee Lamb,24.0,WR,17,17,0,0,0,0,0,0,3,1,0,0,0.0,0,0,0,0,0,0,"PB,AP-1,AP OPoY-3"
4.0,DeMarcus Lawrence,31.0,DE,17,17,0,0,0,0,6,1,0,0,0,0,4.0,50,29,21,10,8,0,PB
5.0,Osa Odighizuwa,25.0,DT,17,17,0,0,0,0,0,0,0,0,0,0,3.0,46,26,20,9,13,0,
6.0,Micah Parsons,24.0,LB,17,17,0,0,0,0,2,1,0,1,0,0,14.0,64,36,28,18,33,0,"PB,AP-2,AP DPoY-3"
7.0,Tony Pollard,26.0,RB,17,17,0,0,0,0,0,0,3,0,0,0,0.0,0,0,0,0,0,0,
8.0,Dak Prescott,30.0,QB,17,17,0,0,0,0,0,0,4,1,0,0,0.0,0,0,0,0,0,0,"PB,AP-2,AP MVP-2,AP OPoY-5"
9.0,Terence Steele,26.0,T,17,17,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,
10.0,Tyler Biadasz,26.0,C,16,16,0,0,0,0,0,0,0,2,0,0,0.0,0,0,0,0,0,0,
11.0,DaRon Bland,24.0,CB,17,15,9,209,5,63,15,0,0,0,0,0,0.0,69,53,16,3,1,0,"PB,AP-1,AP DPoY-5"
12.0,Brandin Cooks,30.0,WR,16,15,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,
13.0,Malik Hooker,27.0,S,16,15,1,0,0,0,3,1,0,1,0,0,0.0,50,27,23,1,0,0,
14.0,Johnathan Hankins,31.0,DT,14,14,0,0,0,0,2,0,0,0,0,0,3.0,27,13,14,2,3,0,
15.0,Jayron Kearse,29.0,S,16,13,1,32,0,32,4,0,0,0,0,0,1.5,72,48,24,4,3,0,
16.0,Donovan Wilson,28.0,S,15,13,2,0,0,0,3,1,0,2,0,0,0.0,88,55,33,2,1,0,
17.0,Markquese Bell,24.0,S,17,8,0,0,0,0,4,2,0,0,0,0,0.0,94,60,34,3,0,0,
18.0,Jourdan Lewis,28.0,CB,16,8,1,0,0,0,5,3,0,2,0,0,0.0,52,36,16,2,0,0,
19.0,Jalen Tolbert,24.0,WR,17,6,0,0,0,0,0,0,1,0,0,0,0.0,4,4,0,0,0,0,
20.0,Leighton Vander Esch,26.0,LB,5,5,0,0,0,0,0,0,0,1,11,1,0.0,30,17,13,1,0,0,
21.0,Chauncey Golston,25.0,DE,17,3,0,0,0,0,0,1,0,0,0,0,1.5,25,11,14,1,3,0,
22.0,Mazi Smith,22.0,DT,17,3,0,0,0,0,0,0,0,0,0,0,1.0,13,9,4,3,3,0,
23.0,Trevon Diggs,25.0,CB,2,2,1,8,0,8,3,1,0,0,0,0,0.0,4,4,0,0,0,0,
24.0,Dorance Armstrong Jr.,26.0,DE,17,1,0,0,0,0,1,0,0,0,0,0,7.5,38,20,18,7,12,0,
25.0,Rashaan Evans,28.0,LB,9,1,0,0,0,0,0,0,0,0,0,0,0.0,9,4,5,0,0,0,
26.0,Peyton Hendershot,24.0,TE,8,1,0,0,0,0,0,0,0,0,0,0,0.0,3,1,2,0,0,0,
27.0,Juanyeh Thomas,23.0,S,16,1,0,0,0,0,4,0,0,0,0,0,0.0,22,14,8,0,0,0,
28.0,Bryan Anger,35.0,P,17,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,"PB,AP-2"
