Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 16_level_0,Tackles,Tackles,Tackles,Tackles,Unnamed: 21_level_0,Unnamed: 22_level_0
Rk,Player,Age,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,Sfty,Awards
1.0,Eric Brown,25.0,FS,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,5,4,1,1,0.0,
2.0,Ray Crockett,33.0,LCB,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,2,2,0,0,0.0,
3.0,Billy Jenkins,26.0,SS,1,1,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1.0,12,10,2,0,0.0,
4.0,John Mobley,27.0,RLB,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,6,6,0,0,0.0,
5.0,Kavika Pittman,26.0,RDE,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,3,2,1,0,0.0,
6.0,Trevor Pryce,25.0,RDT,1,1,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0.0,7,7,0,1,0.0,
7.0,Bill Romanowski,34.0,LLB,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,4,2,2,1,0.0,
8.0,Maa Tanuvasa,30.0,LDE,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1.0,5,3,2,1,0.0,
9.0,Keith Traylor,31.0,LDT,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,1,0,1,0,0.0,
10.0,Al Wilson,23.0,MLB,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,6,4,2,0,0.0,
11.0,Keith Burns,28.0,LB,1,0,,,,,0,0,0,0,0,0,0.0,1,1,0,0,,
12.0,Byron Chamberlain,29.0,TE,1,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,1,1,0,0,0.0,
13.0,Desmond Clark,23.0,TE,1,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,1,1,0,0,0.0,
14.0,George Coghill,30.0,DB,1,0,,,,,0,0,0,0,0,0,0.0,1,1,0,0,,
15.0,Ian Gold,22.0,LB,1,0,,,,,0,0,0,0,0,0,0.0,1,1,0,1,,
16.0,Harald Hasselbach,33.0,DE,1,0,,,,,0,0,0,0,0,0,0.0,4,4,0,0,,
17.0,Kenoy Kennedy,23.0,DB,1,0,,,,,0,0,0,0,0,0,0.0,1,1,0,0,,
18.0,Mike Lodish,33.0,DT,1,0,,,,,0,0,0,0,0,0,0.0,1,1,0,0,,
19.0,Jason Suttle,26.0,DB,1,0,,,,,0,0,0,0,0,0,0.0,1,1,0,0,,
,Team Totals,,,1,1,0.0,0.0,0.0,0.0,1,1,0,0,0,0,2.0,63,52,11,5,0.0,
