Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 16_level_0,Tackles,Tackles,Tackles,Tackles,Unnamed: 21_level_0,Unnamed: 22_level_0
Rk,Player,Age,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,Sfty,Awards
1.0,Champ Bailey,26.0,LCB,16,16,3,0,0,0,12,0,0,0,0,0,0.0,81.0,68.0,13.0,6.0,0,"PB,AP-1"
2.0,Marco Coleman,35.0,LDE,16,16,0,0,0,0,0,1,0,1,-2,0,2.5,28.0,21.0,7.0,2.0,0,
3.0,Mario Fatafehi,25.0,LDT,16,16,0,0,0,0,3,0,0,1,8,0,2.5,21.0,14.0,7.0,4.0,0,
4.0,Ben Hamilton,27.0,LG,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0,
5.0,Kelly Herndon,28.0,RCB,16,16,2,17,0,15,23,3,0,1,0,0,1.0,70.0,56.0,14.0,4.0,0,
6.0,Kenoy Kennedy,27.0,SS,16,16,1,21,0,21,9,2,0,1,5,0,2.0,88.0,70.0,18.0,3.0,0,
7.0,Tom Nalen,33.0,C,16,16,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0,
8.0,Jake Plummer,30.0,QB,16,16,0,0,0,0,0,0,6,6,-8,0,0.0,0.0,0.0,0.0,0.0,0,
9.0,Rod Smith,34.0,WR,16,16,0,0,0,0,0,0,4,3,0,0,0.0,1.0,1.0,0.0,0.0,0,
10.0,Al Wilson,27.0,MLB,16,16,2,17,1,10,5,2,0,0,0,0,2.5,105.0,72.0,33.0,9.0,0,
11.0,Reuben Droughns,26.0,RB,16,15,0,0,0,0,0,0,5,0,0,0,0.0,5.0,2.0,3.0,0.0,0,
