Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scrimmage,Scrimmage,Scrimmage,Scrimmage,Unnamed: 31_level_0,Unnamed: 32_level_0
Rk,Player,Age,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
1.0,Demaryius Thomas,27.0,WR,16,16,0,0,0,0,,,,0.0,0.0,184,111,1619,14.6,11,69,50.5,86.0,6.9,101.2,60.3,8.8,111,14.6,1619,11,0,"PB,AP-2"
2.0,Emmanuel Sanders,27.0,WR,16,16,8,44,0,3,62.5,13.0,5.5,2.8,0.5,141,101,1404,13.9,9,69,63.8,48.0,6.3,87.8,71.6,10.0,109,13.3,1448,9,1,PB
3.0,C.J. Anderson,23.0,RB,15,7,179,849,8,47,50.3,27.0,4.7,56.6,11.9,44,34,324,9.5,2,14,54.5,51.0,2.3,21.6,77.3,7.4,213,5.5,1173,10,1,PB
4.0,Ronnie Hillman,23.0,RB,8,4,106,434,3,20,40.6,37.0,4.1,54.3,13.3,34,21,139,6.6,1,7,32.4,16.0,2.6,17.4,61.8,4.1,127,4.5,573,4,1,
5.0,Julius Thomas,26.0,TE,13,10,0,0,0,0,,,,0.0,0.0,62,43,489,11.4,12,30,59.7,35.0,3.3,37.6,69.4,7.9,43,11.4,489,12,1,PB
6.0,Wes Welker,33.0,WR,14,8,0,0,0,0,,,,0.0,0.0,64,49,464,9.5,2,24,56.3,39.0,3.5,33.1,76.6,7.3,49,9.5,464,2,0,
7.0,Juwan Thompson,22.0,RB,15,0,54,272,3,19,57.4,47.0,5.0,18.1,3.6,7,4,25,6.3,0,0,28.6,14.0,0.3,1.7,57.1,3.6,58,5.1,297,3,1,
8.0,Montee Ball,24.0,RB,5,3,55,172,1,9,41.8,23.0,3.1,34.4,11.0,13,9,62,6.9,0,2,30.8,16.0,1.8,12.4,69.2,4.8,64,3.7,234,1,1,
9.0,Jacob Tamme,29.0,TE,15,0,0,0,0,0,,,,0.0,0.0,28,14,109,7.8,2,4,39.3,26.0,0.9,7.3,50.0,3.9,14,7.8,109,2,1,
10.0,Virgil Green,26.0,TE,13,9,2,3,0,0,0.0,3.0,1.5,0.2,0.2,6,6,74,12.3,1,5,100.0,38.0,0.5,5.7,100.0,12.3,8,9.6,77,1,0,
11.0,Andre Caldwell,29.0,WR,16,2,0,0,0,0,,,,0.0,0.0,15,5,47,9.4,0,4,26.7,15.0,0.3,2.9,33.3,3.1,5,9.4,47,0,0,
12.0,Cody Latimer,22.0,WR,8,0,0,0,0,0,,,,0.0,0.0,4,2,23,11.5,0,1,50.0,14.0,0.3,2.9,50.0,5.8,2,11.5,23,0,0,
13.0,Jeremy Stewart,25.0,RB,6,0,6,22,0,1,33.3,16.0,3.7,3.7,1.0,0,0,0,,0,0,,,0.0,0.0,,,6,3.7,22,0,0,
14.0,David Bruton,27.0,DB,14,1,1,13,0,1,100.0,13.0,13.0,0.9,0.1,0,0,0,,0,0,,,0.0,0.0,,,1,13.0,13,0,0,
15.0,Isaiah Burse,23.0,WR,12,0,0,0,0,0,,,,0.0,0.0,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,0,0,3,
16.0,Brock Osweiler,24.0,QB,4,0,8,0,0,0,0.0,,0.0,0.0,2.0,0,0,0,,0,0,,,0.0,0.0,,,8,0.0,0,0,0,
17.0,Peyton Manning,38.0,QB,16,16,24,-24,0,0,0.0,4.0,-1.0,-1.5,1.5,0,0,0,,0,0,,,0.0,0.0,,,24,-1.0,-24,0,5,PB
,Team Totals,,,16,16,443,1785,15,100,44.0,47.0,4.0,111.6,27.7,603,399,4779,12.0,40,229,53.1,86.0,24.9,298.7,66.2,7.9,842,7.8,6564,55,15,
