Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 16_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Unnamed: 22_level_0,Unnamed: 23_level_0
Rk,Player,Age,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards
1.0,Chris Harris Jr.,26.0,RCB,3,3,0,0,0,0,2,0,0,0,0,0,1.0,15,13,2,1.0,1.0,0,
2.0,Malik Jackson,25.0,RDE,3,3,0,0,0,0,0,0,0,1,0,1,0.0,9,8,1,1.0,4.0,0,
3.0,Peyton Manning,39.0,QB,3,3,0,0,0,0,0,0,4,2,-7,0,0.0,0,0,0,,,0,
4.0,Brandon Marshall,26.0,LILB,3,3,0,0,0,0,2,1,0,0,0,0,0.0,14,9,5,1.0,0.0,0,
5.0,Von Miller,26.0,LOLB,3,3,1,4,0,4,2,2,0,0,0,0,5.0,13,11,2,2.0,6.0,0,SB MVP
6.0,Darian Stewart,27.0,FS,3,3,1,8,0,8,3,1,0,0,0,0,1.0,11,8,3,0.0,1.0,0,
7.0,Aqib Talib,29.0,LCB,3,3,0,0,0,0,6,0,0,0,0,0,0.0,14,13,1,0.0,0.0,0,
8.0,Danny Trevathan,25.0,RILB,3,3,0,0,0,0,1,0,0,2,0,0,0.0,22,16,6,1.0,0.0,0,
9.0,T.J. Ward,29.0,SS,3,3,1,-3,0,0,1,0,1,1,5,0,0.0,17,9,8,1.0,0.0,0,
10.0,DeMarcus Ware,33.0,ROLB,3,3,0,0,0,0,0,0,0,1,0,0,3.5,10,5,5,4.0,12.0,0,
11.0,Derek Wolfe,25.0,LDE,3,3,0,0,0,0,1,0,0,0,0,0,2.5,15,10,5,2.0,5.0,0,
12.0,Sylvester Williams,27.0,NT,1,1,0,0,0,0,1,0,0,0,0,0,0.0,2,1,1,0.0,0.0,0,
13.0,Shaquil Barrett,23.0,LB,3,0,0,0,0,0,0,0,0,0,0,0,0.0,3,1,2,0.0,0.0,0,
14.0,Aaron Brewer,25.0,LS,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0.0,0.0,0,
15.0,Josh Bush,26.0,DB,2,0,0,0,0,0,1,0,0,0,0,0,0.0,8,3,5,0.0,0.0,0,
16.0,Andre Caldwell,30.0,WR,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0.0,0.0,0,
17.0,Britton Colquitt,30.0,P,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0.0,0.0,0,
18.0,Shiloh Keo,28.0,DB,1,0,0,0,0,0,0,0,0,0,0,0,0.0,3,3,0,0.0,0.0,0,
19.0,Cody Latimer,23.0,WR,1,0,0,0,0,0,0,0,0,0,0,0,0.0,2,2,0,0.0,0.0,0,
20.0,Corey Nelson,23.0,LB,1,0,0,0,0,0,0,0,0,0,0,0,0.0,4,4,0,0.0,0.0,0,
21.0,Shane Ray,22.0,DE,1,0,0,0,0,0,0,1,0,0,0,0,0.0,2,2,0,0.0,1.0,0,
22.0,Bradley Roby,23.0,DB,2,0,0,0,0,0,3,1,0,0,0,0,0.0,5,5,0,0.0,0.0,0,
23.0,Antonio Smith,34.0,DE,2,0,0,0,0,0,0,0,0,0,0,0,1.0,3,2,1,1.0,1.0,0,
24.0,Vance Walker,28.0,DT,3,0,0,0,0,0,0,0,0,0,0,0,0.0,5,3,2,0.0,1.0,0,
25.0,Kayvon Webster,24.0,DB,3,0,0,0,0,0,1,0,0,0,0,0,0.0,4,4,0,0.0,0.0,0,
,Team Totals,,,3,3,3,9,0,8,24,6,5,7,-2,1,14.0,184,135,49,14.0,32.0,0,
